ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,F du Plessis,IK Pathan,M Vijay,0,run out
0.2,F du Plessis,IK Pathan,SK Raina,0,Not out
0.3,F du Plessis,IK Pathan,SK Raina,0,Not out
0.4,F du Plessis,IK Pathan,SK Raina,4,Not out
0.5,F du Plessis,IK Pathan,SK Raina,0,Not out
0.6,F du Plessis,IK Pathan,SK Raina,0,Not out
1.1,SK Raina,UT Yadav,F du Plessis,0,Not out
1.2,SK Raina,UT Yadav,F du Plessis,0,Not out
1.3,SK Raina,UT Yadav,F du Plessis,1,Not out
1.4,F du Plessis,UT Yadav,SK Raina,1,Not out
1.5,SK Raina,UT Yadav,F du Plessis,1,Not out
1.6,F du Plessis,UT Yadav,SK Raina,0,Not out
1.7,F du Plessis,UT Yadav,SK Raina,4,Not out
2.1,SK Raina,IK Pathan,F du Plessis,1,Not out
2.2,F du Plessis,IK Pathan,SK Raina,4,Not out
2.3,F du Plessis,IK Pathan,SK Raina,1,Not out
2.4,SK Raina,IK Pathan,F du Plessis,6,Not out
2.5,SK Raina,IK Pathan,F du Plessis,0,Not out
2.6,F du Plessis,IK Pathan,SK Raina,1,Not out
3.1,F du Plessis,M Morkel,SK Raina,0,caught
3.2,S Badrinath,M Morkel,SK Raina,0,Not out
3.3,S Badrinath,M Morkel,SK Raina,0,Not out
3.4,S Badrinath,M Morkel,SK Raina,0,Not out
3.5,S Badrinath,M Morkel,SK Raina,0,Not out
3.6,S Badrinath,M Morkel,SK Raina,0,Not out
3.7,S Badrinath,M Morkel,SK Raina,0,Not out
3.8,S Badrinath,M Morkel,SK Raina,0,Not out
4.1,SK Raina,UT Yadav,S Badrinath,0,Not out
4.2,SK Raina,UT Yadav,S Badrinath,0,Not out
4.3,SK Raina,UT Yadav,S Badrinath,0,Not out
4.4,SK Raina,UT Yadav,S Badrinath,0,Not out
4.5,SK Raina,UT Yadav,S Badrinath,6,Not out
4.6,SK Raina,UT Yadav,S Badrinath,0,Not out
4.7,SK Raina,UT Yadav,S Badrinath,0,Not out
5.1,S Badrinath,M Morkel,SK Raina,0,Not out
5.2,S Badrinath,M Morkel,SK Raina,0,Not out
5.3,S Badrinath,M Morkel,SK Raina,4,Not out
5.4,S Badrinath,M Morkel,SK Raina,0,Not out
5.5,S Badrinath,M Morkel,SK Raina,0,Not out
5.6,S Badrinath,M Morkel,SK Raina,2,Not out
6.1,SK Raina,KP Pietersen,S Badrinath,0,Not out
6.2,SK Raina,KP Pietersen,S Badrinath,2,Not out
6.3,SK Raina,KP Pietersen,S Badrinath,0,run out
6.4,RA Jadeja,KP Pietersen,S Badrinath,1,Not out
6.5,S Badrinath,KP Pietersen,RA Jadeja,1,Not out
6.6,RA Jadeja,KP Pietersen,S Badrinath,2,Not out
7.1,S Badrinath,IK Pathan,RA Jadeja,1,Not out
7.2,RA Jadeja,IK Pathan,S Badrinath,0,Not out
7.3,RA Jadeja,IK Pathan,S Badrinath,4,Not out
7.4,RA Jadeja,IK Pathan,S Badrinath,0,Not out
7.5,RA Jadeja,IK Pathan,S Badrinath,0,Not out
7.6,RA Jadeja,IK Pathan,S Badrinath,1,Not out
8.1,RA Jadeja,KP Pietersen,S Badrinath,0,Not out
8.2,RA Jadeja,KP Pietersen,S Badrinath,1,Not out
