ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,AC Gilchrist,M Ntini,HH Gibbs,2,Not out
0.2,AC Gilchrist,M Ntini,HH Gibbs,0,Not out
0.3,AC Gilchrist,M Ntini,HH Gibbs,1,Not out
0.4,HH Gibbs,M Ntini,AC Gilchrist,0,Not out
0.5,HH Gibbs,M Ntini,AC Gilchrist,0,Not out
0.6,HH Gibbs,M Ntini,AC Gilchrist,0,Not out
1.1,AC Gilchrist,MS Gony,HH Gibbs,0,Not out
1.2,AC Gilchrist,MS Gony,HH Gibbs,0,Not out
1.3,AC Gilchrist,MS Gony,HH Gibbs,0,Not out
1.4,AC Gilchrist,MS Gony,HH Gibbs,0,Not out
1.5,AC Gilchrist,MS Gony,HH Gibbs,1,Not out
1.6,HH Gibbs,MS Gony,AC Gilchrist,0,Not out
2.1,AC Gilchrist,M Ntini,HH Gibbs,1,Not out
2.2,HH Gibbs,M Ntini,AC Gilchrist,0,Not out
2.3,HH Gibbs,M Ntini,AC Gilchrist,6,Not out
2.4,HH Gibbs,M Ntini,AC Gilchrist,0,Not out
2.5,HH Gibbs,M Ntini,AC Gilchrist,0,Not out
2.6,HH Gibbs,M Ntini,AC Gilchrist,4,Not out
3.1,AC Gilchrist,JA Morkel,HH Gibbs,0,Not out
3.2,AC Gilchrist,JA Morkel,HH Gibbs,0,Not out
3.3,AC Gilchrist,JA Morkel,HH Gibbs,0,Not out
3.4,AC Gilchrist,JA Morkel,HH Gibbs,4,Not out
3.5,AC Gilchrist,JA Morkel,HH Gibbs,0,Not out
3.6,AC Gilchrist,JA Morkel,HH Gibbs,4,Not out
3.7,AC Gilchrist,JA Morkel,HH Gibbs,0,Not out
4.1,HH Gibbs,MS Gony,AC Gilchrist,0,caught and bowled
4.2,SB Styris,MS Gony,AC Gilchrist,1,Not out
4.3,AC Gilchrist,MS Gony,SB Styris,0,Not out
4.4,AC Gilchrist,MS Gony,SB Styris,4,Not out
4.5,AC Gilchrist,MS Gony,SB Styris,0,Not out
4.6,AC Gilchrist,MS Gony,SB Styris,1,Not out
5.1,AC Gilchrist,M Ntini,SB Styris,6,Not out
5.2,AC Gilchrist,M Ntini,SB Styris,4,Not out
5.3,AC Gilchrist,M Ntini,SB Styris,6,Not out
5.4,AC Gilchrist,M Ntini,SB Styris,1,Not out
5.5,SB Styris,M Ntini,AC Gilchrist,1,Not out
5.6,AC Gilchrist,M Ntini,SB Styris,2,Not out
6.1,SB Styris,MS Gony,AC Gilchrist,1,Not out
6.2,AC Gilchrist,MS Gony,SB Styris,4,Not out
6.3,AC Gilchrist,MS Gony,SB Styris,1,Not out
6.4,SB Styris,MS Gony,AC Gilchrist,0,Not out
6.5,SB Styris,MS Gony,AC Gilchrist,1,Not out
6.6,AC Gilchrist,MS Gony,SB Styris,1,Not out
7.1,AC Gilchrist,Joginder Sharma,SB Styris,0,Not out
7.2,AC Gilchrist,Joginder Sharma,SB Styris,4,Not out
7.3,AC Gilchrist,Joginder Sharma,SB Styris,1,Not out
7.4,SB Styris,Joginder Sharma,AC Gilchrist,4,Not out
7.5,SB Styris,Joginder Sharma,AC Gilchrist,0,Not out
7.6,SB Styris,Joginder Sharma,AC Gilchrist,1,Not out
7.7,AC Gilchrist,Joginder Sharma,SB Styris,0,Not out
7.8,AC Gilchrist,Joginder Sharma,SB Styris,1,Not out
8.1,AC Gilchrist,M Muralitharan,SB Styris,0,Not out
8.2,AC Gilchrist,M Muralitharan,SB Styris,1,Not out
8.3,SB Styris,M Muralitharan,AC Gilchrist,0,Not out
8.4,SB Styris,M Muralitharan,AC Gilchrist,0,Not out
8.5,SB Styris,M Muralitharan,AC Gilchrist,1,Not out
8.6,AC Gilchrist,M Muralitharan,SB Styris,4,Not out
9.1,SB Styris,JA Morkel,AC Gilchrist,0,Not out
9.2,SB Styris,JA Morkel,AC Gilchrist,0,Not out
9.3,SB Styris,JA Morkel,AC Gilchrist,0,Not out
9.4,SB Styris,JA Morkel,AC Gilchrist,1,Not out
9.5,AC Gilchrist,JA Morkel,SB Styris,0,caught
9.6,RG Sharma,JA Morkel,SB Styris,0,Not out
10.1,SB Styris,M Muralitharan,RG Sharma,1,Not out
10.2,RG Sharma,M Muralitharan,SB Styris,3,Not out
10.3,SB Styris,M Muralitharan,RG Sharma,1,Not out
10.4,RG Sharma,M Muralitharan,SB Styris,4,Not out
10.5,RG Sharma,M Muralitharan,SB Styris,1,Not out
10.6,SB Styris,M Muralitharan,RG Sharma,0,Not out
11.1,RG Sharma,JA Morkel,SB Styris,1,Not out
11.2,SB Styris,JA Morkel,RG Sharma,4,Not out
11.3,SB Styris,JA Morkel,RG Sharma,0,Not out
11.4,SB Styris,JA Morkel,RG Sharma,0,Not out
11.5,SB Styris,JA Morkel,RG Sharma,0,Not out
11.6,SB Styris,JA Morkel,RG Sharma,1,Not out
12.1,SB Styris,M Muralitharan,RG Sharma,0,Not out
12.2,SB Styris,M Muralitharan,RG Sharma,0,Not out
12.3,RG Sharma,M Muralitharan,SB Styris,0,Not out
12.4,RG Sharma,M Muralitharan,SB Styris,1,Not out
12.5,SB Styris,M Muralitharan,RG Sharma,4,Not out
12.6,SB Styris,M Muralitharan,RG Sharma,1,Not out
13.1,SB Styris,Joginder Sharma,RG Sharma,1,Not out
13.2,RG Sharma,Joginder Sharma,SB Styris,0,Not out
13.3,RG Sharma,Joginder Sharma,SB Styris,0,Not out
13.4,RG Sharma,Joginder Sharma,SB Styris,6,Not out
13.5,RG Sharma,Joginder Sharma,SB Styris,0,Not out
13.6,RG Sharma,Joginder Sharma,SB Styris,4,Not out
14.1,SB Styris,M Ntini,RG Sharma,0,Not out
14.2,SB Styris,M Ntini,RG Sharma,0,Not out
14.3,SB Styris,M Ntini,RG Sharma,0,Not out
14.4,SB Styris,M Ntini,RG Sharma,1,Not out
14.5,RG Sharma,M Ntini,SB Styris,1,Not out
14.6,SB Styris,M Ntini,RG Sharma,1,Not out
15.1,SB Styris,JA Morkel,RG Sharma,1,Not out
15.2,RG Sharma,JA Morkel,SB Styris,0,Not out
15.3,RG Sharma,JA Morkel,SB Styris,1,Not out
15.4,SB Styris,JA Morkel,RG Sharma,1,Not out
15.5,RG Sharma,JA Morkel,SB Styris,1,Not out
15.6,SB Styris,JA Morkel,RG Sharma,6,Not out
16.1,RG Sharma,M Muralitharan,SB Styris,0,caught
16.2,SB Styris,M Muralitharan,Shahid Afridi,0,Not out
16.3,SB Styris,M Muralitharan,Shahid Afridi,0,Not out
16.4,SB Styris,M Muralitharan,Shahid Afridi,0,Not out
