ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,DR Smith,Z Khan,Ishan Kishan,0,Not out
0.2,DR Smith,Z Khan,Ishan Kishan,4,Not out
0.3,DR Smith,Z Khan,Ishan Kishan,1,Not out
0.4,Ishan Kishan,Z Khan,DR Smith,0,Not out
0.5,Ishan Kishan,Z Khan,DR Smith,1,Not out
0.6,DR Smith,Z Khan,Ishan Kishan,1,Not out
1.1,DR Smith,Mohammed Shami,Ishan Kishan,1,Not out
1.2,Ishan Kishan,Mohammed Shami,DR Smith,0,Not out
1.3,Ishan Kishan,Mohammed Shami,DR Smith,0,Not out
1.4,Ishan Kishan,Mohammed Shami,DR Smith,4,Not out
1.5,Ishan Kishan,Mohammed Shami,DR Smith,0,Not out
1.6,Ishan Kishan,Mohammed Shami,DR Smith,0,Not out
1.7,Ishan Kishan,Mohammed Shami,DR Smith,0,Not out
1.8,Ishan Kishan,Mohammed Shami,DR Smith,0,Not out
2.1,Ishan Kishan,Z Khan,DR Smith,0,Not out
2.2,Ishan Kishan,Z Khan,DR Smith,4,Not out
2.3,Ishan Kishan,Z Khan,DR Smith,0,Not out
2.4,Ishan Kishan,Z Khan,DR Smith,1,Not out
2.5,DR Smith,Z Khan,Ishan Kishan,0,Not out
2.6,DR Smith,Z Khan,Ishan Kishan,1,Not out
3.1,DR Smith,Mohammed Shami,Ishan Kishan,0,run out
3.2,Ishan Kishan,Mohammed Shami,SK Raina,0,Not out
3.3,Ishan Kishan,Mohammed Shami,SK Raina,6,Not out
3.4,Ishan Kishan,Mohammed Shami,SK Raina,0,Not out
3.5,Ishan Kishan,Mohammed Shami,SK Raina,4,Not out
3.6,Ishan Kishan,Mohammed Shami,SK Raina,0,Not out
4.1,SK Raina,Z Khan,Ishan Kishan,1,Not out
4.2,Ishan Kishan,Z Khan,SK Raina,1,Not out
4.3,SK Raina,Z Khan,Ishan Kishan,0,Not out
4.4,Ishan Kishan,Z Khan,SK Raina,0,Not out
4.5,Ishan Kishan,Z Khan,SK Raina,4,Not out
4.6,Ishan Kishan,Z Khan,SK Raina,1,Not out
5.1,Ishan Kishan,PJ Cummins,SK Raina,1,Not out
5.2,SK Raina,PJ Cummins,Ishan Kishan,1,Not out
5.3,Ishan Kishan,PJ Cummins,SK Raina,1,Not out
5.4,SK Raina,PJ Cummins,Ishan Kishan,4,Not out
5.5,SK Raina,PJ Cummins,Ishan Kishan,0,bowled
5.6,KD Karthik,PJ Cummins,Ishan Kishan,4,Not out
6.1,Ishan Kishan,A Mishra,KD Karthik,2,Not out
6.2,Ishan Kishan,A Mishra,KD Karthik,4,Not out
6.3,Ishan Kishan,A Mishra,KD Karthik,0,caught
6.4,AJ Finch,A Mishra,KD Karthik,1,Not out
6.5,KD Karthik,A Mishra,AJ Finch,4,Not out
6.6,KD Karthik,A Mishra,AJ Finch,1,Not out
7.1,KD Karthik,CR Brathwaite,AJ Finch,2,Not out
7.2,KD Karthik,CR Brathwaite,AJ Finch,0,Not out
7.3,KD Karthik,CR Brathwaite,AJ Finch,1,Not out
7.4,AJ Finch,CR Brathwaite,KD Karthik,4,Not out
7.5,AJ Finch,CR Brathwaite,KD Karthik,1,Not out
7.6,KD Karthik,CR Brathwaite,AJ Finch,0,Not out
8.1,AJ Finch,A Mishra,KD Karthik,1,Not out
8.2,KD Karthik,A Mishra,AJ Finch,1,Not out
8.3,AJ Finch,A Mishra,KD Karthik,6,Not out
8.4,AJ Finch,A Mishra,KD Karthik,6,Not out
8.5,AJ Finch,A Mishra,KD Karthik,0,Not out
8.6,AJ Finch,A Mishra,KD Karthik,1,Not out
9.1,AJ Finch,CR Brathwaite,KD Karthik,1,Not out
9.2,KD Karthik,CR Brathwaite,AJ Finch,1,Not out
9.3,AJ Finch,CR Brathwaite,KD Karthik,0,Not out
9.4,AJ Finch,CR Brathwaite,KD Karthik,1,Not out
9.5,KD Karthik,CR Brathwaite,AJ Finch,1,Not out
9.6,AJ Finch,CR Brathwaite,KD Karthik,1,Not out
9.7,KD Karthik,CR Brathwaite,AJ Finch,0,Not out
10.1,AJ Finch,CJ Anderson,KD Karthik,0,Not out
10.2,AJ Finch,CJ Anderson,KD Karthik,1,Not out
10.3,KD Karthik,CJ Anderson,AJ Finch,0,Not out
10.4,KD Karthik,CJ Anderson,AJ Finch,4,Not out
10.5,KD Karthik,CJ Anderson,AJ Finch,1,Not out
10.6,AJ Finch,CJ Anderson,KD Karthik,1,Not out
11.1,AJ Finch,PJ Cummins,KD Karthik,0,Not out
11.2,KD Karthik,PJ Cummins,AJ Finch,1,Not out
11.3,AJ Finch,PJ Cummins,KD Karthik,0,Not out
11.4,AJ Finch,PJ Cummins,KD Karthik,1,Not out
11.5,KD Karthik,PJ Cummins,AJ Finch,1,Not out
11.6,AJ Finch,PJ Cummins,KD Karthik,1,Not out
12.1,AJ Finch,CJ Anderson,KD Karthik,4,Not out
12.2,AJ Finch,CJ Anderson,KD Karthik,1,Not out
12.3,KD Karthik,CJ Anderson,AJ Finch,4,Not out
12.4,KD Karthik,CJ Anderson,AJ Finch,1,Not out
12.5,AJ Finch,CJ Anderson,KD Karthik,1,Not out
12.6,KD Karthik,CJ Anderson,AJ Finch,0,Not out
12.7,KD Karthik,CJ Anderson,AJ Finch,0,Not out
13.1,AJ Finch,Mohammed Shami,KD Karthik,1,Not out
13.2,KD Karthik,Mohammed Shami,AJ Finch,1,Not out
13.3,AJ Finch,Mohammed Shami,KD Karthik,0,Not out
13.4,AJ Finch,Mohammed Shami,KD Karthik,1,Not out
13.5,KD Karthik,Mohammed Shami,AJ Finch,2,Not out
13.6,KD Karthik,Mohammed Shami,AJ Finch,6,Not out
14.1,AJ Finch,CR Brathwaite,KD Karthik,4,Not out
14.2,AJ Finch,CR Brathwaite,KD Karthik,1,Not out
14.3,KD Karthik,CR Brathwaite,AJ Finch,0,Not out
14.4,KD Karthik,CR Brathwaite,AJ Finch,1,Not out
14.5,AJ Finch,CR Brathwaite,KD Karthik,1,Not out
14.6,KD Karthik,CR Brathwaite,AJ Finch,1,Not out
15.1,KD Karthik,Z Khan,AJ Finch,1,Not out
15.2,KD Karthik,Z Khan,AJ Finch,1,Not out
15.3,AJ Finch,Z Khan,KD Karthik,0,Not out
15.4,AJ Finch,Z Khan,KD Karthik,0,Not out
15.5,AJ Finch,Z Khan,KD Karthik,6,Not out
15.6,AJ Finch,Z Khan,KD Karthik,2,Not out
16.1,KD Karthik,CR Brathwaite,AJ Finch,0,caught
16.2,AJ Finch,CR Brathwaite,RA Jadeja,6,Not out
16.3,AJ Finch,CR Brathwaite,RA Jadeja,1,Not out
16.4,RA Jadeja,CR Brathwaite,AJ Finch,4,Not out
16.5,RA Jadeja,CR Brathwaite,AJ Finch,1,Not out
16.6,AJ Finch,CR Brathwaite,RA Jadeja,4,Not out
17.1,RA Jadeja,PJ Cummins,AJ Finch,1,Not out
17.2,AJ Finch,PJ Cummins,RA Jadeja,4,Not out
17.3,AJ Finch,PJ Cummins,RA Jadeja,4,Not out
