ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,BB McCullum,DW Steyn,DPMD Jayawardene,0,Not out
0.2,BB McCullum,DW Steyn,DPMD Jayawardene,0,Not out
0.3,BB McCullum,DW Steyn,DPMD Jayawardene,0,Not out
0.4,BB McCullum,DW Steyn,DPMD Jayawardene,0,caught
0.5,PA Patel,DW Steyn,DPMD Jayawardene,0,Not out
0.6,PA Patel,DW Steyn,DPMD Jayawardene,0,Not out
1.1,DPMD Jayawardene,I Sharma,PA Patel,0,Not out
1.2,PA Patel,I Sharma,DPMD Jayawardene,0,caught
1.3,RV Gomez,I Sharma,DPMD Jayawardene,0,bowled
1.4,BJ Hodge,I Sharma,DPMD Jayawardene,0,Not out
1.5,BJ Hodge,I Sharma,DPMD Jayawardene,0,Not out
1.6,BJ Hodge,I Sharma,DPMD Jayawardene,0,bowled
1.7,KM Jadhav,I Sharma,DPMD Jayawardene,0,Not out
2.1,DPMD Jayawardene,DW Steyn,KM Jadhav,0,Not out
2.2,DPMD Jayawardene,DW Steyn,KM Jadhav,0,Not out
2.3,DPMD Jayawardene,DW Steyn,KM Jadhav,0,Not out
2.4,DPMD Jayawardene,DW Steyn,KM Jadhav,0,Not out
2.5,DPMD Jayawardene,DW Steyn,KM Jadhav,0,Not out
2.6,DPMD Jayawardene,DW Steyn,KM Jadhav,4,Not out
3.1,KM Jadhav,I Sharma,DPMD Jayawardene,0,lbw
3.2,RA Jadeja,I Sharma,DPMD Jayawardene,0,Not out
3.3,RA Jadeja,I Sharma,DPMD Jayawardene,0,Not out
3.4,RA Jadeja,I Sharma,DPMD Jayawardene,4,Not out
3.5,RA Jadeja,I Sharma,DPMD Jayawardene,1,Not out
3.6,DPMD Jayawardene,I Sharma,RA Jadeja,0,caught
4.1,RA Jadeja,DW Steyn,NLTC Perera,1,Not out
4.2,NLTC Perera,DW Steyn,RA Jadeja,4,Not out
4.3,NLTC Perera,DW Steyn,RA Jadeja,4,Not out
4.4,NLTC Perera,DW Steyn,RA Jadeja,0,Not out
4.5,NLTC Perera,DW Steyn,RA Jadeja,0,Not out
4.6,NLTC Perera,DW Steyn,RA Jadeja,0,Not out
4.7,NLTC Perera,DW Steyn,RA Jadeja,0,Not out
4.8,NLTC Perera,DW Steyn,RA Jadeja,1,Not out
5.1,NLTC Perera,I Sharma,RA Jadeja,1,Not out
5.2,RA Jadeja,I Sharma,NLTC Perera,1,Not out
5.3,NLTC Perera,I Sharma,RA Jadeja,0,Not out
5.4,NLTC Perera,I Sharma,RA Jadeja,0,Not out
5.5,NLTC Perera,I Sharma,RA Jadeja,4,Not out
5.6,NLTC Perera,I Sharma,RA Jadeja,0,Not out
6.1,RA Jadeja,DT Christian,NLTC Perera,0,Not out
6.2,RA Jadeja,DT Christian,NLTC Perera,0,Not out
6.3,RA Jadeja,DT Christian,NLTC Perera,0,Not out
6.4,RA Jadeja,DT Christian,NLTC Perera,0,Not out
6.5,RA Jadeja,DT Christian,NLTC Perera,1,Not out
6.6,NLTC Perera,DT Christian,RA Jadeja,2,Not out
7.1,RA Jadeja,MS Gony,NLTC Perera,0,Not out
7.2,RA Jadeja,MS Gony,NLTC Perera,4,Not out
7.3,RA Jadeja,MS Gony,NLTC Perera,1,Not out
7.4,NLTC Perera,MS Gony,RA Jadeja,0,Not out
7.5,NLTC Perera,MS Gony,RA Jadeja,4,Not out
7.6,NLTC Perera,MS Gony,RA Jadeja,0,Not out
8.1,RA Jadeja,DT Christian,NLTC Perera,0,Not out
8.2,RA Jadeja,DT Christian,NLTC Perera,0,Not out
8.3,RA Jadeja,DT Christian,NLTC Perera,1,Not out
8.4,NLTC Perera,DT Christian,RA Jadeja,0,Not out
8.5,NLTC Perera,DT Christian,RA Jadeja,0,Not out
8.6,NLTC Perera,DT Christian,RA Jadeja,0,Not out
8.7,NLTC Perera,DT Christian,RA Jadeja,0,Not out
9.1,RA Jadeja,A Mishra,NLTC Perera,0,Not out
9.2,RA Jadeja,A Mishra,NLTC Perera,1,Not out
9.3,NLTC Perera,A Mishra,RA Jadeja,0,Not out
9.4,NLTC Perera,A Mishra,RA Jadeja,0,Not out
9.5,NLTC Perera,A Mishra,RA Jadeja,1,Not out
9.6,RA Jadeja,A Mishra,NLTC Perera,0,Not out
10.1,NLTC Perera,MS Gony,RA Jadeja,1,Not out
10.2,RA Jadeja,MS Gony,NLTC Perera,0,Not out
10.3,RA Jadeja,MS Gony,NLTC Perera,1,Not out
10.4,NLTC Perera,MS Gony,RA Jadeja,0,caught
10.5,R Vinay Kumar,MS Gony,RA Jadeja,1,Not out
10.6,RA Jadeja,MS Gony,R Vinay Kumar,0,Not out
11.1,R Vinay Kumar,A Mishra,RA Jadeja,1,Not out
11.2,RA Jadeja,A Mishra,R Vinay Kumar,1,Not out
11.3,R Vinay Kumar,A Mishra,RA Jadeja,1,Not out
11.4,RA Jadeja,A Mishra,R Vinay Kumar,1,Not out
11.5,R Vinay Kumar,A Mishra,RA Jadeja,0,Not out
11.6,R Vinay Kumar,A Mishra,RA Jadeja,1,Not out
12.1,R Vinay Kumar,MS Gony,RA Jadeja,1,Not out
12.2,RA Jadeja,MS Gony,R Vinay Kumar,1,Not out
12.3,R Vinay Kumar,MS Gony,RA Jadeja,0,Not out
12.4,R Vinay Kumar,MS Gony,RA Jadeja,0,Not out
12.5,R Vinay Kumar,MS Gony,RA Jadeja,4,Not out
12.6,R Vinay Kumar,MS Gony,RA Jadeja,1,Not out
13.1,R Vinay Kumar,A Mishra,RA Jadeja,0,Not out
13.2,R Vinay Kumar,A Mishra,RA Jadeja,1,Not out
13.3,RA Jadeja,A Mishra,R Vinay Kumar,1,Not out
13.4,R Vinay Kumar,A Mishra,RA Jadeja,1,Not out
13.5,RA Jadeja,A Mishra,R Vinay Kumar,0,Not out
13.6,RA Jadeja,A Mishra,R Vinay Kumar,1,Not out
14.1,RA Jadeja,DT Christian,R Vinay Kumar,0,Not out
14.2,RA Jadeja,DT Christian,R Vinay Kumar,1,Not out
