ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,M Vijay,I Sharma,M Vohra,0,Not out
0.2,M Vijay,I Sharma,M Vohra,0,Not out
0.3,M Vijay,I Sharma,M Vohra,1,Not out
0.4,M Vohra,I Sharma,M Vijay,2,Not out
0.5,M Vohra,I Sharma,M Vijay,0,Not out
0.6,M Vohra,I Sharma,M Vijay,0,Not out
1.1,M Vijay,Ankit Sharma,M Vohra,0,Not out
1.2,M Vijay,Ankit Sharma,M Vohra,0,Not out
1.3,M Vijay,Ankit Sharma,M Vohra,0,Not out
1.4,M Vijay,Ankit Sharma,M Vohra,4,Not out
1.5,M Vijay,Ankit Sharma,M Vohra,0,Not out
1.6,M Vijay,Ankit Sharma,M Vohra,4,Not out
1.7,M Vijay,Ankit Sharma,M Vohra,1,Not out
1.8,M Vohra,Ankit Sharma,M Vijay,2,Not out
2.1,M Vijay,I Sharma,M Vohra,0,Not out
2.2,M Vijay,I Sharma,M Vohra,0,Not out
2.3,M Vijay,I Sharma,M Vohra,4,Not out
2.4,M Vijay,I Sharma,M Vohra,0,Not out
2.5,M Vijay,I Sharma,M Vohra,0,Not out
2.6,M Vijay,I Sharma,M Vohra,6,Not out
3.1,M Vohra,R Ashwin,M Vijay,1,Not out
3.2,M Vijay,R Ashwin,M Vohra,0,Not out
3.3,M Vijay,R Ashwin,M Vohra,1,Not out
3.4,M Vohra,R Ashwin,M Vijay,1,Not out
3.5,M Vijay,R Ashwin,M Vohra,0,Not out
3.6,M Vijay,R Ashwin,M Vohra,1,Not out
4.1,M Vijay,I Sharma,M Vohra,0,Not out
4.2,M Vijay,I Sharma,M Vohra,1,Not out
4.3,M Vohra,I Sharma,M Vijay,0,Not out
4.4,M Vohra,I Sharma,M Vijay,4,Not out
4.5,M Vohra,I Sharma,M Vijay,4,Not out
4.6,M Vohra,I Sharma,M Vijay,4,Not out
5.1,M Vijay,R Ashwin,M Vohra,0,Not out
5.2,M Vijay,R Ashwin,M Vohra,1,Not out
5.3,M Vohra,R Ashwin,M Vijay,1,Not out
5.4,M Vijay,R Ashwin,M Vohra,0,Not out
5.5,M Vijay,R Ashwin,M Vohra,4,Not out
5.6,M Vijay,R Ashwin,M Vohra,1,Not out
6.1,M Vijay,Ankit Sharma,M Vohra,1,Not out
6.2,M Vohra,Ankit Sharma,M Vijay,0,Not out
6.3,M Vohra,Ankit Sharma,M Vijay,1,Not out
6.4,M Vijay,Ankit Sharma,M Vohra,0,Not out
6.5,M Vijay,Ankit Sharma,M Vohra,1,Not out
6.6,M Vohra,Ankit Sharma,M Vijay,1,Not out
7.1,M Vohra,M Ashwin,M Vijay,0,Not out
7.2,M Vohra,M Ashwin,M Vijay,1,Not out
7.3,M Vijay,M Ashwin,M Vohra,1,Not out
7.4,M Vohra,M Ashwin,M Vijay,1,Not out
7.5,M Vijay,M Ashwin,M Vohra,1,Not out
7.6,M Vohra,M Ashwin,M Vijay,0,Not out
