ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,BR Dunk,DW Steyn,RG Sharma,0,Not out
0.2,BR Dunk,DW Steyn,RG Sharma,1,Not out
0.3,RG Sharma,DW Steyn,BR Dunk,0,Not out
0.4,RG Sharma,DW Steyn,BR Dunk,0,Not out
0.5,RG Sharma,DW Steyn,BR Dunk,1,Not out
0.6,BR Dunk,DW Steyn,RG Sharma,4,Not out
1.1,RG Sharma,B Kumar,BR Dunk,0,Not out
1.2,RG Sharma,B Kumar,BR Dunk,0,bowled
1.3,CJ Anderson,B Kumar,BR Dunk,0,Not out
1.4,CJ Anderson,B Kumar,BR Dunk,0,Not out
1.5,CJ Anderson,B Kumar,BR Dunk,0,Not out
1.6,CJ Anderson,B Kumar,BR Dunk,0,Not out
1.7,CJ Anderson,B Kumar,BR Dunk,1,Not out
2.1,CJ Anderson,DW Steyn,BR Dunk,0,Not out
2.2,CJ Anderson,DW Steyn,BR Dunk,0,Not out
2.3,CJ Anderson,DW Steyn,BR Dunk,0,Not out
2.4,CJ Anderson,DW Steyn,BR Dunk,0,caught
2.5,AT Rayudu,DW Steyn,BR Dunk,0,Not out
2.6,AT Rayudu,DW Steyn,BR Dunk,4,Not out
3.1,BR Dunk,B Kumar,AT Rayudu,0,Not out
3.2,BR Dunk,B Kumar,AT Rayudu,0,Not out
3.3,BR Dunk,B Kumar,AT Rayudu,0,Not out
3.4,BR Dunk,B Kumar,AT Rayudu,0,Not out
3.5,BR Dunk,B Kumar,AT Rayudu,0,Not out
3.6,BR Dunk,B Kumar,AT Rayudu,0,Not out
3.7,BR Dunk,B Kumar,AT Rayudu,0,Not out
4.1,AT Rayudu,KV Sharma,BR Dunk,1,Not out
4.2,BR Dunk,KV Sharma,AT Rayudu,4,Not out
4.3,BR Dunk,KV Sharma,AT Rayudu,2,Not out
4.4,BR Dunk,KV Sharma,AT Rayudu,0,Not out
4.5,BR Dunk,KV Sharma,AT Rayudu,4,Not out
4.6,BR Dunk,KV Sharma,AT Rayudu,0,Not out
5.1,AT Rayudu,DJG Sammy,BR Dunk,1,Not out
5.2,BR Dunk,DJG Sammy,AT Rayudu,4,Not out
5.3,BR Dunk,DJG Sammy,AT Rayudu,1,Not out
5.4,AT Rayudu,DJG Sammy,BR Dunk,1,Not out
5.5,BR Dunk,DJG Sammy,AT Rayudu,0,bowled
5.6,KA Pollard,DJG Sammy,AT Rayudu,1,Not out
6.1,KA Pollard,DW Steyn,AT Rayudu,0,Not out
6.2,KA Pollard,DW Steyn,AT Rayudu,0,Not out
6.3,KA Pollard,DW Steyn,AT Rayudu,0,Not out
6.4,KA Pollard,DW Steyn,AT Rayudu,1,Not out
6.5,AT Rayudu,DW Steyn,KA Pollard,4,Not out
6.6,AT Rayudu,DW Steyn,KA Pollard,0,Not out
6.7,AT Rayudu,DW Steyn,KA Pollard,0,Not out
7.1,KA Pollard,KV Sharma,AT Rayudu,0,Not out
7.2,KA Pollard,KV Sharma,AT Rayudu,3,Not out
7.3,AT Rayudu,KV Sharma,KA Pollard,1,Not out
7.4,KA Pollard,KV Sharma,AT Rayudu,0,Not out
7.5,KA Pollard,KV Sharma,AT Rayudu,1,Not out
7.6,AT Rayudu,KV Sharma,KA Pollard,0,Not out
8.1,KA Pollard,A Mishra,AT Rayudu,0,Not out
8.2,KA Pollard,A Mishra,AT Rayudu,1,Not out
8.3,AT Rayudu,A Mishra,KA Pollard,1,Not out
8.4,KA Pollard,A Mishra,AT Rayudu,1,Not out
8.5,AT Rayudu,A Mishra,KA Pollard,1,Not out
8.6,KA Pollard,A Mishra,AT Rayudu,1,Not out
9.1,KA Pollard,DJG Sammy,AT Rayudu,2,Not out
9.2,KA Pollard,DJG Sammy,AT Rayudu,1,Not out
9.3,AT Rayudu,DJG Sammy,KA Pollard,4,Not out
9.4,AT Rayudu,DJG Sammy,KA Pollard,1,Not out
9.5,KA Pollard,DJG Sammy,AT Rayudu,0,Not out
9.6,KA Pollard,DJG Sammy,AT Rayudu,4,Not out
10.1,AT Rayudu,A Mishra,KA Pollard,1,Not out
10.2,KA Pollard,A Mishra,AT Rayudu,0,Not out
10.3,KA Pollard,A Mishra,AT Rayudu,0,Not out
10.4,KA Pollard,A Mishra,AT Rayudu,1,Not out
10.5,AT Rayudu,A Mishra,KA Pollard,0,Not out
10.6,AT Rayudu,A Mishra,KA Pollard,1,Not out
11.1,AT Rayudu,KV Sharma,KA Pollard,1,Not out
11.2,KA Pollard,KV Sharma,AT Rayudu,0,Not out
11.3,KA Pollard,KV Sharma,AT Rayudu,0,Not out
11.4,KA Pollard,KV Sharma,AT Rayudu,1,Not out
11.5,AT Rayudu,KV Sharma,KA Pollard,1,Not out
11.6,KA Pollard,KV Sharma,AT Rayudu,1,Not out
12.1,KA Pollard,A Mishra,AT Rayudu,4,Not out
12.2,KA Pollard,A Mishra,AT Rayudu,6,Not out
12.3,KA Pollard,A Mishra,AT Rayudu,0,Not out
12.4,KA Pollard,A Mishra,AT Rayudu,6,Not out
12.5,KA Pollard,A Mishra,AT Rayudu,1,Not out
12.6,AT Rayudu,A Mishra,KA Pollard,2,Not out
13.1,KA Pollard,KV Sharma,AT Rayudu,1,Not out
13.2,AT Rayudu,KV Sharma,KA Pollard,1,Not out
13.3,KA Pollard,KV Sharma,AT Rayudu,6,Not out
13.4,KA Pollard,KV Sharma,AT Rayudu,1,Not out
13.5,AT Rayudu,KV Sharma,KA Pollard,4,Not out
13.6,AT Rayudu,KV Sharma,KA Pollard,0,Not out
14.1,KA Pollard,B Kumar,AT Rayudu,1,Not out
14.2,AT Rayudu,B Kumar,KA Pollard,4,Not out
14.3,AT Rayudu,B Kumar,KA Pollard,1,Not out
14.4,KA Pollard,B Kumar,AT Rayudu,0,Not out
14.5,KA Pollard,B Kumar,AT Rayudu,1,Not out
14.6,AT Rayudu,B Kumar,KA Pollard,0,Not out
15.1,KA Pollard,IK Pathan,AT Rayudu,1,Not out
15.2,AT Rayudu,IK Pathan,KA Pollard,0,Not out
15.3,AT Rayudu,IK Pathan,KA Pollard,0,caught
15.4,KA Pollard,IK Pathan,AP Tare,2,Not out
15.5,KA Pollard,IK Pathan,AP Tare,1,Not out
15.6,AP Tare,IK Pathan,KA Pollard,0,Not out
15.7,AP Tare,IK Pathan,KA Pollard,4,Not out
16.1,KA Pollard,A Mishra,AP Tare,6,Not out
16.2,KA Pollard,A Mishra,AP Tare,6,Not out
16.3,KA Pollard,A Mishra,AP Tare,6,Not out
16.4,KA Pollard,A Mishra,AP Tare,4,Not out
16.5,KA Pollard,A Mishra,AP Tare,2,Not out
16.6,KA Pollard,A Mishra,AP Tare,0,Not out
16.7,KA Pollard,A Mishra,AP Tare,2,Not out
17.1,AP Tare,DW Steyn,KA Pollard,1,Not out
17.2,KA Pollard,DW Steyn,AP Tare,1,Not out
17.3,AP Tare,DW Steyn,KA Pollard,2,Not out
17.4,AP Tare,DW Steyn,KA Pollard,0,caught
17.5,KA Pollard,DW Steyn,Harbhajan Singh,0,Not out
17.6,KA Pollard,DW Steyn,Harbhajan Singh,0,Not out
18.1,Harbhajan Singh,B Kumar,KA Pollard,1,Not out
18.2,KA Pollard,B Kumar,Harbhajan Singh,1,Not out
18.3,Harbhajan Singh,B Kumar,KA Pollard,0,Not out
18.4,Harbhajan Singh,B Kumar,KA Pollard,0,Not out
18.5,Harbhajan Singh,B Kumar,KA Pollard,0,caught
18.6,CM Gautam,B Kumar,KA Pollard,4,Not out
18.7,CM Gautam,B Kumar,KA Pollard,0,Not out
19.1,KA Pollard,IK Pathan,CM Gautam,0,bowled
19.2,Z Khan,IK Pathan,CM Gautam,1,Not out
19.3,CM Gautam,IK Pathan,Z Khan,0,Not out
19.4,CM Gautam,IK Pathan,Z Khan,0,Not out
19.5,Z Khan,IK Pathan,CM Gautam,0,Not out
19.6,CM Gautam,IK Pathan,Z Khan,0,Not out
