ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,JD Ryder,JA Morkel,MD Mishra,0,Not out
0.2,MD Mishra,JA Morkel,JD Ryder,0,Not out
0.3,MD Mishra,JA Morkel,JD Ryder,0,Not out
0.4,MD Mishra,JA Morkel,JD Ryder,0,Not out
0.5,MD Mishra,JA Morkel,JD Ryder,2,Not out
0.6,MD Mishra,JA Morkel,JD Ryder,0,Not out
1.1,JD Ryder,DE Bollinger,MD Mishra,1,Not out
1.2,MD Mishra,DE Bollinger,JD Ryder,1,Not out
1.3,JD Ryder,DE Bollinger,MD Mishra,4,Not out
1.4,JD Ryder,DE Bollinger,MD Mishra,2,Not out
1.5,JD Ryder,DE Bollinger,MD Mishra,0,Not out
1.6,JD Ryder,DE Bollinger,MD Mishra,0,Not out
2.1,JD Ryder,JA Morkel,MD Mishra,1,Not out
2.2,MD Mishra,JA Morkel,JD Ryder,2,Not out
2.3,MD Mishra,JA Morkel,JD Ryder,4,Not out
2.4,MD Mishra,JA Morkel,JD Ryder,0,bowled
2.5,MK Pandey,JA Morkel,JD Ryder,0,Not out
2.6,MK Pandey,JA Morkel,JD Ryder,0,Not out
3.1,JD Ryder,R Ashwin,MK Pandey,0,Not out
3.2,JD Ryder,R Ashwin,MK Pandey,1,Not out
3.3,MK Pandey,R Ashwin,JD Ryder,0,Not out
3.4,MK Pandey,R Ashwin,JD Ryder,1,Not out
3.5,JD Ryder,R Ashwin,MK Pandey,6,Not out
3.6,JD Ryder,R Ashwin,MK Pandey,0,bowled
4.1,MK Pandey,JA Morkel,RV Uthappa,1,Not out
4.2,RV Uthappa,JA Morkel,MK Pandey,0,Not out
4.3,MK Pandey,JA Morkel,RV Uthappa,2,Not out
4.4,MK Pandey,JA Morkel,RV Uthappa,4,Not out
4.5,MK Pandey,JA Morkel,RV Uthappa,4,Not out
4.6,MK Pandey,JA Morkel,RV Uthappa,0,bowled
4.7,Yuvraj Singh,JA Morkel,RV Uthappa,0,Not out
5.1,RV Uthappa,R Ashwin,Yuvraj Singh,0,Not out
5.2,RV Uthappa,R Ashwin,Yuvraj Singh,0,Not out
5.3,RV Uthappa,R Ashwin,Yuvraj Singh,0,bowled
5.4,M Manhas,R Ashwin,Yuvraj Singh,0,Not out
5.5,M Manhas,R Ashwin,Yuvraj Singh,0,Not out
5.6,M Manhas,R Ashwin,Yuvraj Singh,0,Not out
6.1,Yuvraj Singh,S Randiv,M Manhas,1,Not out
6.2,M Manhas,S Randiv,Yuvraj Singh,1,Not out
6.3,Yuvraj Singh,S Randiv,M Manhas,0,Not out
6.4,Yuvraj Singh,S Randiv,M Manhas,1,Not out
6.5,M Manhas,S Randiv,Yuvraj Singh,0,Not out
6.6,M Manhas,S Randiv,Yuvraj Singh,0,Not out
7.1,Yuvraj Singh,SK Raina,M Manhas,1,Not out
7.2,M Manhas,SK Raina,Yuvraj Singh,0,Not out
7.3,M Manhas,SK Raina,Yuvraj Singh,1,Not out
7.4,Yuvraj Singh,SK Raina,M Manhas,1,Not out
7.5,M Manhas,SK Raina,Yuvraj Singh,1,Not out
7.6,Yuvraj Singh,SK Raina,M Manhas,1,Not out
8.1,Yuvraj Singh,S Randiv,M Manhas,0,Not out
8.2,Yuvraj Singh,S Randiv,M Manhas,1,Not out
8.3,M Manhas,S Randiv,Yuvraj Singh,2,Not out
8.4,M Manhas,S Randiv,Yuvraj Singh,1,Not out
8.5,Yuvraj Singh,S Randiv,M Manhas,0,Not out
8.6,Yuvraj Singh,S Randiv,M Manhas,0,Not out
9.1,M Manhas,SK Raina,Yuvraj Singh,1,Not out
9.2,Yuvraj Singh,SK Raina,M Manhas,0,Not out
9.3,Yuvraj Singh,SK Raina,M Manhas,0,Not out
9.4,Yuvraj Singh,SK Raina,M Manhas,4,Not out
9.5,Yuvraj Singh,SK Raina,M Manhas,1,Not out
9.6,M Manhas,SK Raina,Yuvraj Singh,0,Not out
10.1,Yuvraj Singh,S Randiv,M Manhas,0,Not out
10.2,Yuvraj Singh,S Randiv,M Manhas,0,Not out
10.3,Yuvraj Singh,S Randiv,M Manhas,1,Not out
10.4,M Manhas,S Randiv,Yuvraj Singh,6,Not out
10.5,M Manhas,S Randiv,Yuvraj Singh,0,Not out
10.6,M Manhas,S Randiv,Yuvraj Singh,1,Not out
11.1,M Manhas,R Ashwin,Yuvraj Singh,1,Not out
11.2,Yuvraj Singh,R Ashwin,M Manhas,1,Not out
11.3,M Manhas,R Ashwin,Yuvraj Singh,2,Not out
11.4,M Manhas,R Ashwin,Yuvraj Singh,1,Not out
11.5,Yuvraj Singh,R Ashwin,M Manhas,1,Not out
11.6,M Manhas,R Ashwin,Yuvraj Singh,1,Not out
12.1,M Manhas,DE Bollinger,Yuvraj Singh,0,Not out
12.2,M Manhas,DE Bollinger,Yuvraj Singh,1,Not out
12.3,Yuvraj Singh,DE Bollinger,M Manhas,2,Not out
12.4,Yuvraj Singh,DE Bollinger,M Manhas,1,Not out
12.5,M Manhas,DE Bollinger,Yuvraj Singh,0,Not out
12.6,M Manhas,DE Bollinger,Yuvraj Singh,0,caught
12.7,NL McCullum,DE Bollinger,Yuvraj Singh,0,Not out
13.1,Yuvraj Singh,SB Jakati,NL McCullum,1,Not out
13.2,NL McCullum,SB Jakati,Yuvraj Singh,3,Not out
13.3,Yuvraj Singh,SB Jakati,NL McCullum,0,Not out
13.4,Yuvraj Singh,SB Jakati,NL McCullum,1,Not out
13.5,NL McCullum,SB Jakati,Yuvraj Singh,2,Not out
13.6,NL McCullum,SB Jakati,Yuvraj Singh,0,Not out
14.1,Yuvraj Singh,S Randiv,NL McCullum,4,Not out
14.2,Yuvraj Singh,S Randiv,NL McCullum,0,Not out
14.3,Yuvraj Singh,S Randiv,NL McCullum,1,Not out
14.4,NL McCullum,S Randiv,Yuvraj Singh,1,Not out
14.5,Yuvraj Singh,S Randiv,NL McCullum,2,Not out
14.6,Yuvraj Singh,S Randiv,NL McCullum,0,Not out
15.1,NL McCullum,SB Jakati,Yuvraj Singh,1,Not out
15.2,Yuvraj Singh,SB Jakati,NL McCullum,0,Not out
15.3,Yuvraj Singh,SB Jakati,NL McCullum,2,Not out
15.4,Yuvraj Singh,SB Jakati,NL McCullum,1,Not out
15.5,NL McCullum,SB Jakati,Yuvraj Singh,1,Not out
15.6,Yuvraj Singh,SB Jakati,NL McCullum,0,Not out
16.1,NL McCullum,R Ashwin,Yuvraj Singh,1,Not out
16.2,Yuvraj Singh,R Ashwin,NL McCullum,0,Not out
16.3,Yuvraj Singh,R Ashwin,NL McCullum,0,Not out
16.4,Yuvraj Singh,R Ashwin,NL McCullum,1,Not out
16.5,NL McCullum,R Ashwin,Yuvraj Singh,0,Not out
16.6,NL McCullum,R Ashwin,Yuvraj Singh,2,Not out
17.1,Yuvraj Singh,DE Bollinger,NL McCullum,0,Not out
17.2,Yuvraj Singh,DE Bollinger,NL McCullum,0,Not out
17.3,Yuvraj Singh,DE Bollinger,NL McCullum,1,Not out
17.4,NL McCullum,DE Bollinger,Yuvraj Singh,1,Not out
17.5,Yuvraj Singh,DE Bollinger,NL McCullum,1,Not out
17.6,NL McCullum,DE Bollinger,Yuvraj Singh,1,Not out
18.1,NL McCullum,JA Morkel,Yuvraj Singh,1,Not out
18.2,Yuvraj Singh,JA Morkel,NL McCullum,2,Not out
18.3,Yuvraj Singh,JA Morkel,NL McCullum,0,caught
18.4,R Sharma,JA Morkel,NL McCullum,1,Not out
18.5,NL McCullum,JA Morkel,R Sharma,0,run out
18.6,JE Taylor,JA Morkel,NL McCullum,0,Not out
18.7,JE Taylor,JA Morkel,NL McCullum,2,Not out
19.1,NL McCullum,DE Bollinger,JE Taylor,1,run out
19.2,NL McCullum,DE Bollinger,M Kartik,0,caught
19.3,M Kartik,DE Bollinger,AC Thomas,1,Not out
19.4,AC Thomas,DE Bollinger,M Kartik,1,Not out
19.5,M Kartik,DE Bollinger,AC Thomas,0,Not out
19.6,AC Thomas,DE Bollinger,M Kartik,0,Not out
