ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,V Kohli,TG Southee,KL Rahul,1,Not out
0.2,KL Rahul,TG Southee,V Kohli,0,Not out
0.3,KL Rahul,TG Southee,V Kohli,2,Not out
0.4,KL Rahul,TG Southee,V Kohli,1,Not out
0.5,V Kohli,TG Southee,KL Rahul,0,Not out
0.6,V Kohli,TG Southee,KL Rahul,0,Not out
1.1,KL Rahul,MJ McClenaghan,V Kohli,0,Not out
1.2,V Kohli,MJ McClenaghan,KL Rahul,1,Not out
1.3,KL Rahul,MJ McClenaghan,V Kohli,0,Not out
1.4,KL Rahul,MJ McClenaghan,V Kohli,0,Not out
1.5,KL Rahul,MJ McClenaghan,V Kohli,0,Not out
1.6,KL Rahul,MJ McClenaghan,V Kohli,0,Not out
2.1,V Kohli,TG Southee,KL Rahul,0,Not out
2.2,V Kohli,TG Southee,KL Rahul,0,Not out
2.3,V Kohli,TG Southee,KL Rahul,4,Not out
2.4,V Kohli,TG Southee,KL Rahul,1,Not out
2.5,KL Rahul,TG Southee,V Kohli,0,Not out
2.6,KL Rahul,TG Southee,V Kohli,4,Not out
3.1,V Kohli,MJ McClenaghan,KL Rahul,1,Not out
3.2,KL Rahul,MJ McClenaghan,V Kohli,6,Not out
3.3,KL Rahul,MJ McClenaghan,V Kohli,6,Not out
3.4,KL Rahul,MJ McClenaghan,V Kohli,4,Not out
3.5,KL Rahul,MJ McClenaghan,V Kohli,0,caught
3.6,AB de Villiers,MJ McClenaghan,V Kohli,0,Not out
4.1,V Kohli,TG Southee,AB de Villiers,1,Not out
4.2,AB de Villiers,TG Southee,V Kohli,1,Not out
4.3,V Kohli,TG Southee,AB de Villiers,2,Not out
4.4,V Kohli,TG Southee,AB de Villiers,1,Not out
4.5,AB de Villiers,TG Southee,V Kohli,0,Not out
4.6,AB de Villiers,TG Southee,V Kohli,4,Not out
5.1,V Kohli,JJ Bumrah,AB de Villiers,1,Not out
5.2,AB de Villiers,JJ Bumrah,V Kohli,1,Not out
5.3,V Kohli,JJ Bumrah,AB de Villiers,1,Not out
5.4,AB de Villiers,JJ Bumrah,V Kohli,1,Not out
5.5,V Kohli,JJ Bumrah,AB de Villiers,0,Not out
5.6,V Kohli,JJ Bumrah,AB de Villiers,4,Not out
6.1,AB de Villiers,Harbhajan Singh,V Kohli,0,Not out
6.2,AB de Villiers,Harbhajan Singh,V Kohli,1,Not out
6.3,V Kohli,Harbhajan Singh,AB de Villiers,0,Not out
6.4,V Kohli,Harbhajan Singh,AB de Villiers,0,Not out
6.5,V Kohli,Harbhajan Singh,AB de Villiers,1,Not out
6.6,AB de Villiers,Harbhajan Singh,V Kohli,0,Not out
6.7,AB de Villiers,Harbhajan Singh,V Kohli,4,Not out
7.1,V Kohli,KH Pandya,AB de Villiers,1,Not out
7.2,AB de Villiers,KH Pandya,V Kohli,0,Not out
7.3,AB de Villiers,KH Pandya,V Kohli,1,Not out
7.4,V Kohli,KH Pandya,AB de Villiers,1,Not out
7.5,AB de Villiers,KH Pandya,V Kohli,1,Not out
7.6,V Kohli,KH Pandya,AB de Villiers,2,Not out
7.7,V Kohli,KH Pandya,AB de Villiers,0,Not out
7.8,V Kohli,KH Pandya,AB de Villiers,0,Not out
7.9,V Kohli,KH Pandya,AB de Villiers,1,Not out
8.1,V Kohli,Harbhajan Singh,AB de Villiers,0,Not out
8.2,V Kohli,Harbhajan Singh,AB de Villiers,4,Not out
8.3,V Kohli,Harbhajan Singh,AB de Villiers,1,Not out
8.4,AB de Villiers,Harbhajan Singh,V Kohli,4,Not out
8.5,AB de Villiers,Harbhajan Singh,V Kohli,1,Not out
8.6,V Kohli,Harbhajan Singh,AB de Villiers,1,Not out
8.7,AB de Villiers,Harbhajan Singh,V Kohli,1,Not out
9.1,AB de Villiers,HH Pandya,V Kohli,1,Not out
9.2,V Kohli,HH Pandya,AB de Villiers,0,Not out
9.3,V Kohli,HH Pandya,AB de Villiers,0,Not out
9.4,AB de Villiers,HH Pandya,V Kohli,6,Not out
9.5,AB de Villiers,HH Pandya,V Kohli,1,Not out
9.6,V Kohli,HH Pandya,AB de Villiers,1,Not out
10.1,V Kohli,KH Pandya,AB de Villiers,2,Not out
10.2,V Kohli,KH Pandya,AB de Villiers,0,caught
10.3,AB de Villiers,KH Pandya,SR Watson,1,Not out
10.4,SR Watson,KH Pandya,AB de Villiers,1,Not out
10.5,AB de Villiers,KH Pandya,SR Watson,0,Not out
10.6,AB de Villiers,KH Pandya,SR Watson,0,stumped
11.1,SR Watson,TG Southee,TM Head,2,Not out
11.2,SR Watson,TG Southee,TM Head,0,Not out
11.3,SR Watson,TG Southee,TM Head,1,Not out
11.4,TM Head,TG Southee,SR Watson,0,Not out
11.5,TM Head,TG Southee,SR Watson,0,Not out
11.6,TM Head,TG Southee,SR Watson,0,Not out
12.1,SR Watson,KH Pandya,TM Head,0,Not out
12.2,SR Watson,KH Pandya,TM Head,0,Not out
12.3,SR Watson,KH Pandya,TM Head,1,Not out
12.4,TM Head,KH Pandya,SR Watson,1,Not out
12.5,SR Watson,KH Pandya,TM Head,0,Not out
12.6,SR Watson,KH Pandya,TM Head,0,Not out
13.1,TM Head,JJ Bumrah,SR Watson,0,Not out
13.2,TM Head,JJ Bumrah,SR Watson,1,Not out
13.3,SR Watson,JJ Bumrah,TM Head,0,caught
13.4,SN Khan,JJ Bumrah,TM Head,0,Not out
13.5,SN Khan,JJ Bumrah,TM Head,0,Not out
13.6,SN Khan,JJ Bumrah,TM Head,4,Not out
