ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,AM Rahane,STR Binny,F du Plessis,0,Not out
0.2,AM Rahane,STR Binny,F du Plessis,4,Not out
0.3,AM Rahane,STR Binny,F du Plessis,0,Not out
0.4,AM Rahane,STR Binny,F du Plessis,4,Not out
0.5,AM Rahane,STR Binny,F du Plessis,1,Not out
0.6,F du Plessis,STR Binny,AM Rahane,2,Not out
1.1,AM Rahane,KW Richardson,F du Plessis,0,Not out
1.2,AM Rahane,KW Richardson,F du Plessis,1,Not out
1.3,F du Plessis,KW Richardson,AM Rahane,0,Not out
1.4,F du Plessis,KW Richardson,AM Rahane,0,caught
1.5,KP Pietersen,KW Richardson,AM Rahane,0,retired hurt
1.6,SPD Smith,KW Richardson,AM Rahane,0,Not out
2.1,AM Rahane,HV Patel,SPD Smith,1,Not out
2.2,SPD Smith,HV Patel,AM Rahane,4,Not out
2.3,SPD Smith,HV Patel,AM Rahane,0,Not out
2.4,SPD Smith,HV Patel,AM Rahane,0,run out
2.5,MS Dhoni,HV Patel,AM Rahane,0,Not out
2.6,MS Dhoni,HV Patel,AM Rahane,0,Not out
2.7,MS Dhoni,HV Patel,AM Rahane,0,Not out
3.1,AM Rahane,KW Richardson,MS Dhoni,0,Not out
3.2,AM Rahane,KW Richardson,MS Dhoni,4,Not out
3.3,AM Rahane,KW Richardson,MS Dhoni,0,Not out
3.4,AM Rahane,KW Richardson,MS Dhoni,1,Not out
3.5,MS Dhoni,KW Richardson,AM Rahane,0,Not out
3.6,MS Dhoni,KW Richardson,AM Rahane,0,Not out
4.1,AM Rahane,HV Patel,MS Dhoni,1,Not out
4.2,MS Dhoni,HV Patel,AM Rahane,4,Not out
4.3,MS Dhoni,HV Patel,AM Rahane,0,Not out
4.4,MS Dhoni,HV Patel,AM Rahane,1,Not out
4.5,AM Rahane,HV Patel,MS Dhoni,1,Not out
4.6,MS Dhoni,HV Patel,AM Rahane,1,Not out
4.7,AM Rahane,HV Patel,MS Dhoni,0,Not out
5.1,MS Dhoni,SR Watson,AM Rahane,0,Not out
5.2,MS Dhoni,SR Watson,AM Rahane,1,Not out
5.3,AM Rahane,SR Watson,MS Dhoni,1,Not out
5.4,MS Dhoni,SR Watson,AM Rahane,0,Not out
5.5,MS Dhoni,SR Watson,AM Rahane,1,Not out
5.6,AM Rahane,SR Watson,MS Dhoni,1,Not out
6.1,AM Rahane,T Shamsi,MS Dhoni,1,Not out
6.2,MS Dhoni,T Shamsi,AM Rahane,1,Not out
6.3,AM Rahane,T Shamsi,MS Dhoni,1,Not out
6.4,MS Dhoni,T Shamsi,AM Rahane,0,Not out
6.5,MS Dhoni,T Shamsi,AM Rahane,1,Not out
6.6,AM Rahane,T Shamsi,MS Dhoni,0,Not out
7.1,AM Rahane,STR Binny,MS Dhoni,1,Not out
7.2,MS Dhoni,STR Binny,AM Rahane,1,Not out
7.3,AM Rahane,STR Binny,MS Dhoni,4,Not out
7.4,AM Rahane,STR Binny,MS Dhoni,1,Not out
7.5,MS Dhoni,STR Binny,AM Rahane,1,Not out
7.6,AM Rahane,STR Binny,MS Dhoni,4,Not out
8.1,MS Dhoni,T Shamsi,AM Rahane,2,Not out
8.2,MS Dhoni,T Shamsi,AM Rahane,1,Not out
8.3,AM Rahane,T Shamsi,MS Dhoni,0,Not out
8.4,AM Rahane,T Shamsi,MS Dhoni,4,Not out
8.5,AM Rahane,T Shamsi,MS Dhoni,1,Not out
8.6,MS Dhoni,T Shamsi,AM Rahane,4,Not out
9.1,AM Rahane,Iqbal Abdulla,MS Dhoni,2,Not out
9.2,AM Rahane,Iqbal Abdulla,MS Dhoni,1,Not out
9.3,MS Dhoni,Iqbal Abdulla,AM Rahane,1,Not out
9.4,AM Rahane,Iqbal Abdulla,MS Dhoni,1,Not out
9.5,MS Dhoni,Iqbal Abdulla,AM Rahane,1,Not out
9.6,AM Rahane,Iqbal Abdulla,MS Dhoni,2,Not out
10.1,MS Dhoni,T Shamsi,AM Rahane,1,Not out
10.2,AM Rahane,T Shamsi,MS Dhoni,1,Not out
10.3,MS Dhoni,T Shamsi,AM Rahane,1,Not out
10.4,AM Rahane,T Shamsi,MS Dhoni,4,Not out
10.5,AM Rahane,T Shamsi,MS Dhoni,0,Not out
10.6,AM Rahane,T Shamsi,MS Dhoni,0,Not out
11.1,MS Dhoni,Iqbal Abdulla,AM Rahane,1,Not out
11.2,AM Rahane,Iqbal Abdulla,MS Dhoni,1,Not out
11.3,MS Dhoni,Iqbal Abdulla,AM Rahane,1,Not out
11.4,AM Rahane,Iqbal Abdulla,MS Dhoni,1,Not out
11.5,MS Dhoni,Iqbal Abdulla,AM Rahane,1,Not out
11.6,AM Rahane,Iqbal Abdulla,MS Dhoni,1,Not out
12.1,AM Rahane,SR Watson,MS Dhoni,2,Not out
12.2,AM Rahane,SR Watson,MS Dhoni,1,Not out
12.3,MS Dhoni,SR Watson,AM Rahane,1,Not out
12.4,AM Rahane,SR Watson,MS Dhoni,0,Not out
12.5,AM Rahane,SR Watson,MS Dhoni,0,Not out
12.6,AM Rahane,SR Watson,MS Dhoni,4,Not out
13.1,MS Dhoni,Iqbal Abdulla,AM Rahane,2,Not out
13.2,MS Dhoni,Iqbal Abdulla,AM Rahane,1,Not out
13.3,AM Rahane,Iqbal Abdulla,MS Dhoni,1,Not out
13.4,MS Dhoni,Iqbal Abdulla,AM Rahane,1,Not out
13.5,AM Rahane,Iqbal Abdulla,MS Dhoni,0,Not out
13.6,AM Rahane,Iqbal Abdulla,MS Dhoni,1,Not out
