ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,R Dravid,B Lee,AM Rahane,0,Not out
0.2,R Dravid,B Lee,AM Rahane,1,Not out
0.3,AM Rahane,B Lee,R Dravid,0,Not out
0.4,AM Rahane,B Lee,R Dravid,0,Not out
0.5,AM Rahane,B Lee,R Dravid,0,Not out
0.6,AM Rahane,B Lee,R Dravid,0,Not out
1.1,R Dravid,JH Kallis,AM Rahane,0,Not out
1.2,R Dravid,JH Kallis,AM Rahane,0,Not out
1.3,R Dravid,JH Kallis,AM Rahane,0,run out
1.4,SP Goswami,JH Kallis,R Dravid,2,Not out
1.5,SP Goswami,JH Kallis,R Dravid,1,Not out
1.6,R Dravid,JH Kallis,SP Goswami,0,Not out
2.1,SP Goswami,B Lee,R Dravid,1,Not out
2.2,R Dravid,B Lee,SP Goswami,6,Not out
2.3,R Dravid,B Lee,SP Goswami,0,Not out
2.4,R Dravid,B Lee,SP Goswami,0,Not out
2.5,R Dravid,B Lee,SP Goswami,4,Not out
2.6,R Dravid,B Lee,SP Goswami,0,Not out
3.1,SP Goswami,JH Kallis,R Dravid,0,Not out
3.2,SP Goswami,JH Kallis,R Dravid,0,Not out
3.3,SP Goswami,JH Kallis,R Dravid,0,Not out
3.4,SP Goswami,JH Kallis,R Dravid,1,Not out
3.5,R Dravid,JH Kallis,SP Goswami,4,Not out
3.6,R Dravid,JH Kallis,SP Goswami,0,Not out
3.7,R Dravid,JH Kallis,SP Goswami,1,Not out
4.1,R Dravid,SP Narine,SP Goswami,0,Not out
4.2,R Dravid,SP Narine,SP Goswami,0,Not out
4.3,R Dravid,SP Narine,SP Goswami,0,Not out
4.4,R Dravid,SP Narine,SP Goswami,0,Not out
4.5,R Dravid,SP Narine,SP Goswami,6,Not out
4.6,R Dravid,SP Narine,SP Goswami,1,Not out
5.1,R Dravid,Iqbal Abdulla,SP Goswami,1,Not out
5.2,SP Goswami,Iqbal Abdulla,R Dravid,1,Not out
5.3,R Dravid,Iqbal Abdulla,SP Goswami,1,Not out
5.4,SP Goswami,Iqbal Abdulla,R Dravid,4,Not out
5.5,SP Goswami,Iqbal Abdulla,R Dravid,1,Not out
5.6,R Dravid,Iqbal Abdulla,SP Goswami,0,Not out
6.1,SP Goswami,R Bhatia,R Dravid,1,Not out
6.2,R Dravid,R Bhatia,SP Goswami,1,Not out
6.3,SP Goswami,R Bhatia,R Dravid,4,Not out
6.4,SP Goswami,R Bhatia,R Dravid,1,run out
6.5,SP Goswami,R Bhatia,AL Menaria,1,Not out
6.6,AL Menaria,R Bhatia,SP Goswami,1,Not out
7.1,AL Menaria,YK Pathan,SP Goswami,0,Not out
7.2,AL Menaria,YK Pathan,SP Goswami,0,Not out
7.3,AL Menaria,YK Pathan,SP Goswami,1,Not out
