ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,DA Warner,J Yadav,S Dhawan,0,Not out
0.2,DA Warner,J Yadav,S Dhawan,4,Not out
0.3,DA Warner,J Yadav,S Dhawan,0,Not out
0.4,DA Warner,J Yadav,S Dhawan,0,Not out
0.5,DA Warner,J Yadav,S Dhawan,0,Not out
0.6,DA Warner,J Yadav,S Dhawan,0,Not out
1.1,S Dhawan,K Rabada,DA Warner,4,Not out
1.2,S Dhawan,K Rabada,DA Warner,1,Not out
1.3,DA Warner,K Rabada,S Dhawan,0,Not out
1.4,DA Warner,K Rabada,S Dhawan,0,Not out
1.5,DA Warner,K Rabada,S Dhawan,4,Not out
1.6,DA Warner,K Rabada,S Dhawan,2,Not out
2.1,S Dhawan,J Yadav,DA Warner,1,Not out
2.2,DA Warner,J Yadav,S Dhawan,0,Not out
2.3,DA Warner,J Yadav,S Dhawan,0,Not out
2.4,DA Warner,J Yadav,S Dhawan,6,Not out
2.5,DA Warner,J Yadav,S Dhawan,1,Not out
2.6,S Dhawan,J Yadav,DA Warner,2,Not out
3.1,DA Warner,CH Morris,S Dhawan,1,Not out
3.2,S Dhawan,CH Morris,DA Warner,4,Not out
3.3,S Dhawan,CH Morris,DA Warner,0,Not out
3.4,S Dhawan,CH Morris,DA Warner,0,Not out
3.5,S Dhawan,CH Morris,DA Warner,6,Not out
3.6,S Dhawan,CH Morris,DA Warner,4,Not out
4.1,DA Warner,K Rabada,S Dhawan,2,Not out
4.2,DA Warner,K Rabada,S Dhawan,4,Not out
4.3,DA Warner,K Rabada,S Dhawan,1,Not out
4.4,S Dhawan,K Rabada,DA Warner,0,Not out
4.5,S Dhawan,K Rabada,DA Warner,1,Not out
4.6,DA Warner,K Rabada,S Dhawan,1,Not out
5.1,DA Warner,Mohammed Shami,S Dhawan,4,Not out
5.2,DA Warner,Mohammed Shami,S Dhawan,0,bowled
5.3,KS Williamson,Mohammed Shami,S Dhawan,0,Not out
5.4,KS Williamson,Mohammed Shami,S Dhawan,5,Not out
5.5,S Dhawan,Mohammed Shami,KS Williamson,0,Not out
5.6,S Dhawan,Mohammed Shami,KS Williamson,4,Not out
6.1,KS Williamson,CH Morris,S Dhawan,0,Not out
6.2,KS Williamson,CH Morris,S Dhawan,0,Not out
6.3,KS Williamson,CH Morris,S Dhawan,0,Not out
6.4,KS Williamson,CH Morris,S Dhawan,0,Not out
6.5,KS Williamson,CH Morris,S Dhawan,1,Not out
6.6,S Dhawan,CH Morris,KS Williamson,0,Not out
7.1,KS Williamson,J Yadav,S Dhawan,1,Not out
7.2,S Dhawan,J Yadav,KS Williamson,1,Not out
7.3,KS Williamson,J Yadav,S Dhawan,0,Not out
7.4,KS Williamson,J Yadav,S Dhawan,0,Not out
7.5,KS Williamson,J Yadav,S Dhawan,6,Not out
7.6,KS Williamson,J Yadav,S Dhawan,0,Not out
8.1,S Dhawan,A Mishra,KS Williamson,0,Not out
8.2,S Dhawan,A Mishra,KS Williamson,0,caught
8.3,KS Williamson,A Mishra,Yuvraj Singh,1,Not out
8.4,Yuvraj Singh,A Mishra,KS Williamson,1,Not out
8.5,KS Williamson,A Mishra,Yuvraj Singh,1,Not out
8.6,Yuvraj Singh,A Mishra,KS Williamson,0,Not out
9.1,KS Williamson,J Yadav,Yuvraj Singh,0,Not out
9.2,Yuvraj Singh,J Yadav,KS Williamson,0,Not out
9.3,Yuvraj Singh,J Yadav,KS Williamson,1,Not out
9.4,KS Williamson,J Yadav,Yuvraj Singh,1,Not out
9.5,Yuvraj Singh,J Yadav,KS Williamson,1,Not out
9.6,KS Williamson,J Yadav,Yuvraj Singh,1,Not out
10.1,KS Williamson,A Mishra,Yuvraj Singh,0,Not out
10.2,KS Williamson,A Mishra,Yuvraj Singh,1,Not out
10.3,Yuvraj Singh,A Mishra,KS Williamson,1,Not out
10.4,KS Williamson,A Mishra,Yuvraj Singh,4,Not out
10.5,KS Williamson,A Mishra,Yuvraj Singh,1,Not out
10.6,Yuvraj Singh,A Mishra,KS Williamson,0,Not out
11.1,KS Williamson,Mohammed Shami,Yuvraj Singh,0,Not out
11.2,KS Williamson,Mohammed Shami,Yuvraj Singh,1,Not out
11.3,Yuvraj Singh,Mohammed Shami,KS Williamson,1,Not out
11.4,KS Williamson,Mohammed Shami,Yuvraj Singh,0,caught
11.5,Yuvraj Singh,Mohammed Shami,MC Henriques,0,Not out
11.6,Yuvraj Singh,Mohammed Shami,MC Henriques,1,Not out
12.1,Yuvraj Singh,A Mishra,MC Henriques,0,Not out
12.2,Yuvraj Singh,A Mishra,MC Henriques,1,Not out
12.3,MC Henriques,A Mishra,Yuvraj Singh,0,Not out
12.4,MC Henriques,A Mishra,Yuvraj Singh,2,Not out
12.5,MC Henriques,A Mishra,Yuvraj Singh,1,Not out
12.6,Yuvraj Singh,A Mishra,MC Henriques,1,Not out
13.1,Yuvraj Singh,Mohammed Shami,MC Henriques,0,Not out
13.2,Yuvraj Singh,Mohammed Shami,MC Henriques,4,Not out
13.3,Yuvraj Singh,Mohammed Shami,MC Henriques,1,Not out
13.4,MC Henriques,Mohammed Shami,Yuvraj Singh,1,Not out
13.5,Yuvraj Singh,Mohammed Shami,MC Henriques,1,Not out
13.6,MC Henriques,Mohammed Shami,Yuvraj Singh,1,Not out
14.1,MC Henriques,A Mishra,Yuvraj Singh,1,Not out
14.2,Yuvraj Singh,A Mishra,MC Henriques,0,Not out
14.3,Yuvraj Singh,A Mishra,MC Henriques,0,Not out
14.4,Yuvraj Singh,A Mishra,MC Henriques,4,Not out
14.5,Yuvraj Singh,A Mishra,MC Henriques,0,Not out
14.6,Yuvraj Singh,A Mishra,MC Henriques,1,Not out
14.7,MC Henriques,A Mishra,Yuvraj Singh,1,Not out
15.1,MC Henriques,Mohammed Shami,Yuvraj Singh,1,Not out
15.2,Yuvraj Singh,Mohammed Shami,MC Henriques,0,Not out
15.3,Yuvraj Singh,Mohammed Shami,MC Henriques,4,Not out
15.4,Yuvraj Singh,Mohammed Shami,MC Henriques,0,Not out
15.5,Yuvraj Singh,Mohammed Shami,MC Henriques,1,Not out
15.6,MC Henriques,Mohammed Shami,Yuvraj Singh,1,Not out
15.7,Yuvraj Singh,Mohammed Shami,MC Henriques,4,Not out
16.1,MC Henriques,CH Morris,Yuvraj Singh,1,Not out
16.2,Yuvraj Singh,CH Morris,MC Henriques,1,Not out
16.3,MC Henriques,CH Morris,Yuvraj Singh,1,Not out
16.4,Yuvraj Singh,CH Morris,MC Henriques,2,Not out
16.5,Yuvraj Singh,CH Morris,MC Henriques,1,Not out
16.6,MC Henriques,CH Morris,Yuvraj Singh,1,Not out
17.1,MC Henriques,K Rabada,Yuvraj Singh,4,Not out
17.2,MC Henriques,K Rabada,Yuvraj Singh,1,Not out
17.3,Yuvraj Singh,K Rabada,MC Henriques,4,Not out
17.4,Yuvraj Singh,K Rabada,MC Henriques,6,Not out
17.5,Yuvraj Singh,K Rabada,MC Henriques,1,Not out
17.6,MC Henriques,K Rabada,Yuvraj Singh,4,Not out
18.1,Yuvraj Singh,CH Morris,MC Henriques,1,Not out
18.2,MC Henriques,CH Morris,Yuvraj Singh,1,Not out
18.3,Yuvraj Singh,CH Morris,MC Henriques,4,Not out
18.4,Yuvraj Singh,CH Morris,MC Henriques,4,Not out
18.5,Yuvraj Singh,CH Morris,MC Henriques,1,Not out
18.6,MC Henriques,CH Morris,Yuvraj Singh,2,Not out
19.1,Yuvraj Singh,K Rabada,MC Henriques,4,Not out
19.2,Yuvraj Singh,K Rabada,MC Henriques,0,Not out
19.3,Yuvraj Singh,K Rabada,MC Henriques,4,Not out
19.4,Yuvraj Singh,K Rabada,MC Henriques,1,Not out
19.5,MC Henriques,K Rabada,Yuvraj Singh,1,Not out
19.6,Yuvraj Singh,K Rabada,MC Henriques,4,Not out
19.7,Yuvraj Singh,K Rabada,MC Henriques,4,Not out
