ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,SR Watson,JA Morkel,R Dravid,0,Not out
0.2,SR Watson,JA Morkel,R Dravid,1,Not out
0.3,R Dravid,JA Morkel,SR Watson,1,Not out
0.4,SR Watson,JA Morkel,R Dravid,0,Not out
0.5,SR Watson,JA Morkel,R Dravid,0,Not out
0.6,SR Watson,JA Morkel,R Dravid,3,Not out
1.1,SR Watson,DE Bollinger,R Dravid,0,Not out
1.2,SR Watson,DE Bollinger,R Dravid,1,Not out
1.3,R Dravid,DE Bollinger,SR Watson,0,Not out
1.4,R Dravid,DE Bollinger,SR Watson,1,Not out
1.5,SR Watson,DE Bollinger,R Dravid,4,Not out
1.6,SR Watson,DE Bollinger,R Dravid,0,Not out
2.1,R Dravid,JA Morkel,SR Watson,0,Not out
2.2,R Dravid,JA Morkel,SR Watson,0,Not out
2.3,R Dravid,JA Morkel,SR Watson,1,Not out
2.4,SR Watson,JA Morkel,R Dravid,0,Not out
2.5,SR Watson,JA Morkel,R Dravid,0,Not out
2.6,SR Watson,JA Morkel,R Dravid,0,Not out
3.1,R Dravid,DE Bollinger,SR Watson,4,Not out
3.2,R Dravid,DE Bollinger,SR Watson,0,Not out
3.3,R Dravid,DE Bollinger,SR Watson,0,Not out
3.4,SR Watson,DE Bollinger,R Dravid,0,Not out
3.5,SR Watson,DE Bollinger,R Dravid,1,Not out
3.6,R Dravid,DE Bollinger,SR Watson,0,Not out
4.1,SR Watson,JA Morkel,R Dravid,4,Not out
4.2,SR Watson,JA Morkel,R Dravid,1,Not out
4.3,R Dravid,JA Morkel,SR Watson,4,Not out
4.4,R Dravid,JA Morkel,SR Watson,0,Not out
4.5,R Dravid,JA Morkel,SR Watson,1,Not out
4.6,SR Watson,JA Morkel,R Dravid,4,Not out
5.1,R Dravid,R Ashwin,SR Watson,1,Not out
5.2,SR Watson,R Ashwin,R Dravid,0,Not out
5.3,SR Watson,R Ashwin,R Dravid,4,Not out
5.4,SR Watson,R Ashwin,R Dravid,1,Not out
5.5,R Dravid,R Ashwin,SR Watson,4,Not out
5.6,R Dravid,R Ashwin,SR Watson,1,Not out
6.1,R Dravid,SB Jakati,SR Watson,1,Not out
6.2,SR Watson,SB Jakati,R Dravid,1,Not out
6.3,R Dravid,SB Jakati,SR Watson,0,Not out
6.4,R Dravid,SB Jakati,SR Watson,2,Not out
6.5,R Dravid,SB Jakati,SR Watson,0,Not out
6.6,R Dravid,SB Jakati,SR Watson,1,Not out
7.1,R Dravid,S Randiv,SR Watson,4,Not out
7.2,R Dravid,S Randiv,SR Watson,4,Not out
7.3,R Dravid,S Randiv,SR Watson,0,Not out
7.4,R Dravid,S Randiv,SR Watson,0,Not out
7.5,R Dravid,S Randiv,SR Watson,0,Not out
7.6,R Dravid,S Randiv,SR Watson,4,Not out
8.1,SR Watson,SB Jakati,R Dravid,1,Not out
8.2,R Dravid,SB Jakati,SR Watson,4,Not out
8.3,R Dravid,SB Jakati,SR Watson,0,Not out
8.4,R Dravid,SB Jakati,SR Watson,1,Not out
8.5,SR Watson,SB Jakati,R Dravid,1,Not out
8.6,R Dravid,SB Jakati,SR Watson,1,Not out
9.1,R Dravid,R Ashwin,SR Watson,4,Not out
9.2,R Dravid,R Ashwin,SR Watson,0,Not out
9.3,R Dravid,R Ashwin,SR Watson,4,Not out
9.4,R Dravid,R Ashwin,SR Watson,1,Not out
9.5,SR Watson,R Ashwin,R Dravid,4,Not out
9.6,SR Watson,R Ashwin,R Dravid,1,Not out
10.1,SR Watson,SB Jakati,R Dravid,0,caught and bowled
10.2,AL Menaria,SB Jakati,R Dravid,1,Not out
10.3,R Dravid,SB Jakati,AL Menaria,0,Not out
10.4,R Dravid,SB Jakati,AL Menaria,1,Not out
10.5,AL Menaria,SB Jakati,R Dravid,0,Not out
10.6,AL Menaria,SB Jakati,R Dravid,0,Not out
11.1,R Dravid,S Randiv,AL Menaria,2,Not out
11.2,R Dravid,S Randiv,AL Menaria,0,Not out
11.3,R Dravid,S Randiv,AL Menaria,1,Not out
11.4,AL Menaria,S Randiv,R Dravid,0,Not out
11.5,AL Menaria,S Randiv,R Dravid,0,Not out
11.6,AL Menaria,S Randiv,R Dravid,1,Not out
12.1,AL Menaria,R Ashwin,R Dravid,0,Not out
12.2,AL Menaria,R Ashwin,R Dravid,0,caught
12.3,R Dravid,R Ashwin,J Botha,0,Not out
12.4,R Dravid,R Ashwin,J Botha,1,Not out
12.5,J Botha,R Ashwin,R Dravid,1,Not out
12.6,R Dravid,R Ashwin,J Botha,1,Not out
13.1,R Dravid,S Randiv,J Botha,4,Not out
13.2,R Dravid,S Randiv,J Botha,1,Not out
13.3,J Botha,S Randiv,R Dravid,4,Not out
13.4,J Botha,S Randiv,R Dravid,0,Not out
13.5,J Botha,S Randiv,R Dravid,1,Not out
13.6,R Dravid,S Randiv,J Botha,1,Not out
14.1,R Dravid,SB Jakati,J Botha,1,Not out
14.2,J Botha,SB Jakati,R Dravid,2,Not out
14.3,J Botha,SB Jakati,R Dravid,0,caught
14.4,LRPL Taylor,SB Jakati,R Dravid,1,Not out
14.5,R Dravid,SB Jakati,LRPL Taylor,1,Not out
14.6,LRPL Taylor,SB Jakati,R Dravid,2,Not out
15.1,R Dravid,S Randiv,LRPL Taylor,1,Not out
15.2,LRPL Taylor,S Randiv,R Dravid,1,Not out
15.3,R Dravid,S Randiv,LRPL Taylor,2,Not out
15.4,R Dravid,S Randiv,LRPL Taylor,0,caught
15.5,LRPL Taylor,S Randiv,AM Rahane,0,Not out
15.6,LRPL Taylor,S Randiv,AM Rahane,1,Not out
16.1,LRPL Taylor,R Ashwin,AM Rahane,1,Not out
16.2,AM Rahane,R Ashwin,LRPL Taylor,0,Not out
16.3,AM Rahane,R Ashwin,LRPL Taylor,1,Not out
16.4,LRPL Taylor,R Ashwin,AM Rahane,4,Not out
16.5,LRPL Taylor,R Ashwin,AM Rahane,1,Not out
16.6,AM Rahane,R Ashwin,LRPL Taylor,0,Not out
16.7,AM Rahane,R Ashwin,LRPL Taylor,0,Not out
17.1,LRPL Taylor,DE Bollinger,AM Rahane,1,Not out
17.2,AM Rahane,DE Bollinger,LRPL Taylor,1,Not out
17.3,LRPL Taylor,DE Bollinger,AM Rahane,4,Not out
17.4,LRPL Taylor,DE Bollinger,AM Rahane,1,Not out
17.5,AM Rahane,DE Bollinger,LRPL Taylor,0,Not out
17.6,AM Rahane,DE Bollinger,LRPL Taylor,0,Not out
17.7,AM Rahane,DE Bollinger,LRPL Taylor,2,Not out
18.1,LRPL Taylor,JA Morkel,AM Rahane,2,Not out
18.2,LRPL Taylor,JA Morkel,AM Rahane,1,Not out
18.3,AM Rahane,JA Morkel,LRPL Taylor,0,caught and bowled
18.4,LRPL Taylor,JA Morkel,STR Binny,0,caught
18.5,STR Binny,JA Morkel,DH Yagnik,0,Not out
18.6,STR Binny,JA Morkel,DH Yagnik,1,Not out
19.1,STR Binny,DE Bollinger,DH Yagnik,1,Not out
19.2,DH Yagnik,DE Bollinger,STR Binny,1,Not out
19.3,STR Binny,DE Bollinger,DH Yagnik,2,Not out
19.4,STR Binny,DE Bollinger,DH Yagnik,0,Not out
19.5,STR Binny,DE Bollinger,DH Yagnik,2,Not out
19.6,STR Binny,DE Bollinger,DH Yagnik,1,Not out
