ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,DA Warner,DW Steyn,V Sehwag,0,Not out
0.2,DA Warner,DW Steyn,V Sehwag,0,Not out
0.3,DA Warner,DW Steyn,V Sehwag,0,Not out
0.4,DA Warner,DW Steyn,V Sehwag,0,Not out
0.5,DA Warner,DW Steyn,V Sehwag,0,Not out
0.6,DA Warner,DW Steyn,V Sehwag,1,Not out
1.1,DA Warner,DT Christian,V Sehwag,4,Not out
1.2,DA Warner,DT Christian,V Sehwag,1,Not out
1.3,V Sehwag,DT Christian,DA Warner,0,Not out
1.4,V Sehwag,DT Christian,DA Warner,4,Not out
1.5,V Sehwag,DT Christian,DA Warner,4,Not out
1.6,V Sehwag,DT Christian,DA Warner,4,Not out
2.1,DA Warner,DW Steyn,V Sehwag,0,Not out
2.2,DA Warner,DW Steyn,V Sehwag,4,Not out
2.3,DA Warner,DW Steyn,V Sehwag,0,Not out
2.4,DA Warner,DW Steyn,V Sehwag,4,Not out
2.5,DA Warner,DW Steyn,V Sehwag,0,Not out
2.6,DA Warner,DW Steyn,V Sehwag,1,Not out
3.1,DA Warner,Harmeet Singh,V Sehwag,0,Not out
3.2,DA Warner,Harmeet Singh,V Sehwag,1,Not out
3.3,V Sehwag,Harmeet Singh,DA Warner,0,Not out
3.4,V Sehwag,Harmeet Singh,DA Warner,0,Not out
3.5,V Sehwag,Harmeet Singh,DA Warner,0,caught
3.6,NV Ojha,Harmeet Singh,DA Warner,0,Not out
4.1,DA Warner,DT Christian,NV Ojha,0,Not out
4.2,DA Warner,DT Christian,NV Ojha,2,Not out
4.3,DA Warner,DT Christian,NV Ojha,1,Not out
4.4,NV Ojha,DT Christian,DA Warner,0,Not out
4.5,NV Ojha,DT Christian,DA Warner,2,Not out
4.6,NV Ojha,DT Christian,DA Warner,0,lbw
5.1,DA Warner,Harmeet Singh,AJ Finch,0,Not out
5.2,DA Warner,Harmeet Singh,AJ Finch,0,Not out
5.3,DA Warner,Harmeet Singh,AJ Finch,4,Not out
5.4,DA Warner,Harmeet Singh,AJ Finch,1,Not out
5.5,AJ Finch,Harmeet Singh,DA Warner,0,caught
5.6,Y Venugopal Rao,Harmeet Singh,DA Warner,0,Not out
6.1,DA Warner,PP Ojha,Y Venugopal Rao,1,Not out
6.2,Y Venugopal Rao,PP Ojha,DA Warner,0,Not out
6.3,Y Venugopal Rao,PP Ojha,DA Warner,0,Not out
6.4,Y Venugopal Rao,PP Ojha,DA Warner,1,Not out
6.5,DA Warner,PP Ojha,Y Venugopal Rao,0,Not out
6.6,DA Warner,PP Ojha,Y Venugopal Rao,1,Not out
7.1,DA Warner,Harmeet Singh,Y Venugopal Rao,1,Not out
7.2,Y Venugopal Rao,Harmeet Singh,DA Warner,2,Not out
7.3,Y Venugopal Rao,Harmeet Singh,DA Warner,0,Not out
7.4,Y Venugopal Rao,Harmeet Singh,DA Warner,4,Not out
7.5,Y Venugopal Rao,Harmeet Singh,DA Warner,0,Not out
7.6,Y Venugopal Rao,Harmeet Singh,DA Warner,4,Not out
7.7,Y Venugopal Rao,Harmeet Singh,DA Warner,0,Not out
8.1,DA Warner,PP Ojha,Y Venugopal Rao,2,Not out
8.2,DA Warner,PP Ojha,Y Venugopal Rao,6,Not out
8.3,DA Warner,PP Ojha,Y Venugopal Rao,1,Not out
8.4,Y Venugopal Rao,PP Ojha,DA Warner,0,Not out
8.5,Y Venugopal Rao,PP Ojha,DA Warner,1,Not out
8.6,DA Warner,PP Ojha,Y Venugopal Rao,0,Not out
9.1,Y Venugopal Rao,DT Christian,DA Warner,0,Not out
9.2,Y Venugopal Rao,DT Christian,DA Warner,0,Not out
9.3,Y Venugopal Rao,DT Christian,DA Warner,1,Not out
9.4,DA Warner,DT Christian,Y Venugopal Rao,1,Not out
9.5,Y Venugopal Rao,DT Christian,DA Warner,1,Not out
9.6,DA Warner,DT Christian,Y Venugopal Rao,4,Not out
10.1,Y Venugopal Rao,A Mishra,DA Warner,1,Not out
10.2,DA Warner,A Mishra,Y Venugopal Rao,2,Not out
10.3,DA Warner,A Mishra,Y Venugopal Rao,1,Not out
10.4,Y Venugopal Rao,A Mishra,DA Warner,1,Not out
10.5,DA Warner,A Mishra,Y Venugopal Rao,1,Not out
10.6,Y Venugopal Rao,A Mishra,DA Warner,0,Not out
11.1,DA Warner,DW Steyn,Y Venugopal Rao,0,Not out
11.2,DA Warner,DW Steyn,Y Venugopal Rao,0,Not out
11.3,DA Warner,DW Steyn,Y Venugopal Rao,1,Not out
11.4,Y Venugopal Rao,DW Steyn,DA Warner,0,Not out
11.5,Y Venugopal Rao,DW Steyn,DA Warner,1,Not out
11.6,DA Warner,DW Steyn,Y Venugopal Rao,0,Not out
12.1,Y Venugopal Rao,A Mishra,DA Warner,4,Not out
12.2,Y Venugopal Rao,A Mishra,DA Warner,0,Not out
12.3,Y Venugopal Rao,A Mishra,DA Warner,0,caught
12.4,IK Pathan,A Mishra,DA Warner,1,Not out
12.5,DA Warner,A Mishra,IK Pathan,0,Not out
12.6,DA Warner,A Mishra,IK Pathan,1,Not out
13.1,DA Warner,Harmeet Singh,IK Pathan,1,Not out
13.2,IK Pathan,Harmeet Singh,DA Warner,0,Not out
13.3,IK Pathan,Harmeet Singh,DA Warner,1,Not out
13.4,DA Warner,Harmeet Singh,IK Pathan,2,Not out
13.5,DA Warner,Harmeet Singh,IK Pathan,0,Not out
13.6,DA Warner,Harmeet Singh,IK Pathan,1,Not out
14.1,DA Warner,S Dhawan,IK Pathan,0,Not out
14.2,DA Warner,S Dhawan,IK Pathan,0,caught
14.3,JR Hopes,S Dhawan,IK Pathan,1,Not out
14.4,IK Pathan,S Dhawan,JR Hopes,0,Not out
14.5,IK Pathan,S Dhawan,JR Hopes,0,Not out
14.6,JR Hopes,S Dhawan,IK Pathan,6,Not out
15.1,IK Pathan,A Mishra,JR Hopes,1,Not out
15.2,JR Hopes,A Mishra,IK Pathan,1,Not out
15.3,IK Pathan,A Mishra,JR Hopes,1,Not out
15.4,JR Hopes,A Mishra,IK Pathan,0,Not out
15.5,JR Hopes,A Mishra,IK Pathan,1,Not out
15.6,IK Pathan,A Mishra,JR Hopes,1,Not out
16.1,IK Pathan,PP Ojha,JR Hopes,0,caught
16.2,Y Nagar,PP Ojha,JR Hopes,4,Not out
16.3,Y Nagar,PP Ojha,JR Hopes,1,Not out
16.4,JR Hopes,PP Ojha,Y Nagar,1,Not out
16.5,Y Nagar,PP Ojha,JR Hopes,1,Not out
16.6,JR Hopes,PP Ojha,Y Nagar,1,Not out
17.1,JR Hopes,A Mishra,Y Nagar,1,Not out
17.2,Y Nagar,A Mishra,JR Hopes,1,Not out
17.3,JR Hopes,A Mishra,Y Nagar,1,Not out
17.4,Y Nagar,A Mishra,JR Hopes,2,Not out
17.5,Y Nagar,A Mishra,JR Hopes,0,Not out
17.6,Y Nagar,A Mishra,JR Hopes,6,Not out
