ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,RV Uthappa,NM Coulter-Nile,G Gambhir,0,Not out
0.2,RV Uthappa,NM Coulter-Nile,G Gambhir,0,Not out
0.3,RV Uthappa,NM Coulter-Nile,G Gambhir,0,Not out
0.4,RV Uthappa,NM Coulter-Nile,G Gambhir,0,Not out
0.5,RV Uthappa,NM Coulter-Nile,G Gambhir,0,Not out
0.6,RV Uthappa,NM Coulter-Nile,G Gambhir,4,Not out
1.1,G Gambhir,Z Khan,RV Uthappa,0,Not out
1.2,G Gambhir,Z Khan,RV Uthappa,4,Not out
1.3,G Gambhir,Z Khan,RV Uthappa,2,Not out
1.4,G Gambhir,Z Khan,RV Uthappa,0,Not out
1.5,G Gambhir,Z Khan,RV Uthappa,4,Not out
1.6,G Gambhir,Z Khan,RV Uthappa,1,Not out
1.7,RV Uthappa,Z Khan,G Gambhir,4,Not out
2.1,G Gambhir,NM Coulter-Nile,RV Uthappa,0,Not out
2.2,G Gambhir,NM Coulter-Nile,RV Uthappa,0,Not out
2.3,G Gambhir,NM Coulter-Nile,RV Uthappa,1,Not out
2.4,RV Uthappa,NM Coulter-Nile,G Gambhir,0,Not out
2.5,RV Uthappa,NM Coulter-Nile,G Gambhir,4,Not out
2.6,RV Uthappa,NM Coulter-Nile,G Gambhir,4,Not out
3.1,G Gambhir,CH Morris,RV Uthappa,1,Not out
3.2,RV Uthappa,CH Morris,G Gambhir,0,Not out
3.3,RV Uthappa,CH Morris,G Gambhir,0,Not out
3.4,RV Uthappa,CH Morris,G Gambhir,4,Not out
3.5,RV Uthappa,CH Morris,G Gambhir,0,Not out
3.6,RV Uthappa,CH Morris,G Gambhir,0,Not out
3.7,RV Uthappa,CH Morris,G Gambhir,1,Not out
4.1,RV Uthappa,Z Khan,G Gambhir,0,Not out
4.2,RV Uthappa,Z Khan,G Gambhir,1,Not out
4.3,G Gambhir,Z Khan,RV Uthappa,0,Not out
4.4,G Gambhir,Z Khan,RV Uthappa,0,Not out
4.5,G Gambhir,Z Khan,RV Uthappa,1,Not out
4.6,RV Uthappa,Z Khan,G Gambhir,4,Not out
5.1,G Gambhir,CH Morris,RV Uthappa,0,Not out
5.2,G Gambhir,CH Morris,RV Uthappa,1,Not out
5.3,RV Uthappa,CH Morris,G Gambhir,0,Not out
5.4,RV Uthappa,CH Morris,G Gambhir,4,Not out
5.5,RV Uthappa,CH Morris,G Gambhir,0,Not out
5.6,RV Uthappa,CH Morris,G Gambhir,0,Not out
6.1,G Gambhir,CR Brathwaite,RV Uthappa,0,Not out
6.2,G Gambhir,CR Brathwaite,RV Uthappa,1,Not out
6.3,RV Uthappa,CR Brathwaite,G Gambhir,1,Not out
6.4,G Gambhir,CR Brathwaite,RV Uthappa,0,Not out
6.5,G Gambhir,CR Brathwaite,RV Uthappa,0,Not out
6.6,G Gambhir,CR Brathwaite,RV Uthappa,0,Not out
7.1,RV Uthappa,A Mishra,G Gambhir,0,Not out
7.2,RV Uthappa,A Mishra,G Gambhir,1,Not out
7.3,G Gambhir,A Mishra,RV Uthappa,1,Not out
7.4,RV Uthappa,A Mishra,G Gambhir,0,Not out
7.5,RV Uthappa,A Mishra,G Gambhir,1,Not out
7.6,G Gambhir,A Mishra,RV Uthappa,1,Not out
