ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,SV Samson,PJ Sangwan,KK Nair,0,Not out
0.2,KK Nair,PJ Sangwan,SV Samson,0,Not out
0.3,KK Nair,PJ Sangwan,SV Samson,4,Not out
0.4,KK Nair,PJ Sangwan,SV Samson,0,Not out
0.5,KK Nair,PJ Sangwan,SV Samson,0,Not out
0.6,KK Nair,PJ Sangwan,SV Samson,4,Not out
0.7,KK Nair,PJ Sangwan,SV Samson,1,Not out
1.1,KK Nair,Basil Thampi,SV Samson,0,Not out
1.2,SV Samson,Basil Thampi,KK Nair,0,Not out
1.3,SV Samson,Basil Thampi,KK Nair,1,Not out
1.4,KK Nair,Basil Thampi,SV Samson,0,Not out
1.5,KK Nair,Basil Thampi,SV Samson,2,Not out
1.6,KK Nair,Basil Thampi,SV Samson,0,Not out
2.1,SV Samson,PJ Sangwan,KK Nair,6,Not out
2.2,SV Samson,PJ Sangwan,KK Nair,1,Not out
2.3,KK Nair,PJ Sangwan,SV Samson,1,Not out
2.4,SV Samson,PJ Sangwan,KK Nair,1,Not out
2.5,KK Nair,PJ Sangwan,SV Samson,0,caught
2.6,RR Pant,PJ Sangwan,SV Samson,0,Not out
3.1,RR Pant,Basil Thampi,SV Samson,6,Not out
3.2,RR Pant,Basil Thampi,SV Samson,0,Not out
3.3,RR Pant,Basil Thampi,SV Samson,0,Not out
3.4,RR Pant,Basil Thampi,SV Samson,1,Not out
3.5,SV Samson,Basil Thampi,RR Pant,1,Not out
3.6,RR Pant,Basil Thampi,SV Samson,1,Not out
3.7,SV Samson,Basil Thampi,RR Pant,6,Not out
4.1,RR Pant,PJ Sangwan,SV Samson,6,Not out
4.2,RR Pant,PJ Sangwan,SV Samson,6,Not out
4.3,RR Pant,PJ Sangwan,SV Samson,4,Not out
4.4,RR Pant,PJ Sangwan,SV Samson,0,Not out
4.5,RR Pant,PJ Sangwan,SV Samson,1,Not out
4.6,SV Samson,PJ Sangwan,RR Pant,0,Not out
5.1,RR Pant,JP Faulkner,SV Samson,2,Not out
5.2,RR Pant,JP Faulkner,SV Samson,0,Not out
5.3,RR Pant,JP Faulkner,SV Samson,0,Not out
5.4,RR Pant,JP Faulkner,SV Samson,1,Not out
5.5,SV Samson,JP Faulkner,RR Pant,1,Not out
5.6,RR Pant,JP Faulkner,SV Samson,1,Not out
6.1,RR Pant,SK Raina,SV Samson,1,Not out
6.2,SV Samson,SK Raina,RR Pant,6,Not out
6.3,SV Samson,SK Raina,RR Pant,1,Not out
6.4,RR Pant,SK Raina,SV Samson,1,Not out
6.5,SV Samson,SK Raina,RR Pant,1,Not out
6.6,RR Pant,SK Raina,SV Samson,0,Not out
7.1,SV Samson,Ankit Soni,RR Pant,0,Not out
7.2,SV Samson,Ankit Soni,RR Pant,1,Not out
7.3,RR Pant,Ankit Soni,SV Samson,1,Not out
7.4,SV Samson,Ankit Soni,RR Pant,1,Not out
7.5,RR Pant,Ankit Soni,SV Samson,6,Not out
7.6,RR Pant,Ankit Soni,SV Samson,1,Not out
8.1,RR Pant,SK Raina,SV Samson,0,Not out
8.2,RR Pant,SK Raina,SV Samson,0,Not out
