ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,TL Suman,B Lee,SR Tendulkar,4,Not out
0.2,TL Suman,B Lee,SR Tendulkar,0,Not out
0.3,TL Suman,B Lee,SR Tendulkar,0,Not out
0.4,SR Tendulkar,B Lee,TL Suman,0,Not out
0.5,SR Tendulkar,B Lee,TL Suman,4,Not out
0.6,SR Tendulkar,B Lee,TL Suman,4,Not out
1.1,TL Suman,Iqbal Abdulla,SR Tendulkar,0,caught
1.2,Harbhajan Singh,Iqbal Abdulla,SR Tendulkar,0,Not out
1.3,Harbhajan Singh,Iqbal Abdulla,SR Tendulkar,0,Not out
1.4,Harbhajan Singh,Iqbal Abdulla,SR Tendulkar,0,Not out
1.5,Harbhajan Singh,Iqbal Abdulla,SR Tendulkar,1,Not out
1.6,SR Tendulkar,Iqbal Abdulla,Harbhajan Singh,0,Not out
2.1,Harbhajan Singh,B Lee,SR Tendulkar,4,Not out
2.2,Harbhajan Singh,B Lee,SR Tendulkar,4,Not out
2.3,Harbhajan Singh,B Lee,SR Tendulkar,1,Not out
2.4,SR Tendulkar,B Lee,Harbhajan Singh,0,Not out
2.5,Harbhajan Singh,B Lee,SR Tendulkar,0,Not out
2.6,Harbhajan Singh,B Lee,SR Tendulkar,0,Not out
3.1,SR Tendulkar,Iqbal Abdulla,Harbhajan Singh,4,Not out
3.2,SR Tendulkar,Iqbal Abdulla,Harbhajan Singh,1,Not out
3.3,Harbhajan Singh,Iqbal Abdulla,SR Tendulkar,0,Not out
3.4,Harbhajan Singh,Iqbal Abdulla,SR Tendulkar,0,Not out
3.5,Harbhajan Singh,Iqbal Abdulla,SR Tendulkar,0,Not out
3.6,Harbhajan Singh,Iqbal Abdulla,SR Tendulkar,4,Not out
4.1,SR Tendulkar,Shakib Al Hasan,Harbhajan Singh,1,Not out
4.2,Harbhajan Singh,Shakib Al Hasan,SR Tendulkar,0,Not out
4.3,Harbhajan Singh,Shakib Al Hasan,SR Tendulkar,0,Not out
4.4,Harbhajan Singh,Shakib Al Hasan,SR Tendulkar,1,Not out
4.5,SR Tendulkar,Shakib Al Hasan,Harbhajan Singh,1,Not out
