ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,DA Warner,RP Singh,V Sehwag,1,Not out
0.2,V Sehwag,RP Singh,DA Warner,4,Not out
0.3,V Sehwag,RP Singh,DA Warner,0,Not out
0.4,V Sehwag,RP Singh,DA Warner,0,Not out
0.5,V Sehwag,RP Singh,DA Warner,0,Not out
0.6,V Sehwag,RP Singh,DA Warner,4,Not out
1.1,DA Warner,S Sreesanth,V Sehwag,0,Not out
1.2,DA Warner,S Sreesanth,V Sehwag,4,Not out
1.3,DA Warner,S Sreesanth,V Sehwag,0,Not out
1.4,DA Warner,S Sreesanth,V Sehwag,1,Not out
1.5,V Sehwag,S Sreesanth,DA Warner,1,Not out
1.6,DA Warner,S Sreesanth,V Sehwag,0,Not out
2.1,V Sehwag,P Parameswaran,DA Warner,6,Not out
2.2,V Sehwag,P Parameswaran,DA Warner,0,Not out
2.3,V Sehwag,P Parameswaran,DA Warner,0,caught
2.4,NV Ojha,P Parameswaran,DA Warner,0,Not out
2.5,NV Ojha,P Parameswaran,DA Warner,0,Not out
2.6,NV Ojha,P Parameswaran,DA Warner,0,Not out
3.1,DA Warner,S Sreesanth,NV Ojha,0,Not out
3.2,DA Warner,S Sreesanth,NV Ojha,0,Not out
3.3,DA Warner,S Sreesanth,NV Ojha,4,Not out
3.4,DA Warner,S Sreesanth,NV Ojha,1,Not out
3.5,NV Ojha,S Sreesanth,DA Warner,0,Not out
3.6,NV Ojha,S Sreesanth,DA Warner,1,Not out
4.1,NV Ojha,P Parameswaran,DA Warner,0,Not out
4.2,NV Ojha,P Parameswaran,DA Warner,0,Not out
4.3,NV Ojha,P Parameswaran,DA Warner,6,Not out
4.4,NV Ojha,P Parameswaran,DA Warner,0,Not out
4.5,NV Ojha,P Parameswaran,DA Warner,4,Not out
4.6,NV Ojha,P Parameswaran,DA Warner,1,Not out
5.1,NV Ojha,S Sreesanth,DA Warner,1,Not out
5.2,DA Warner,S Sreesanth,NV Ojha,2,Not out
5.3,DA Warner,S Sreesanth,NV Ojha,0,Not out
5.4,DA Warner,S Sreesanth,NV Ojha,0,Not out
5.5,DA Warner,S Sreesanth,NV Ojha,0,Not out
5.6,DA Warner,S Sreesanth,NV Ojha,0,caught
5.7,Y Nagar,S Sreesanth,NV Ojha,0,Not out
6.1,NV Ojha,RP Singh,Y Nagar,0,Not out
6.2,NV Ojha,RP Singh,Y Nagar,0,Not out
6.3,NV Ojha,RP Singh,Y Nagar,0,caught
6.4,Y Venugopal Rao,RP Singh,Y Nagar,0,Not out
6.5,Y Venugopal Rao,RP Singh,Y Nagar,4,Not out
6.6,Y Venugopal Rao,RP Singh,Y Nagar,0,Not out
6.7,Y Venugopal Rao,RP Singh,Y Nagar,1,Not out
7.1,Y Venugopal Rao,P Parameswaran,Y Nagar,0,Not out
7.2,Y Venugopal Rao,P Parameswaran,Y Nagar,1,Not out
7.3,Y Nagar,P Parameswaran,Y Venugopal Rao,0,Not out
7.4,Y Nagar,P Parameswaran,Y Venugopal Rao,0,Not out
7.5,Y Nagar,P Parameswaran,Y Venugopal Rao,1,Not out
7.6,Y Venugopal Rao,P Parameswaran,Y Nagar,0,Not out
8.1,Y Nagar,R Vinay Kumar,Y Venugopal Rao,0,Not out
8.2,Y Venugopal Rao,R Vinay Kumar,Y Nagar,1,Not out
8.3,Y Nagar,R Vinay Kumar,Y Venugopal Rao,0,Not out
8.4,Y Nagar,R Vinay Kumar,Y Venugopal Rao,0,Not out
8.5,Y Venugopal Rao,R Vinay Kumar,Y Nagar,0,Not out
8.6,Y Venugopal Rao,R Vinay Kumar,Y Nagar,2,Not out
9.1,Y Nagar,RV Gomez,Y Venugopal Rao,0,Not out
9.2,Y Nagar,RV Gomez,Y Venugopal Rao,1,Not out
9.3,Y Venugopal Rao,RV Gomez,Y Nagar,0,Not out
9.4,Y Venugopal Rao,RV Gomez,Y Nagar,4,Not out
9.5,Y Venugopal Rao,RV Gomez,Y Nagar,1,Not out
9.6,Y Nagar,RV Gomez,Y Venugopal Rao,1,Not out
10.1,Y Nagar,RA Jadeja,Y Venugopal Rao,1,Not out
10.2,Y Venugopal Rao,RA Jadeja,Y Nagar,0,Not out
10.3,Y Venugopal Rao,RA Jadeja,Y Nagar,0,Not out
10.4,Y Venugopal Rao,RA Jadeja,Y Nagar,1,Not out
10.5,Y Nagar,RA Jadeja,Y Venugopal Rao,0,Not out
10.6,Y Nagar,RA Jadeja,Y Venugopal Rao,1,Not out
10.7,Y Venugopal Rao,RA Jadeja,Y Nagar,1,Not out
10.8,Y Nagar,RA Jadeja,Y Venugopal Rao,0,Not out
11.1,Y Venugopal Rao,R Vinay Kumar,Y Nagar,0,Not out
11.2,Y Venugopal Rao,R Vinay Kumar,Y Nagar,1,Not out
11.3,Y Nagar,R Vinay Kumar,Y Venugopal Rao,4,Not out
11.4,Y Nagar,R Vinay Kumar,Y Venugopal Rao,1,Not out
11.5,Y Venugopal Rao,R Vinay Kumar,Y Nagar,1,Not out
11.6,Y Nagar,R Vinay Kumar,Y Venugopal Rao,1,Not out
12.1,Y Nagar,RV Gomez,Y Venugopal Rao,2,Not out
12.2,Y Nagar,RV Gomez,Y Venugopal Rao,1,Not out
12.3,Y Venugopal Rao,RV Gomez,Y Nagar,0,Not out
12.4,Y Venugopal Rao,RV Gomez,Y Nagar,1,Not out
12.5,Y Nagar,RV Gomez,Y Venugopal Rao,1,Not out
12.6,Y Venugopal Rao,RV Gomez,Y Nagar,4,Not out
13.1,Y Nagar,RP Singh,Y Venugopal Rao,1,Not out
13.2,Y Venugopal Rao,RP Singh,Y Nagar,4,Not out
