ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,AJ Finch,Sandeep Sharma,S Dhawan,0,Not out
0.2,AJ Finch,Sandeep Sharma,S Dhawan,0,Not out
0.3,AJ Finch,Sandeep Sharma,S Dhawan,6,Not out
0.4,AJ Finch,Sandeep Sharma,S Dhawan,2,Not out
0.5,AJ Finch,Sandeep Sharma,S Dhawan,1,Not out
0.6,S Dhawan,Sandeep Sharma,AJ Finch,0,Not out
0.7,S Dhawan,Sandeep Sharma,AJ Finch,1,Not out
1.1,S Dhawan,MG Johnson,AJ Finch,0,Not out
1.2,S Dhawan,MG Johnson,AJ Finch,0,caught
1.3,DA Warner,MG Johnson,AJ Finch,0,Not out
1.4,DA Warner,MG Johnson,AJ Finch,1,Not out
1.5,AJ Finch,MG Johnson,DA Warner,0,Not out
1.6,AJ Finch,MG Johnson,DA Warner,4,Not out
2.1,DA Warner,Sandeep Sharma,AJ Finch,0,Not out
2.2,DA Warner,Sandeep Sharma,AJ Finch,0,Not out
2.3,DA Warner,Sandeep Sharma,AJ Finch,0,Not out
2.4,DA Warner,Sandeep Sharma,AJ Finch,2,Not out
2.5,DA Warner,Sandeep Sharma,AJ Finch,0,Not out
2.6,DA Warner,Sandeep Sharma,AJ Finch,4,Not out
3.1,AJ Finch,MG Johnson,DA Warner,0,Not out
3.2,AJ Finch,MG Johnson,DA Warner,0,Not out
3.3,AJ Finch,MG Johnson,DA Warner,1,Not out
3.4,DA Warner,MG Johnson,AJ Finch,0,Not out
3.5,DA Warner,MG Johnson,AJ Finch,1,Not out
3.6,AJ Finch,MG Johnson,DA Warner,4,Not out
3.7,AJ Finch,MG Johnson,DA Warner,1,Not out
3.8,DA Warner,MG Johnson,AJ Finch,0,Not out
4.1,AJ Finch,L Balaji,DA Warner,0,Not out
4.2,AJ Finch,L Balaji,DA Warner,0,Not out
4.3,AJ Finch,L Balaji,DA Warner,0,bowled
4.4,KL Rahul,L Balaji,DA Warner,0,Not out
4.5,KL Rahul,L Balaji,DA Warner,1,Not out
4.6,DA Warner,L Balaji,KL Rahul,0,caught
4.7,Y Venugopal Rao,L Balaji,KL Rahul,0,Not out
5.1,KL Rahul,R Dhawan,Y Venugopal Rao,2,Not out
5.2,KL Rahul,R Dhawan,Y Venugopal Rao,1,Not out
5.3,Y Venugopal Rao,R Dhawan,KL Rahul,0,Not out
5.4,Y Venugopal Rao,R Dhawan,KL Rahul,4,Not out
5.5,Y Venugopal Rao,R Dhawan,KL Rahul,4,Not out
5.6,Y Venugopal Rao,R Dhawan,KL Rahul,1,Not out
6.1,Y Venugopal Rao,Sandeep Sharma,KL Rahul,1,Not out
6.2,KL Rahul,Sandeep Sharma,Y Venugopal Rao,1,Not out
6.3,Y Venugopal Rao,Sandeep Sharma,KL Rahul,0,Not out
6.4,Y Venugopal Rao,Sandeep Sharma,KL Rahul,1,Not out
6.5,KL Rahul,Sandeep Sharma,Y Venugopal Rao,1,Not out
6.6,Y Venugopal Rao,Sandeep Sharma,KL Rahul,0,bowled
7.1,KL Rahul,AR Patel,IK Pathan,1,Not out
7.2,IK Pathan,AR Patel,KL Rahul,0,Not out
7.3,IK Pathan,AR Patel,KL Rahul,1,Not out
7.4,KL Rahul,AR Patel,IK Pathan,0,Not out
7.5,KL Rahul,AR Patel,IK Pathan,0,Not out
7.6,KL Rahul,AR Patel,IK Pathan,1,Not out
8.1,KL Rahul,R Dhawan,IK Pathan,1,Not out
8.2,IK Pathan,R Dhawan,KL Rahul,1,Not out
8.3,KL Rahul,R Dhawan,IK Pathan,4,Not out
8.4,KL Rahul,R Dhawan,IK Pathan,1,Not out
8.5,IK Pathan,R Dhawan,KL Rahul,0,Not out
8.6,IK Pathan,R Dhawan,KL Rahul,1,Not out
8.7,KL Rahul,R Dhawan,IK Pathan,1,Not out
9.1,KL Rahul,GJ Maxwell,IK Pathan,1,Not out
9.2,IK Pathan,GJ Maxwell,KL Rahul,0,Not out
9.3,IK Pathan,GJ Maxwell,KL Rahul,1,Not out
9.4,KL Rahul,GJ Maxwell,IK Pathan,1,Not out
9.5,IK Pathan,GJ Maxwell,KL Rahul,1,Not out
9.6,KL Rahul,GJ Maxwell,IK Pathan,6,Not out
10.1,IK Pathan,AR Patel,KL Rahul,0,Not out
10.2,IK Pathan,AR Patel,KL Rahul,0,bowled
10.3,DJG Sammy,AR Patel,KL Rahul,0,Not out
10.4,DJG Sammy,AR Patel,KL Rahul,3,Not out
10.5,KL Rahul,AR Patel,DJG Sammy,1,Not out
10.6,DJG Sammy,AR Patel,KL Rahul,1,Not out
11.1,DJG Sammy,L Balaji,KL Rahul,0,Not out
11.2,DJG Sammy,L Balaji,KL Rahul,2,Not out
11.3,DJG Sammy,L Balaji,KL Rahul,1,Not out
11.4,KL Rahul,L Balaji,DJG Sammy,1,Not out
11.5,DJG Sammy,L Balaji,KL Rahul,1,Not out
11.6,KL Rahul,L Balaji,DJG Sammy,0,Not out
12.1,DJG Sammy,AR Patel,KL Rahul,0,Not out
12.2,DJG Sammy,AR Patel,KL Rahul,6,Not out
12.3,DJG Sammy,AR Patel,KL Rahul,1,Not out
12.4,KL Rahul,AR Patel,DJG Sammy,0,Not out
12.5,KL Rahul,AR Patel,DJG Sammy,0,Not out
12.6,KL Rahul,AR Patel,DJG Sammy,1,Not out
13.1,KL Rahul,L Balaji,DJG Sammy,0,Not out
13.2,KL Rahul,L Balaji,DJG Sammy,1,Not out
13.3,DJG Sammy,L Balaji,KL Rahul,0,caught
13.4,KV Sharma,L Balaji,KL Rahul,1,Not out
13.5,KL Rahul,L Balaji,KV Sharma,0,Not out
13.6,KL Rahul,L Balaji,KV Sharma,0,Not out
14.1,KL Rahul,AR Patel,KV Sharma,0,caught
