ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,AC Gilchrist,B Kumar,Mandeep Singh,4,Not out
0.2,AC Gilchrist,B Kumar,Mandeep Singh,0,Not out
0.3,AC Gilchrist,B Kumar,Mandeep Singh,0,Not out
0.4,AC Gilchrist,B Kumar,Mandeep Singh,4,Not out
0.5,AC Gilchrist,B Kumar,Mandeep Singh,6,Not out
0.6,AC Gilchrist,B Kumar,Mandeep Singh,0,Not out
1.1,Mandeep Singh,AB Dinda,AC Gilchrist,0,Not out
1.2,Mandeep Singh,AB Dinda,AC Gilchrist,0,Not out
1.3,Mandeep Singh,AB Dinda,AC Gilchrist,1,Not out
1.4,AC Gilchrist,AB Dinda,Mandeep Singh,0,Not out
1.5,AC Gilchrist,AB Dinda,Mandeep Singh,1,Not out
1.6,Mandeep Singh,AB Dinda,AC Gilchrist,4,Not out
1.7,Mandeep Singh,AB Dinda,AC Gilchrist,0,Not out
2.1,AC Gilchrist,AD Mathews,Mandeep Singh,0,Not out
2.2,AC Gilchrist,AD Mathews,Mandeep Singh,0,caught
2.3,M Vohra,AD Mathews,Mandeep Singh,0,Not out
2.4,M Vohra,AD Mathews,Mandeep Singh,1,Not out
2.5,Mandeep Singh,AD Mathews,M Vohra,0,Not out
2.6,Mandeep Singh,AD Mathews,M Vohra,1,Not out
3.1,Mandeep Singh,AB Dinda,M Vohra,4,Not out
3.2,Mandeep Singh,AB Dinda,M Vohra,1,Not out
3.3,M Vohra,AB Dinda,Mandeep Singh,4,Not out
3.4,M Vohra,AB Dinda,Mandeep Singh,4,Not out
3.5,M Vohra,AB Dinda,Mandeep Singh,4,Not out
3.6,M Vohra,AB Dinda,Mandeep Singh,4,Not out
4.1,Mandeep Singh,AD Mathews,M Vohra,1,Not out
4.2,M Vohra,AD Mathews,Mandeep Singh,4,Not out
4.3,M Vohra,AD Mathews,Mandeep Singh,1,Not out
4.4,Mandeep Singh,AD Mathews,M Vohra,2,Not out
4.5,Mandeep Singh,AD Mathews,M Vohra,1,Not out
4.6,M Vohra,AD Mathews,Mandeep Singh,1,Not out
5.1,M Vohra,B Kumar,Mandeep Singh,0,Not out
5.2,M Vohra,B Kumar,Mandeep Singh,1,Not out
5.3,Mandeep Singh,B Kumar,M Vohra,1,Not out
5.4,M Vohra,B Kumar,Mandeep Singh,0,Not out
5.5,M Vohra,B Kumar,Mandeep Singh,0,Not out
5.6,M Vohra,B Kumar,Mandeep Singh,0,Not out
6.1,Mandeep Singh,MR Marsh,M Vohra,1,Not out
6.2,M Vohra,MR Marsh,Mandeep Singh,1,Not out
6.3,Mandeep Singh,MR Marsh,M Vohra,2,Not out
6.4,Mandeep Singh,MR Marsh,M Vohra,1,Not out
6.5,M Vohra,MR Marsh,Mandeep Singh,2,Not out
6.6,M Vohra,MR Marsh,Mandeep Singh,0,Not out
7.1,Mandeep Singh,R Sharma,M Vohra,0,Not out
7.2,Mandeep Singh,R Sharma,M Vohra,1,Not out
7.3,M Vohra,R Sharma,Mandeep Singh,0,Not out
7.4,M Vohra,R Sharma,Mandeep Singh,1,Not out
7.5,Mandeep Singh,R Sharma,M Vohra,1,Not out
7.6,M Vohra,R Sharma,Mandeep Singh,1,Not out
8.1,M Vohra,MR Marsh,Mandeep Singh,2,Not out
8.2,M Vohra,MR Marsh,Mandeep Singh,1,Not out
8.3,Mandeep Singh,MR Marsh,M Vohra,0,Not out
8.4,Mandeep Singh,MR Marsh,M Vohra,0,Not out
8.5,Mandeep Singh,MR Marsh,M Vohra,4,Not out
8.6,Mandeep Singh,MR Marsh,M Vohra,1,Not out
9.1,Mandeep Singh,R Sharma,M Vohra,4,Not out
9.2,Mandeep Singh,R Sharma,M Vohra,0,Not out
9.3,Mandeep Singh,R Sharma,M Vohra,0,Not out
9.4,Mandeep Singh,R Sharma,M Vohra,0,bowled
9.5,DJ Hussey,R Sharma,M Vohra,1,Not out
9.6,M Vohra,R Sharma,DJ Hussey,4,Not out
10.1,DJ Hussey,MR Marsh,M Vohra,0,Not out
10.2,DJ Hussey,MR Marsh,M Vohra,0,Not out
10.3,DJ Hussey,MR Marsh,M Vohra,0,Not out
10.4,DJ Hussey,MR Marsh,M Vohra,1,Not out
10.5,M Vohra,MR Marsh,DJ Hussey,1,Not out
10.6,DJ Hussey,MR Marsh,M Vohra,1,Not out
10.7,M Vohra,MR Marsh,DJ Hussey,4,Not out
11.1,DJ Hussey,R Sharma,M Vohra,0,Not out
11.2,DJ Hussey,R Sharma,M Vohra,4,Not out
11.3,DJ Hussey,R Sharma,M Vohra,1,Not out
11.4,M Vohra,R Sharma,DJ Hussey,0,Not out
11.5,M Vohra,R Sharma,DJ Hussey,2,Not out
11.6,M Vohra,R Sharma,DJ Hussey,0,Not out
12.1,DJ Hussey,MR Marsh,M Vohra,0,Not out
12.2,DJ Hussey,MR Marsh,M Vohra,0,Not out
12.3,DJ Hussey,MR Marsh,M Vohra,0,Not out
