ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,AC Gilchrist,A Kumble,HH Gibbs,0,Not out
0.2,AC Gilchrist,A Kumble,HH Gibbs,0,Not out
0.3,AC Gilchrist,A Kumble,HH Gibbs,0,bowled
0.4,TL Suman,A Kumble,HH Gibbs,0,Not out
0.5,TL Suman,A Kumble,HH Gibbs,2,Not out
0.6,TL Suman,A Kumble,HH Gibbs,0,Not out
1.1,HH Gibbs,P Kumar,TL Suman,0,Not out
1.2,HH Gibbs,P Kumar,TL Suman,0,Not out
1.3,HH Gibbs,P Kumar,TL Suman,1,Not out
1.4,TL Suman,P Kumar,HH Gibbs,0,Not out
1.5,TL Suman,P Kumar,HH Gibbs,0,Not out
1.6,TL Suman,P Kumar,HH Gibbs,4,Not out
1.7,TL Suman,P Kumar,HH Gibbs,1,Not out
1.8,HH Gibbs,P Kumar,TL Suman,0,Not out
1.9,HH Gibbs,P Kumar,TL Suman,2,Not out
2.1,TL Suman,JH Kallis,HH Gibbs,1,Not out
2.2,HH Gibbs,JH Kallis,TL Suman,0,Not out
2.3,HH Gibbs,JH Kallis,TL Suman,0,Not out
2.4,HH Gibbs,JH Kallis,TL Suman,1,Not out
2.5,TL Suman,JH Kallis,HH Gibbs,0,Not out
2.6,TL Suman,JH Kallis,HH Gibbs,0,Not out
3.1,HH Gibbs,R Vinay Kumar,TL Suman,1,Not out
3.2,TL Suman,R Vinay Kumar,HH Gibbs,2,Not out
3.3,TL Suman,R Vinay Kumar,HH Gibbs,0,caught
3.4,HH Gibbs,R Vinay Kumar,A Symonds,0,Not out
3.5,HH Gibbs,R Vinay Kumar,A Symonds,0,Not out
3.6,HH Gibbs,R Vinay Kumar,A Symonds,0,Not out
4.1,A Symonds,JH Kallis,HH Gibbs,4,Not out
4.2,A Symonds,JH Kallis,HH Gibbs,0,Not out
4.3,A Symonds,JH Kallis,HH Gibbs,0,Not out
4.4,A Symonds,JH Kallis,HH Gibbs,1,Not out
4.5,HH Gibbs,JH Kallis,A Symonds,0,Not out
