ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,LMP Simmons,JD Unadkat,PA Patel,0,Not out
0.2,LMP Simmons,JD Unadkat,PA Patel,0,Not out
0.3,LMP Simmons,JD Unadkat,PA Patel,0,Not out
0.4,LMP Simmons,JD Unadkat,PA Patel,1,Not out
0.5,PA Patel,JD Unadkat,LMP Simmons,1,Not out
0.6,LMP Simmons,JD Unadkat,PA Patel,1,Not out
1.1,LMP Simmons,Washington Sundar,PA Patel,0,Not out
1.2,LMP Simmons,Washington Sundar,PA Patel,1,Not out
1.3,PA Patel,Washington Sundar,LMP Simmons,0,Not out
1.4,PA Patel,Washington Sundar,LMP Simmons,0,Not out
1.5,PA Patel,Washington Sundar,LMP Simmons,2,Not out
1.6,PA Patel,Washington Sundar,LMP Simmons,1,Not out
2.1,PA Patel,JD Unadkat,LMP Simmons,0,caught
2.2,AT Rayudu,JD Unadkat,LMP Simmons,0,Not out
2.3,AT Rayudu,JD Unadkat,LMP Simmons,1,Not out
2.4,LMP Simmons,JD Unadkat,AT Rayudu,0,caught and bowled
2.5,RG Sharma,JD Unadkat,AT Rayudu,0,Not out
2.6,RG Sharma,JD Unadkat,AT Rayudu,1,Not out
3.1,RG Sharma,Washington Sundar,AT Rayudu,0,Not out
3.2,RG Sharma,Washington Sundar,AT Rayudu,0,Not out
3.3,RG Sharma,Washington Sundar,AT Rayudu,1,Not out
3.4,AT Rayudu,Washington Sundar,RG Sharma,0,Not out
3.5,AT Rayudu,Washington Sundar,RG Sharma,0,Not out
3.6,AT Rayudu,Washington Sundar,RG Sharma,1,Not out
4.1,AT Rayudu,SN Thakur,RG Sharma,1,Not out
4.2,RG Sharma,SN Thakur,AT Rayudu,1,Not out
4.3,AT Rayudu,SN Thakur,RG Sharma,0,Not out
4.4,AT Rayudu,SN Thakur,RG Sharma,1,Not out
4.5,RG Sharma,SN Thakur,AT Rayudu,0,Not out
4.6,RG Sharma,SN Thakur,AT Rayudu,1,Not out
4.7,AT Rayudu,SN Thakur,RG Sharma,0,Not out
5.1,RG Sharma,LH Ferguson,AT Rayudu,4,Not out
5.2,RG Sharma,LH Ferguson,AT Rayudu,0,Not out
5.3,RG Sharma,LH Ferguson,AT Rayudu,4,Not out
5.4,RG Sharma,LH Ferguson,AT Rayudu,0,Not out
5.5,RG Sharma,LH Ferguson,AT Rayudu,4,Not out
5.6,RG Sharma,LH Ferguson,AT Rayudu,4,Not out
6.1,AT Rayudu,A Zampa,RG Sharma,0,Not out
6.2,AT Rayudu,A Zampa,RG Sharma,4,Not out
6.3,AT Rayudu,A Zampa,RG Sharma,2,Not out
6.4,AT Rayudu,A Zampa,RG Sharma,1,Not out
6.5,RG Sharma,A Zampa,AT Rayudu,1,Not out
6.6,AT Rayudu,A Zampa,RG Sharma,1,Not out
7.1,AT Rayudu,LH Ferguson,RG Sharma,0,Not out
7.2,AT Rayudu,LH Ferguson,RG Sharma,0,run out
7.3,RG Sharma,LH Ferguson,KH Pandya,1,Not out
7.4,KH Pandya,LH Ferguson,RG Sharma,2,Not out
7.5,KH Pandya,LH Ferguson,RG Sharma,1,Not out
7.6,RG Sharma,LH Ferguson,KH Pandya,0,Not out
7.7,RG Sharma,LH Ferguson,KH Pandya,0,Not out
8.1,KH Pandya,A Zampa,RG Sharma,0,Not out
8.2,KH Pandya,A Zampa,RG Sharma,0,Not out
8.3,KH Pandya,A Zampa,RG Sharma,0,Not out
8.4,KH Pandya,A Zampa,RG Sharma,1,Not out
8.5,RG Sharma,A Zampa,KH Pandya,0,Not out
8.6,RG Sharma,A Zampa,KH Pandya,1,Not out
8.7,KH Pandya,A Zampa,RG Sharma,1,Not out
9.1,KH Pandya,Washington Sundar,RG Sharma,0,Not out
9.2,KH Pandya,Washington Sundar,RG Sharma,1,Not out
9.3,RG Sharma,Washington Sundar,KH Pandya,0,Not out
9.4,RG Sharma,Washington Sundar,KH Pandya,1,Not out
9.5,KH Pandya,Washington Sundar,RG Sharma,0,Not out
9.6,KH Pandya,Washington Sundar,RG Sharma,4,Not out
10.1,RG Sharma,A Zampa,KH Pandya,0,caught
10.2,KH Pandya,A Zampa,KA Pollard,1,Not out
10.3,KA Pollard,A Zampa,KH Pandya,6,Not out
10.4,KA Pollard,A Zampa,KH Pandya,1,Not out
10.5,KH Pandya,A Zampa,KA Pollard,1,Not out
10.6,KA Pollard,A Zampa,KH Pandya,0,caught
11.1,KH Pandya,Washington Sundar,HH Pandya,0,Not out
11.2,KH Pandya,Washington Sundar,HH Pandya,0,Not out
11.3,KH Pandya,Washington Sundar,HH Pandya,1,Not out
11.4,HH Pandya,Washington Sundar,KH Pandya,0,Not out
11.5,HH Pandya,Washington Sundar,KH Pandya,0,Not out
11.6,HH Pandya,Washington Sundar,KH Pandya,0,Not out
12.1,KH Pandya,A Zampa,HH Pandya,1,Not out
12.2,HH Pandya,A Zampa,KH Pandya,6,Not out
