ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,PA Patel,Sohail Tanvir,S Vidyut,0,Not out
0.2,PA Patel,Sohail Tanvir,S Vidyut,0,Not out
0.3,PA Patel,Sohail Tanvir,S Vidyut,0,Not out
0.4,PA Patel,Sohail Tanvir,S Vidyut,0,Not out
0.5,PA Patel,Sohail Tanvir,S Vidyut,0,Not out
0.6,PA Patel,Sohail Tanvir,S Vidyut,4,Not out
0.7,PA Patel,Sohail Tanvir,S Vidyut,1,Not out
1.1,PA Patel,SR Watson,S Vidyut,0,Not out
1.2,PA Patel,SR Watson,S Vidyut,1,Not out
1.3,S Vidyut,SR Watson,PA Patel,0,Not out
1.4,S Vidyut,SR Watson,PA Patel,1,Not out
1.5,PA Patel,SR Watson,S Vidyut,0,Not out
1.6,PA Patel,SR Watson,S Vidyut,4,Not out
2.1,S Vidyut,MM Patel,PA Patel,0,Not out
2.2,S Vidyut,MM Patel,PA Patel,1,Not out
2.3,PA Patel,MM Patel,S Vidyut,1,Not out
2.4,S Vidyut,MM Patel,PA Patel,1,Not out
2.5,PA Patel,MM Patel,S Vidyut,1,Not out
2.6,S Vidyut,MM Patel,PA Patel,0,Not out
3.1,PA Patel,SR Watson,S Vidyut,0,Not out
3.2,S Vidyut,SR Watson,PA Patel,0,Not out
3.3,S Vidyut,SR Watson,PA Patel,4,Not out
3.4,S Vidyut,SR Watson,PA Patel,0,Not out
3.5,S Vidyut,SR Watson,PA Patel,2,Not out
3.6,S Vidyut,SR Watson,PA Patel,6,Not out
4.1,PA Patel,MM Patel,S Vidyut,1,Not out
4.2,S Vidyut,MM Patel,PA Patel,1,Not out
4.3,PA Patel,MM Patel,S Vidyut,4,Not out
4.4,PA Patel,MM Patel,S Vidyut,0,Not out
4.5,PA Patel,MM Patel,S Vidyut,2,Not out
4.6,PA Patel,MM Patel,S Vidyut,2,Not out
5.1,S Vidyut,YK Pathan,PA Patel,0,Not out
5.2,S Vidyut,YK Pathan,PA Patel,0,caught
5.3,PA Patel,YK Pathan,SK Raina,0,Not out
5.4,PA Patel,YK Pathan,SK Raina,1,Not out
5.5,SK Raina,YK Pathan,PA Patel,1,Not out
5.6,PA Patel,YK Pathan,SK Raina,1,Not out
6.1,PA Patel,SK Trivedi,SK Raina,2,Not out
6.2,PA Patel,SK Trivedi,SK Raina,4,Not out
6.3,PA Patel,SK Trivedi,SK Raina,1,Not out
6.4,SK Raina,SK Trivedi,PA Patel,1,Not out
6.5,PA Patel,SK Trivedi,SK Raina,0,Not out
6.6,PA Patel,SK Trivedi,SK Raina,1,Not out
7.1,PA Patel,SK Warne,SK Raina,1,Not out
7.2,SK Raina,SK Warne,PA Patel,1,Not out
7.3,PA Patel,SK Warne,SK Raina,0,Not out
7.4,SK Raina,SK Warne,PA Patel,1,Not out
