ball_no,batsman,bowler,non_striker,runs,wicket_status
0.1,RV Uthappa,B Kumar,G Gambhir,1,Not out
0.2,G Gambhir,B Kumar,RV Uthappa,0,Not out
0.3,G Gambhir,B Kumar,RV Uthappa,0,Not out
0.4,G Gambhir,B Kumar,RV Uthappa,0,Not out
0.5,G Gambhir,B Kumar,RV Uthappa,4,Not out
0.6,G Gambhir,B Kumar,RV Uthappa,1,Not out
1.1,G Gambhir,DW Steyn,RV Uthappa,0,Not out
1.2,G Gambhir,DW Steyn,RV Uthappa,1,Not out
1.3,RV Uthappa,DW Steyn,G Gambhir,1,Not out
1.4,G Gambhir,DW Steyn,RV Uthappa,0,Not out
1.5,G Gambhir,DW Steyn,RV Uthappa,0,Not out
1.6,G Gambhir,DW Steyn,RV Uthappa,0,caught
2.1,RV Uthappa,B Kumar,MK Pandey,0,Not out
2.2,RV Uthappa,B Kumar,MK Pandey,0,Not out
2.3,RV Uthappa,B Kumar,MK Pandey,4,Not out
2.4,RV Uthappa,B Kumar,MK Pandey,0,Not out
2.5,RV Uthappa,B Kumar,MK Pandey,0,Not out
2.6,RV Uthappa,B Kumar,MK Pandey,0,Not out
3.1,MK Pandey,KV Sharma,RV Uthappa,0,Not out
3.2,MK Pandey,KV Sharma,RV Uthappa,0,Not out
3.3,MK Pandey,KV Sharma,RV Uthappa,0,Not out
3.4,MK Pandey,KV Sharma,RV Uthappa,1,Not out
3.5,RV Uthappa,KV Sharma,MK Pandey,1,Not out
3.6,MK Pandey,KV Sharma,RV Uthappa,0,Not out
4.1,RV Uthappa,DJG Sammy,MK Pandey,0,Not out
4.2,RV Uthappa,DJG Sammy,MK Pandey,1,Not out
4.3,MK Pandey,DJG Sammy,RV Uthappa,0,Not out
4.4,MK Pandey,DJG Sammy,RV Uthappa,4,Not out
4.5,MK Pandey,DJG Sammy,RV Uthappa,1,Not out
4.6,RV Uthappa,DJG Sammy,MK Pandey,1,Not out
5.1,RV Uthappa,DW Steyn,MK Pandey,2,Not out
5.2,RV Uthappa,DW Steyn,MK Pandey,6,Not out
5.3,RV Uthappa,DW Steyn,MK Pandey,0,Not out
5.4,RV Uthappa,DW Steyn,MK Pandey,0,Not out
5.5,RV Uthappa,DW Steyn,MK Pandey,0,Not out
5.6,RV Uthappa,DW Steyn,MK Pandey,1,Not out
