,Balls,Dismissals,Runs,SR
SV Samson,1143.0,52.0,1401.0,122.57
Q de Kock,566.0,24.0,726.0,128.27
AD Mathews,599.0,27.0,724.0,120.87
RA Jadeja,1409.0,66.0,1682.0,119.38
A Symonds,781.0,23.0,974.0,124.71
WP Saha,1219.0,55.0,1557.0,127.73
EJG Morgan,725.0,33.0,854.0,117.79
SC Ganguly,1326.0,51.0,1349.0,101.73
KL Rahul,592.0,23.0,725.0,122.47
S Badrinath,1245.0,43.0,1441.0,115.74
MC Henriques,729.0,32.0,925.0,126.89
DJ Hussey,1101.0,43.0,1322.0,120.07
GJ Maxwell,780.0,49.0,1229.0,157.56
Mandeep Singh,917.0,51.0,1085.0,118.32
AJ Finch,1267.0,55.0,1604.0,126.6
SS Tiwary,1111.0,41.0,1276.0,114.85
ST Jayasuriya,573.0,27.0,768.0,134.03
KC Sangakkara,1408.0,62.0,1672.0,118.75
Y Venugopal Rao,864.0,33.0,985.0,114.0
MA Agarwal,684.0,45.0,807.0,117.98
CL White,774.0,31.0,971.0,125.45
GC Smith,670.0,25.0,724.0,108.06
KM Jadhav,668.0,31.0,864.0,129.34
TM Dilshan,1037.0,38.0,1148.0,110.7
STR Binny,614.0,32.0,754.0,122.8
F du Plessis,1043.0,36.0,1295.0,124.16
TL Suman,587.0,29.0,676.0,115.16
SS Iyer,655.0,28.0,807.0,123.21
DJ Bravo,1032.0,53.0,1262.0,122.29
LRPL Taylor,847.0,38.0,1017.0,120.07
Harbhajan Singh,591.0,45.0,799.0,135.19
BJ Hodge,1153.0,40.0,1400.0,121.42
DA Miller,1135.0,43.0,1563.0,137.71
GJ Bailey,552.0,23.0,663.0,120.11
AM Nayar,588.0,30.0,672.0,114.29
SPD Smith,1321.0,42.0,1694.0,128.24
IK Pathan,942.0,42.0,1090.0,115.71
KK Nair,900.0,41.0,1123.0,124.78
JA Morkel,712.0,36.0,975.0,136.94
LMP Simmons,878.0,26.0,1079.0,122.89
HH Gibbs,837.0,29.0,886.0,105.85
KP Pietersen,758.0,26.0,1001.0,132.06
MS Bisla,728.0,33.0,791.0,108.65
MK Tiwary,1444.0,50.0,1648.0,114.13
NV Ojha,1336.0,68.0,1545.0,115.64
ML Hayden,839.0,28.0,1107.0,131.94
M Vohra,750.0,35.0,957.0,127.6
