,3_w,Economy,Runs,Wickets
S Sreesanth,1.0,7.08,1112.0,41.0
KK Cooper,5.0,7.25,725.0,33.0
M Kartik,1.0,6.81,1341.0,31.0
MS Gony,2.0,8.09,1230.0,37.0
JJ Bumrah,7.0,7.59,1335.0,44.0
KV Sharma,5.0,7.53,1311.0,50.0
Yuvraj Singh,4.0,7.24,1035.0,36.0
SB Jakati,2.0,7.77,1422.0,47.0
A Kumble,5.0,6.3,1027.0,45.0
YK Pathan,3.0,6.96,1350.0,41.0
Shakib Al Hasan,2.0,6.86,1049.0,42.0
Iqbal Abdulla,4.0,6.9,1083.0,40.0
RJ Harris,6.0,6.93,998.0,45.0
MA Starc,4.0,6.43,656.0,34.0
VR Aaron,1.0,7.67,1151.0,38.0
PJ Sangwan,3.0,7.91,1100.0,35.0
S Nadeem,1.0,6.85,1295.0,37.0
NLTC Perera,3.0,8.5,978.0,30.0
R Sharma,1.0,6.98,1075.0,40.0
AD Russell,4.0,8.06,870.0,31.0
NM Coulter-Nile,6.0,7.18,696.0,36.0
MC Henriques,1.0,7.92,1212.0,38.0
Imran Tahir,9.0,7.89,962.0,47.0
P Awana,4.0,7.75,1000.0,39.0
DT Christian,0.0,7.26,900.0,30.0
HV Patel,1.0,8.09,946.0,34.0
DE Bollinger,4.0,6.63,663.0,38.0
S Aravind,3.0,7.69,1007.0,45.0
P Negi,3.0,7.3,774.0,31.0
