,0,1,2,3,4,5,6,wickets
6-vs-6,10,3,0,0,0,0,0,4
6-vs-5,5,1,0,0,0,0,0,2
6-vs-3,26,2,0,0,0,0,0,4
6-vs-4,0,0,0,0,0,0,0,0
6-vs-0,4,1,0,0,0,0,0,0
6-vs-7,16,1,0,0,0,0,0,4
6-vs-8,7,1,0,0,0,0,0,0
6-vs-2,0,0,0,0,0,0,0,0
6-vs-1,12,0,0,0,0,0,0,3
5-vs-6,1261,1553,262,7,489,1,234,94
5-vs-5,1129,1234,194,9,337,1,141,92
5-vs-3,1912,1979,333,18,603,2,228,188
5-vs-4,3,11,4,0,8,0,7,0
5-vs-0,350,294,39,1,98,0,25,24
5-vs-7,1788,1969,321,17,546,1,271,167
5-vs-8,2459,2087,391,30,723,0,263,213
5-vs-2,133,197,43,0,94,1,42,10
5-vs-1,2233,2125,388,26,721,1,285,242
3-vs-6,676,632,118,8,156,0,52,79
3-vs-5,693,552,87,8,82,0,48,114
3-vs-3,1115,951,163,7,249,1,70,182
3-vs-4,2,6,2,0,1,0,0,0
3-vs-0,278,208,36,1,45,0,10,29
3-vs-7,1040,847,143,6,200,0,58,134
3-vs-8,1475,1109,208,9,321,0,78,176
3-vs-2,78,86,10,1,19,0,10,6
3-vs-1,1234,960,188,10,261,1,69,160
4-vs-6,1892,2062,341,30,659,1,253,200
4-vs-5,1858,1815,351,15,405,0,187,202
4-vs-3,3000,2888,515,24,783,5,321,285
4-vs-4,0,8,0,0,4,0,5,0
4-vs-0,524,386,64,6,108,0,42,50
4-vs-7,2949,2682,505,22,721,4,327,332
4-vs-8,3647,2881,546,26,992,4,324,381
4-vs-2,197,272,56,2,93,1,57,27
4-vs-1,3075,2791,478,29,876,3,318,336
0-vs-6,743,777,152,9,257,0,143,80
0-vs-5,606,565,106,3,139,0,71,109
0-vs-3,1076,1068,208,8,311,1,134,136
0-vs-4,0,4,0,0,0,0,5,0
0-vs-0,251,212,30,1,50,0,17,34
0-vs-7,1034,974,187,9,295,1,145,158
0-vs-8,1360,1123,203,14,395,0,132,172
0-vs-2,68,83,21,0,37,0,22,11
0-vs-1,1178,1089,203,10,334,1,164,158
7-vs-6,68,64,12,1,28,0,17,15
7-vs-5,77,67,27,0,38,0,15,18
7-vs-3,102,108,25,1,32,0,38,18
7-vs-4,0,0,0,0,0,0,0,0
7-vs-0,21,13,4,0,9,1,1,0
7-vs-7,93,98,23,2,43,0,28,15
7-vs-8,138,117,28,0,50,0,32,20
7-vs-2,5,5,1,0,1,0,2,1
7-vs-1,104,104,33,0,42,0,23,23
8-vs-6,148,123,18,1,13,0,4,23
8-vs-5,195,105,15,0,21,0,5,39
8-vs-3,290,219,35,3,34,0,5,39
8-vs-4,0,0,0,0,0,0,0,0
8-vs-0,46,46,4,0,5,0,0,7
8-vs-7,189,135,18,1,20,0,8,24
8-vs-8,329,241,41,2,36,0,10,48
8-vs-2,19,15,2,0,1,0,2,4
8-vs-1,337,198,23,2,39,0,4,49
2-vs-6,1802,1859,293,11,654,2,259,183
2-vs-5,1538,1473,219,7,376,0,149,181
2-vs-3,3053,2644,439,28,911,1,301,296
2-vs-4,8,17,6,0,12,0,14,0
2-vs-0,471,398,50,3,105,0,47,43
2-vs-7,2755,2679,401,25,824,4,290,267
2-vs-8,3756,2833,483,27,1166,3,305,342
2-vs-2,201,253,45,2,119,0,67,15
2-vs-1,3087,2587,461,23,899,3,305,289
1-vs-6,29,22,2,0,3,0,0,4
1-vs-5,53,24,3,0,0,0,0,13
1-vs-3,80,40,7,0,5,0,0,13
1-vs-4,0,0,0,0,0,0,0,0
1-vs-0,16,5,0,0,0,0,1,1
1-vs-7,73,46,5,0,3,0,0,14
1-vs-8,118,58,6,0,3,0,0,17
1-vs-2,4,3,0,0,0,0,0,0
1-vs-1,92,42,2,0,2,0,0,15
