,0,1,2,3,4,5,6,wickets
6-vs-6,0.588,0.176,0.0,0.0,0.0,0.0,0.0,0.235
6-vs-5,0.625,0.125,0.0,0.0,0.0,0.0,0.0,0.25
6-vs-3,0.812,0.062,0.0,0.0,0.0,0.0,0.0,0.125
6-vs-4,,,,,,,,
6-vs-0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0
6-vs-7,0.762,0.048,0.0,0.0,0.0,0.0,0.0,0.19
6-vs-8,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0
6-vs-2,,,,,,,,
6-vs-1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2
5-vs-6,0.323,0.398,0.067,0.002,0.125,0.0,0.06,0.024
5-vs-5,0.36,0.393,0.062,0.003,0.107,0.0,0.045,0.029
5-vs-3,0.363,0.376,0.063,0.003,0.115,0.0,0.043,0.036
5-vs-4,0.091,0.333,0.121,0.0,0.242,0.0,0.212,0.0
5-vs-0,0.421,0.354,0.047,0.001,0.118,0.0,0.03,0.029
5-vs-7,0.352,0.388,0.063,0.003,0.107,0.0,0.053,0.033
5-vs-8,0.399,0.338,0.063,0.005,0.117,0.0,0.043,0.035
5-vs-2,0.256,0.379,0.083,0.0,0.181,0.002,0.081,0.019
5-vs-1,0.371,0.353,0.064,0.004,0.12,0.0,0.047,0.04
3-vs-6,0.393,0.367,0.069,0.005,0.091,0.0,0.03,0.046
3-vs-5,0.438,0.348,0.055,0.005,0.052,0.0,0.03,0.072
3-vs-3,0.407,0.347,0.06,0.003,0.091,0.0,0.026,0.066
3-vs-4,0.182,0.545,0.182,0.0,0.091,0.0,0.0,0.0
3-vs-0,0.458,0.343,0.059,0.002,0.074,0.0,0.016,0.048
3-vs-7,0.428,0.349,0.059,0.002,0.082,0.0,0.024,0.055
3-vs-8,0.437,0.328,0.062,0.003,0.095,0.0,0.023,0.052
3-vs-2,0.371,0.41,0.048,0.005,0.09,0.0,0.048,0.029
3-vs-1,0.428,0.333,0.065,0.003,0.091,0.0,0.024,0.055
4-vs-6,0.348,0.379,0.063,0.006,0.121,0.0,0.047,0.037
4-vs-5,0.384,0.376,0.073,0.003,0.084,0.0,0.039,0.042
4-vs-3,0.384,0.369,0.066,0.003,0.1,0.001,0.041,0.036
4-vs-4,0.0,0.471,0.0,0.0,0.235,0.0,0.294,0.0
4-vs-0,0.444,0.327,0.054,0.005,0.092,0.0,0.036,0.042
4-vs-7,0.391,0.356,0.067,0.003,0.096,0.001,0.043,0.044
4-vs-8,0.414,0.327,0.062,0.003,0.113,0.0,0.037,0.043
