,innings_1,innings_2
392208,MI,RCB
419151,DC,RCB
733977,SH,RCB
1082620,RPS,KKR
336040,CSK,RR
829775,MI,KXIP
829801,CSK,DD
729279,KKR,MI
548332,RR,CSK
392213,RCB,RR
980983,SH,DD
829717,KXIP,MI
501244,RCB,KXIP
548306,CSK,MI
1082631,KKR,RPS
1082622,DD,KKR
548376,DC,RCB
501226,CSK,PW
419131,DD,KKR
419110,DC,CSK
336023,RR,RCB
548310,RCB,DD
729295,KXIP,SH
598011,MI,PW
733991,KXIP,RCB
548369,KXIP,DD
548368,KKR,CSK
548372,RCB,DD
501216,DC,DD
729299,KKR,RCB
980925,KXIP,KKR
598052,KXIP,RR
734001,SH,MI
829807,SH,RCB
548328,KXIP,KKR
419130,MI,DC
501241,MI,PW
1082600,SH,MI
980971,KXIP,DD
829777,RR,DD
501223,DD,KXIP
829819,RCB,RR
598025,PW,KXIP
598056,SH,KXIP
734005,RCB,DD
335992,RCB,RR
734041,RR,MI
419162,MI,RCB
336035,KXIP,KKR
598047,PW,RR
1082625,GL,MI
419137,CSK,RR
980969,RPS,RCB
598063,MI,RR
419149,DD,KXIP
1082649,KKR,MI
729285,SH,RR
734007,SH,KXIP
548358,PW,RR
548357,DD,KKR
419155,CSK,DD
501269,KKR,MI
548352,CSK,DC
734011,RR,DD
548324,RR,RCB
598013,KKR,SH
829817,MI,CSK
392205,DC,RR
598070,CSK,MI
419112,KXIP,RCB
336024,MI,DC
598048,SH,RCB
501202,KXIP,PW
1082605,DD,KXIP
980951,DD,KKR
392232,DD,RCB
598001,RR,DD
598029,KKR,MI
501234,KXIP,KKR
501255,KKR,RCB
419122,KKR,MI
980991,KXIP,SH
980959,RCB,KKR
729301,SH,DD
335982,KKR,RCB
336014,KKR,DC
548314,DC,MI
598066,KXIP,MI
981017,GL,SH
392201,DC,DD
419148,KKR,RCB
980957,RPS,MI
729287,MI,RCB
829715,DD,RR
335997,KKR,MI
1082616,KXIP,GL
419133,RCB,CSK
501254,KTK,KXIP
829803,KXIP,RCB
734013,CSK,RCB
419113,CSK,KKR
501201,DD,MI
829741,RR,KXIP
1082596,GL,SH
548380,CSK,DD
548360,MI,RCB
548349,RR,DD
501240,RR,CSK
336002,DC,RCB
729313,RCB,KXIP
829811,RR,KKR
548322,CSK,PW
829739,DD,KKR
1082604,KKR,SH
598008,KKR,RCB
501263,MI,RR
980927,RCB,MI
336026,RCB,DD
1082610,RCB,GL
829707,CSK,DD
501248,KXIP,PW
980937,RCB,GL
336031,DC,KXIP
419163,CSK,DC
548356,DC,RCB
501210,MI,KTK
734025,KXIP,MI
598068,RCB,CSK
598020,CSK,DD
