,venue
392208,New Wanderers Stadium
419151,"Vidarbha Cricket Association Stadium, Jamtha"
733977,M Chinnaswamy Stadium
1082620,Maharashtra Cricket Association Stadium
336040,Dr DY Patil Sports Academy
829775,"Punjab Cricket Association Stadium, Mohali"
829801,Shaheed Veer Narayan Singh International Stadium
729279,Sheikh Zayed Stadium
548332,"MA Chidambaram Stadium, Chepauk"
392213,SuperSport Park
980983,"Rajiv Gandhi International Stadium, Uppal"
829717,Wankhede Stadium
501244,M Chinnaswamy Stadium
548306,"MA Chidambaram Stadium, Chepauk"
1082631,Eden Gardens
1082622,Eden Gardens
548376,"Rajiv Gandhi International Stadium, Uppal"
501226,"MA Chidambaram Stadium, Chepauk"
419131,Feroz Shah Kotla
419110,"MA Chidambaram Stadium, Chepauk"
336023,Sawai Mansingh Stadium
548310,M Chinnaswamy Stadium
729295,Sharjah Cricket Stadium
598011,Wankhede Stadium
733991,M Chinnaswamy Stadium
548369,Feroz Shah Kotla
548368,Eden Gardens
548372,Feroz Shah Kotla
501216,Feroz Shah Kotla
729299,Sharjah Cricket Stadium
980925,"Punjab Cricket Association IS Bindra Stadium, Mohali"
598052,"Punjab Cricket Association Stadium, Mohali"
734001,"Rajiv Gandhi International Stadium, Uppal"
829807,"Rajiv Gandhi International Stadium, Uppal"
548328,"Punjab Cricket Association Stadium, Mohali"
419130,Dr DY Patil Sports Academy
501241,Dr DY Patil Sports Academy
1082600,Wankhede Stadium
980971,"Punjab Cricket Association IS Bindra Stadium, Mohali"
829777,Brabourne Stadium
501223,Feroz Shah Kotla
829819,Maharashtra Cricket Association Stadium
598025,"Punjab Cricket Association Stadium, Mohali"
598056,"Punjab Cricket Association Stadium, Mohali"
734005,M Chinnaswamy Stadium
335992,M Chinnaswamy Stadium
734041,Wankhede Stadium
419162,Dr DY Patil Sports Academy
336035,Eden Gardens
598047,Sawai Mansingh Stadium
1082625,Saurashtra Cricket Association Stadium
419137,"MA Chidambaram Stadium, Chepauk"
980969,M Chinnaswamy Stadium
598063,Wankhede Stadium
419149,Feroz Shah Kotla
1082649,M Chinnaswamy Stadium
729285,Sheikh Zayed Stadium
734007,"Rajiv Gandhi International Stadium, Uppal"
548358,Subrata Roy Sahara Stadium
548357,Feroz Shah Kotla
