,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
GD McGrath,2,2,0,0,0,0,0,4,0,1,2,50.0
PJ Sangwan,7,2,0,0,1,0,0,10,1,1,6,60.0
VY Mahesh,2,1,0,0,1,0,0,4,0,1,5,125.0
Harmeet Singh,7,0,0,0,1,0,0,8,0,1,4,50.0
PP Ojha,3,3,0,0,0,0,0,6,1,1,3,50.0
SB Styris,5,1,0,0,1,0,0,7,0,2,5,71.43
DW Steyn,3,1,0,0,0,0,0,4,1,1,1,25.0
Z Khan,0,1,0,0,0,0,0,1,0,1,1,100.0
SM Pollock,3,1,0,0,0,0,0,4,0,1,1,25.0
DP Vijaykumar,4,1,0,0,0,0,0,5,0,1,1,20.0
WPUJC Vaas,1,1,0,0,0,0,0,2,0,1,1,50.0
RP Singh,1,3,1,0,1,0,0,6,0,1,9,150.0
Y Venugopal Rao,5,1,1,0,0,0,0,7,0,1,3,42.86
SB Bangar,1,1,0,0,2,0,0,4,0,1,9,225.0
PP Chawla,0,1,0,0,0,0,0,1,0,1,1,100.0
JR Hopes,1,1,0,0,0,0,0,2,1,1,1,50.0
