,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
DL Vettori,3,2,1,0,0,0,0,6,0,1,4,66.67
MK Tiwary,0,3,0,0,0,0,0,3,0,1,3,100.0
DP Nannes,1,0,0,0,0,0,0,1,0,1,0,0.0
PJ Sangwan,1,2,0,0,1,0,0,4,0,1,6,150.0
A Nehra,2,1,1,0,0,0,0,4,1,1,3,75.0
KP Pietersen,1,2,0,0,1,0,0,4,0,1,6,150.0
DW Steyn,2,4,0,0,1,0,1,8,0,1,14,175.0
P Kumar,0,2,0,0,0,0,0,2,0,1,2,100.0
Z Khan,3,1,0,0,0,0,0,4,0,1,1,25.0
DJ Bravo,4,0,0,1,1,0,1,7,0,1,13,185.71
SL Malinga,4,0,0,0,0,0,0,4,0,1,0,0.0
RR Raje,0,1,0,0,0,0,0,1,0,1,1,100.0
Harbhajan Singh,3,2,0,0,0,0,0,5,1,1,2,40.0
ST Jayasuriya,0,3,0,0,1,0,0,4,0,1,7,175.0
