,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
IK Pathan,3,2,0,0,1,0,0,6,0,3,6,100.0
YA Abdulla,2,0,0,0,0,0,0,2,1,1,0,0.0
JA Morkel,0,0,1,0,0,0,0,1,0,1,2,200.0
PP Chawla,3,1,0,0,0,0,0,4,0,1,1,25.0
VRV Singh,1,2,0,0,0,0,0,3,0,1,2,66.67
A Mishra,0,1,0,0,0,0,0,1,0,1,1,100.0
RP Singh,0,2,0,0,0,0,0,2,0,2,2,100.0
Harmeet Singh,1,1,0,0,0,0,0,2,0,1,1,50.0
RJ Harris,1,1,0,0,0,0,0,2,0,1,1,50.0
M Muralitharan,3,0,0,0,0,0,0,3,0,1,0,0.0
A Flintoff,1,1,0,0,0,0,0,2,0,1,1,50.0
SK Warne,1,1,0,0,1,0,0,3,0,1,5,166.67
RA Jadeja,1,2,0,0,0,0,0,3,0,1,2,66.67
Sohail Tanvir,1,1,0,0,0,0,0,2,1,1,1,50.0
R McLaren,2,1,0,0,0,0,0,3,0,1,1,33.33
AB McDonald,0,1,0,0,0,0,0,1,0,1,1,100.0
CRD Fernando,2,1,0,0,0,0,0,3,0,1,1,33.33
Harbhajan Singh,1,1,0,0,0,0,0,2,0,1,1,50.0
DJ Bravo,1,1,0,0,1,0,0,3,0,1,5,166.67
SL Malinga,0,1,0,0,0,0,0,1,0,1,1,100.0
