,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
GB Hogg,5,1,0,0,0,0,0,6,1,1,1,16.67
PP Chawla,1,3,0,0,0,0,0,4,0,2,3,75.0
KK Cooper,5,3,0,0,0,0,0,8,0,1,3,37.5
SR Watson,8,3,0,0,1,0,0,12,0,2,7,58.33
SK Trivedi,9,4,3,0,1,0,0,17,1,2,14,82.35
STR Binny,5,2,0,0,0,0,0,7,0,1,2,28.57
JP Faulkner,3,0,0,0,0,0,0,3,1,2,0,0.0
A Symonds,1,0,0,0,0,0,0,1,1,1,0,0.0
ST Jayasuriya,0,1,0,0,0,0,0,1,0,1,1,100.0
Harbhajan Singh,3,9,0,0,1,0,0,13,0,5,13,100.0
KA Pollard,6,4,0,0,0,0,0,10,1,2,4,40.0
MR Marsh,3,4,0,0,1,0,0,8,1,2,8,100.0
DE Bollinger,4,0,1,0,0,0,0,5,1,1,2,40.0
AB Dinda,4,8,1,0,2,0,0,15,0,3,18,120.0
SC Ganguly,5,8,1,0,1,0,0,15,0,1,14,93.33
Iqbal Abdulla,2,5,0,0,2,0,0,9,0,1,13,144.44
I Sharma,2,1,0,0,0,0,0,3,0,1,1,33.33
LR Shukla,1,0,0,0,0,0,0,1,1,1,0,0.0
VR Aaron,4,2,0,0,0,0,0,6,0,1,2,33.33
Sandeep Sharma,3,2,0,0,0,0,0,5,0,1,2,40.0
RP Singh,1,2,0,0,0,0,0,3,0,2,2,66.67
WPUJC Vaas,1,0,0,0,0,0,0,1,0,1,0,0.0
MJ McClenaghan,1,0,0,0,0,0,0,1,0,1,0,0.0
R Vinay Kumar,1,1,0,0,0,0,0,2,0,1,1,50.0
JJ Bumrah,2,0,0,0,0,0,0,2,1,1,0,0.0
MM Patel,6,4,0,0,7,0,0,17,1,6,32,188.24
R Sharma,1,5,0,0,0,0,0,6,0,2,5,83.33
AD Mathews,2,6,0,0,0,0,0,8,0,1,6,75.0
JP Duminy,0,0,1,0,1,0,1,3,0,1,12,400.0
P Awana,0,1,0,0,0,0,0,1,0,1,1,100.0
Azhar Mahmood,0,3,0,0,1,0,0,4,0,1,7,175.0
JO Holder,6,1,1,0,2,0,0,10,0,2,11,110.0
DJ Bravo,0,2,0,0,0,0,0,2,0,1,2,100.0
RA Jadeja,0,1,0,0,0,0,0,1,0,1,1,100.0
JA Morkel,1,1,0,0,0,0,0,2,0,1,1,50.0
L Balaji,6,3,1,0,3,0,1,14,0,4,23,164.29
P Negi,2,3,0,0,0,0,1,6,1,2,9,150.0
PP Ojha,4,2,0,0,0,0,0,6,0,1,2,33.33
Harmeet Singh,1,0,0,0,0,0,0,1,1,1,0,0.0
Basil Thampi,0,0,0,0,2,0,0,2,0,1,8,400.0
M Morkel,4,4,2,0,1,0,0,11,0,2,12,109.09
IK Pathan,2,3,2,0,0,0,0,7,0,2,7,100.0
UT Yadav,2,2,0,0,1,0,0,5,0,2,6,120.0
DS Kulkarni,2,2,0,0,0,0,0,4,0,2,2,50.0
TG Southee,1,1,0,0,0,0,0,2,0,1,1,50.0
MG Johnson,1,1,0,0,0,0,0,2,0,1,1,50.0
R Dhawan,0,1,0,0,0,0,0,1,0,1,1,100.0
SL Malinga,8,3,0,0,0,0,0,11,2,3,3,27.27
AN Ahmed,1,3,0,0,0,0,0,4,0,1,3,75.0
Kamran Khan,1,0,0,0,0,0,0,1,1,1,0,0.0
R Ashwin,7,5,0,0,0,0,0,12,1,2,5,41.67
A Nehra,1,1,1,0,0,0,0,3,0,1,3,100.0
PC Valthaty,1,0,0,0,0,0,0,1,1,1,0,0.0
KV Sharma,6,3,1,0,0,0,0,10,0,1,5,50.0
HH Pandya,0,1,0,0,0,0,0,1,0,1,1,100.0
MM Sharma,1,0,0,0,0,0,0,1,0,1,0,0.0
CH Morris,3,1,1,0,0,0,0,5,0,1,3,60.0
BA Stokes,3,2,0,0,0,0,0,5,0,1,2,40.0
JD Unadkat,1,4,1,0,0,0,2,8,0,2,18,225.0
TS Mills,1,2,1,0,0,0,0,4,0,1,4,100.0
D Wiese,0,1,0,0,0,0,0,1,0,1,1,100.0
MA Starc,2,1,0,0,0,0,0,3,1,1,1,33.33
R Bhatia,0,1,0,0,0,0,0,1,0,1,1,100.0
AG Murtaza,0,3,0,0,0,0,0,3,0,1,3,100.0
CRD Fernando,1,3,0,0,0,0,0,4,1,1,3,75.0
L Ablish,1,3,0,0,0,0,0,4,0,1,3,75.0
J Theron,1,3,0,0,0,0,0,4,0,1,3,75.0
JH Kallis,3,3,2,0,0,0,0,8,0,1,7,87.5
B Lee,0,2,0,0,0,0,0,2,0,1,2,100.0
NLTC Perera,1,0,0,0,0,0,0,1,0,1,0,0.0
SK Warne,2,2,0,0,0,0,0,4,0,1,2,50.0
SP Narine,0,1,0,0,0,0,0,1,0,1,1,100.0
AB Agarkar,2,3,0,0,0,0,0,5,0,2,3,60.0
A Singh,0,2,0,0,0,0,0,2,0,1,2,100.0
