,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
DJ Bravo,1,1,0,0,1,0,0,3,0,1,5,166.67
Z Khan,0,3,0,0,0,0,0,3,0,2,3,100.0
KA Pollard,2,3,1,0,0,0,0,6,0,1,5,83.33
R McLaren,4,1,2,0,1,0,0,8,1,1,9,112.5
SK Warne,9,16,5,1,3,0,4,38,0,4,65,171.05
RA Jadeja,4,3,1,0,1,0,0,9,1,1,9,100.0
Bipul Sharma,3,3,1,1,0,0,1,9,0,2,14,155.56
P Kumar,7,4,1,0,2,0,1,15,0,3,20,133.33
S Randiv,5,1,1,0,1,0,0,8,0,1,7,87.5
R Ashwin,6,7,1,0,1,0,1,16,1,3,19,118.75
SK Raina,5,5,0,0,0,0,0,10,0,2,5,50.0
Joginder Sharma,0,1,0,0,0,0,1,2,0,1,7,350.0
DE Bollinger,4,4,0,0,1,0,0,9,0,2,8,88.89
AL Menaria,0,1,0,0,0,0,0,1,0,1,1,100.0
SR Watson,10,4,0,0,2,0,0,16,0,2,12,75.0
SK Trivedi,3,10,1,1,4,0,2,21,1,4,43,204.76
J Botha,2,1,0,0,0,0,0,3,1,1,1,33.33
RR Powar,5,1,2,0,1,0,0,9,0,1,9,100.0
S Sreesanth,2,3,1,0,3,0,3,12,0,3,35,291.67
PP Chawla,6,11,6,0,0,0,2,25,0,4,35,140.0
Yuvraj Singh,6,7,2,0,0,0,0,15,2,3,11,73.33
B Lee,4,4,1,0,0,0,0,9,0,2,6,66.67
DP Nannes,2,6,2,0,4,0,0,14,0,4,26,185.71
A Mishra,17,12,7,0,1,0,5,42,3,6,60,142.86
A Nehra,0,2,0,0,0,0,0,2,0,1,2,100.0
AP Dole,2,3,0,0,0,0,0,5,0,1,3,60.0
M Morkel,8,4,0,0,2,0,0,14,0,1,12,85.71
S Ladda,2,2,0,0,0,0,1,5,0,1,8,160.0
UT Yadav,5,5,0,0,2,0,0,12,0,2,13,108.33
