,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
YK Pathan,3,1,0,0,0,0,0,4,0,1,1,25.0
SM Harwood,1,0,0,0,0,0,0,1,1,1,0,0.0
A Nehra,7,2,3,0,1,0,0,13,0,2,12,92.31
DP Nannes,5,0,1,0,1,0,0,7,0,1,6,85.71
PJ Sangwan,3,2,0,0,0,0,0,5,0,2,2,40.0
A Mishra,5,5,1,0,0,0,0,11,1,2,7,63.64
DL Vettori,5,1,0,0,0,0,0,6,1,1,1,16.67
TM Dilshan,3,3,0,0,0,0,0,6,0,1,3,50.0
V Sehwag,0,1,0,0,0,0,0,1,0,1,1,100.0
SK Warne,2,1,0,0,0,0,0,3,1,1,1,33.33
SR Watson,0,1,0,0,0,0,0,1,0,1,1,100.0
M Muralitharan,3,1,0,0,0,0,0,4,0,1,1,25.0
JA Morkel,2,4,1,0,0,0,0,7,0,1,6,85.71
JDP Oram,1,1,0,0,0,0,0,2,0,1,1,50.0
L Balaji,0,0,0,0,1,0,0,1,0,1,4,400.0
R Vinay Kumar,2,2,1,0,0,0,0,5,1,1,4,80.0
P Kumar,1,4,2,0,1,0,0,8,0,2,12,150.0
A Kumble,0,2,0,0,1,0,0,3,0,1,6,200.0
