,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
AG Murtaza,2,2,0,0,1,0,1,6,0,1,12,200.0
R Sathish,1,2,0,0,0,0,0,3,0,1,2,66.67
R McLaren,1,0,0,0,0,0,0,1,0,1,0,0.0
SL Malinga,5,1,0,0,0,0,0,6,1,3,1,16.67
SJ Srivastava,3,0,0,0,0,0,0,3,1,1,0,0.0
P Kumar,4,1,0,0,0,0,0,5,0,1,1,20.0
PP Chawla,2,3,0,1,0,0,0,6,0,1,6,100.0
RR Powar,0,2,0,0,0,0,1,3,0,1,8,266.67
P Awana,1,2,0,0,0,0,0,3,0,1,2,66.67
Azhar Mahmood,1,2,0,0,0,0,0,3,0,1,2,66.67
PJ Sangwan,8,5,0,0,1,0,0,14,0,1,9,64.29
S Ladda,7,6,0,0,1,0,1,15,0,1,16,106.67
A Mishra,3,5,2,0,0,0,0,10,0,2,9,90.0
MF Maharoof,1,1,2,0,0,0,0,4,0,2,5,125.0
DP Nannes,3,3,0,0,3,0,0,9,0,1,15,166.67
BW Hilfenhaus,0,1,0,0,0,0,0,1,0,1,1,100.0
A Kumble,4,3,0,0,0,0,0,7,0,2,3,42.86
JH Kallis,8,1,2,0,1,0,0,12,1,2,9,75.0
RJ Harris,1,0,0,0,1,0,0,2,0,1,4,200.0
PP Ojha,0,1,1,0,0,0,0,2,0,1,3,150.0
RP Singh,0,2,1,0,0,0,0,3,0,1,4,133.33
Harmeet Singh,1,0,0,0,0,0,0,1,1,1,0,0.0
M Muralitharan,1,0,0,0,0,0,1,2,0,1,6,300.0
DE Bollinger,1,1,0,0,0,0,0,2,1,1,1,50.0
AB McDonald,1,1,0,0,0,0,0,2,0,1,1,50.0
AD Mathews,0,5,0,0,1,0,0,6,0,1,9,150.0
M Kartik,6,7,2,0,2,0,0,17,0,1,19,111.76
SE Bond,1,3,0,0,1,0,0,5,0,1,7,140.0
AB Dinda,1,3,0,0,0,0,0,4,0,1,3,75.0
BJ Hodge,0,3,0,0,1,0,0,4,0,1,7,175.0
I Sharma,1,0,0,0,0,0,0,1,1,1,0,0.0
R Vinay Kumar,4,1,0,0,0,0,0,5,0,1,1,20.0
Pankaj Singh,2,1,0,0,1,0,0,4,1,1,5,125.0
DW Steyn,1,0,0,0,0,0,0,1,0,1,0,0.0
T Thushara,2,0,0,0,1,0,0,3,1,1,4,133.33
JA Morkel,0,1,1,0,1,0,0,3,0,1,7,233.33
MM Patel,2,0,0,0,0,0,0,2,0,1,0,0.0
DS Kulkarni,6,4,0,0,2,0,1,13,0,2,18,138.46
A Symonds,3,0,0,0,0,0,0,3,0,1,0,0.0
KA Pollard,2,0,0,0,0,0,0,2,1,1,0,0.0
Harbhajan Singh,2,5,0,0,0,0,0,7,0,1,5,71.43
ST Jayasuriya,1,4,2,0,0,0,0,7,0,1,8,114.29
UT Yadav,3,0,0,0,1,0,0,4,0,1,4,100.0
M Morkel,2,0,0,0,0,0,0,2,1,1,0,0.0
