,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
J Botha,0,3,0,0,0,0,0,3,0,1,3,100.0
SK Warne,1,4,0,0,0,0,0,5,0,1,4,80.0
RA Jadeja,3,3,0,0,0,0,0,6,0,2,3,50.0
T Henderson,2,2,0,0,0,0,0,4,0,1,2,50.0
A Singh,0,1,1,0,0,0,0,2,0,1,3,150.0
UT Yadav,0,3,0,0,0,0,0,3,0,1,3,100.0
R Bhatia,1,3,1,0,1,0,1,7,0,2,15,214.29
AB McDonald,0,2,0,0,0,0,0,2,0,1,2,100.0
PD Collingwood,1,0,3,0,0,0,0,4,1,1,6,150.0
Kamran Khan,0,1,0,0,0,0,0,1,0,1,1,100.0
R Ashwin,3,1,0,0,0,0,0,4,1,1,1,25.0
P Amarnath,0,0,1,0,1,0,0,2,0,1,6,300.0
M Muralitharan,1,2,0,0,1,0,0,4,0,2,6,150.0
Joginder Sharma,1,2,0,0,0,0,0,3,0,1,2,66.67
MS Gony,1,0,1,0,0,0,0,2,1,1,2,100.0
DE Bollinger,2,0,0,0,1,0,0,3,0,1,4,133.33
Jaskaran Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
KAJ Roach,1,1,1,0,1,0,0,4,0,1,7,175.0
SR Watson,5,2,0,0,1,0,1,9,1,2,12,133.33
Sohail Tanvir,4,1,1,0,1,0,1,8,0,1,13,162.5
RE van der Merwe,0,4,0,0,0,0,0,4,0,1,4,100.0
P Kumar,3,7,0,0,0,0,0,10,0,2,7,70.0
IK Pathan,1,1,0,0,0,0,0,2,0,1,1,50.0
SB Styris,0,1,0,0,0,0,0,1,0,1,1,100.0
RP Singh,1,0,0,0,0,0,1,2,0,1,6,300.0
A Mishra,7,1,0,0,0,0,0,8,0,1,1,12.5
TM Dilshan,0,1,0,0,0,0,0,1,0,1,1,100.0
DP Nannes,2,2,1,0,1,0,0,6,0,1,8,133.33
PJ Sangwan,3,1,1,0,2,0,1,8,1,1,17,212.5
A Nehra,1,1,1,0,0,0,0,3,0,1,3,100.0
RR Raje,2,2,0,0,2,0,0,6,0,1,10,166.67
DJ Thornely,3,2,0,0,0,0,0,5,0,1,2,40.0
DJ Bravo,1,2,1,0,0,0,0,4,1,2,4,100.0
P Awana,0,2,1,0,0,0,0,3,0,1,4,133.33
SL Malinga,2,2,0,0,0,0,0,4,0,1,2,50.0
DS Kulkarni,1,1,0,0,1,0,0,3,0,1,5,166.67
DW Steyn,1,1,0,0,0,0,0,2,0,1,1,50.0
JH Kallis,0,2,0,0,0,0,0,2,0,1,2,100.0
R Vinay Kumar,1,1,1,0,0,0,0,3,0,1,3,100.0
ST Jayasuriya,5,1,0,0,0,0,0,6,1,1,1,16.67
