,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SL Malinga,5,1,0,0,0,0,0,6,2,3,1,16.67
Harbhajan Singh,3,0,0,0,0,0,0,3,0,1,0,0.0
RP Singh,1,1,1,0,0,0,0,3,1,2,3,100.0
CH Gayle,2,2,0,0,1,0,0,5,0,2,6,120.0
Sohail Tanvir,1,1,0,0,0,0,0,2,0,1,1,50.0
SR Watson,1,0,0,0,0,0,0,1,1,1,0,0.0
Z Khan,3,1,0,0,1,0,0,5,0,1,5,100.0
A Mishra,1,2,0,0,0,0,0,3,1,2,2,66.67
PJ Cummins,1,0,0,0,0,0,0,1,1,1,0,0.0
PV Tambe,3,0,0,0,0,0,0,3,1,1,0,0.0
KA Pollard,1,1,0,0,0,0,0,2,0,1,1,50.0
DJ Thornely,0,1,0,0,0,0,0,1,0,1,1,100.0
MG Johnson,3,2,0,0,0,0,0,5,0,1,2,40.0
DW Steyn,2,0,0,0,0,0,0,2,1,1,0,0.0
DJ Bravo,0,2,0,0,0,0,0,2,0,1,2,100.0
AD Mascarenhas,0,1,0,0,0,0,0,1,0,1,1,100.0
P Awana,3,1,0,0,0,0,0,4,0,1,1,25.0
R Vinay Kumar,1,0,0,0,0,0,0,1,0,1,0,0.0
