,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SW Tait,1,2,0,0,1,0,0,4,0,1,6,150.0
SK Trivedi,1,2,1,0,1,0,0,5,0,1,8,160.0
RE van der Merwe,0,2,0,0,0,0,0,2,0,1,2,100.0
A Kumble,1,1,0,0,0,0,0,2,1,1,1,50.0
PP Chawla,0,3,0,0,0,0,0,3,0,2,3,100.0
DJ Hussey,2,2,0,0,0,0,0,4,0,1,2,50.0
P Awana,3,3,0,0,1,0,0,7,0,2,7,100.0
Azhar Mahmood,1,1,0,0,1,0,0,3,1,2,5,166.67
S Nadeem,2,0,0,0,0,0,0,2,1,1,0,0.0
KA Pollard,2,3,1,0,0,0,0,6,0,1,5,83.33
AG Murtaza,1,5,0,0,0,0,0,6,0,1,5,83.33
Harbhajan Singh,3,4,1,0,0,0,0,8,0,1,6,75.0
CRD Fernando,0,6,0,0,0,0,0,6,0,1,6,100.0
DJ Bravo,2,2,4,0,0,0,1,9,0,2,16,177.78
P Kumar,6,1,1,0,0,0,1,9,0,1,9,100.0
DW Steyn,0,1,0,1,1,0,0,3,0,1,8,266.67
R Vinay Kumar,1,1,0,0,0,0,0,2,0,1,1,50.0
IK Pathan,2,1,0,0,3,0,1,7,0,1,19,271.43
DAJ Bracewell,4,0,0,0,0,0,1,5,0,1,6,120.0
UT Yadav,3,1,0,0,0,0,0,4,0,1,1,25.0
M Morkel,2,0,0,0,1,0,0,3,1,1,4,133.33
JA Morkel,0,1,0,0,0,0,0,1,0,1,1,100.0
DE Bollinger,1,0,1,0,0,0,0,2,1,1,2,100.0
