,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
MM Patel,8,13,3,0,3,0,1,28,0,5,37,132.14
AN Ahmed,3,4,0,0,0,0,1,8,0,1,10,125.0
SL Malinga,17,12,8,0,9,0,2,48,0,9,76,158.33
Pankaj Singh,2,3,0,0,0,0,0,5,0,2,3,60.0
GB Hogg,2,5,0,2,0,0,0,9,0,3,11,122.22
SK Trivedi,9,9,3,1,2,0,2,26,1,5,38,146.15
UT Yadav,10,8,2,0,3,0,3,26,0,7,42,161.54
NM Coulter-Nile,1,0,0,0,1,0,0,2,1,1,4,200.0
KV Sharma,10,17,0,0,0,0,2,29,0,4,29,100.0
RS Bopara,2,2,0,0,3,0,1,8,0,1,20,250.0
A Ashish Reddy,3,6,2,0,3,0,4,18,0,4,46,255.56
B Kumar,10,12,1,0,7,0,1,31,1,8,48,154.84
P Kumar,8,10,0,0,3,0,5,26,0,8,52,200.0
TA Boult,1,0,0,0,1,0,0,2,1,1,4,200.0
R Dhawan,1,4,0,0,1,0,0,6,1,2,8,133.33
Sandeep Sharma,9,11,2,0,6,0,5,33,2,6,69,209.09
AR Patel,11,16,3,0,3,0,1,34,1,6,40,117.65
Mustafizur Rahman,6,5,1,0,0,0,0,12,1,2,7,58.33
A Nehra,11,7,0,0,6,0,5,29,2,7,61,210.34
MC Henriques,3,17,2,0,5,0,2,29,1,4,53,182.76
PP Ojha,10,18,0,1,3,0,1,33,0,4,39,118.18
WPUJC Vaas,4,4,0,0,1,0,0,9,0,2,8,88.89
RG Sharma,3,6,2,0,1,0,1,13,0,2,20,153.85
R Sharma,3,8,1,0,0,0,0,12,1,3,10,83.33
A Symonds,4,5,2,0,0,0,1,12,0,3,15,125.0
RP Singh,5,4,2,0,1,0,0,12,1,5,12,100.0
DJ Bravo,13,17,4,0,8,0,2,44,1,6,69,156.82
KA Pollard,6,9,0,0,1,0,0,16,2,4,13,81.25
V Pratap Singh,4,4,0,0,0,0,0,8,0,2,4,50.0
A Mishra,7,7,1,0,0,0,0,15,1,3,9,60.0
AD Mascarenhas,6,6,1,0,0,0,0,13,1,3,8,61.54
SW Tait,6,1,0,0,0,0,0,7,0,1,1,14.29
A Uniyal,0,1,0,0,0,0,0,1,0,1,1,100.0
SK Warne,10,18,7,1,2,0,0,38,2,4,43,113.16
BB Sran,7,5,3,0,2,0,0,17,1,2,19,111.76
JH Kallis,16,20,4,0,2,0,0,42,1,9,36,85.71
B Akhil,3,8,2,0,1,0,0,14,0,2,16,114.29
RE van der Merwe,1,3,0,0,1,0,0,5,1,1,7,140.0
A Kumble,13,21,5,0,2,0,0,41,0,4,39,95.12
Shoaib Akhtar,6,2,1,0,0,0,0,9,1,1,4,44.44
I Sharma,9,10,0,0,1,0,2,22,0,6,26,118.18
AB Dinda,2,6,1,0,6,0,3,18,0,4,50,277.78
Azhar Mahmood,8,4,2,0,3,0,0,17,1,2,20,117.65
PP Chawla,20,17,3,0,2,0,2,44,4,8,43,97.73
DJ Hussey,5,3,2,0,1,0,2,13,1,2,23,176.92
P Awana,4,4,0,1,0,0,2,11,1,4,19,172.73
MS Gony,7,8,4,0,3,0,2,24,1,4,40,166.67
CH Morris,7,2,5,0,5,0,3,22,0,5,50,227.27
Z Khan,9,6,1,0,5,0,0,21,1,3,28,133.33
DS Kulkarni,6,15,1,0,3,0,1,26,1,6,35,134.62
PV Tambe,7,13,2,0,4,0,2,28,1,4,45,160.71
SB Jakati,9,11,1,2,3,0,4,30,2,5,55,183.33
RA Jadeja,25,36,1,0,8,0,4,74,0,12,94,127.03
R Ashwin,14,14,1,0,5,0,1,35,2,8,42,120.0
KC Cariappa,1,6,1,0,2,0,1,11,1,2,22,200.0
Anureet Singh,3,4,1,0,1,0,0,9,0,2,10,111.11
MP Stoinis,3,8,1,0,1,0,2,15,0,2,26,173.33
MM Sharma,5,2,3,0,2,0,4,16,1,3,40,250.0
A Chandila,2,4,1,0,2,0,2,11,0,2,26,236.36
STR Binny,4,2,0,0,1,0,0,7,0,2,6,85.71
S Sreesanth,6,8,0,0,1,0,1,16,2,4,18,112.5
DR Smith,3,8,0,0,4,0,1,16,1,3,30,187.5
Joginder Sharma,1,6,0,0,0,0,0,7,0,2,6,85.71
M Muralitharan,9,11,6,0,1,0,1,28,0,4,33,117.86
M Ntini,1,1,1,0,0,0,0,3,0,1,3,100.0
JA Morkel,11,10,4,0,3,0,1,29,3,7,36,124.14
MR Marsh,1,0,0,0,1,0,2,4,1,1,16,400.0
Iqbal Abdulla,2,3,0,0,1,0,0,6,0,1,7,116.67
L Balaji,11,9,4,1,1,0,3,29,3,7,42,144.83
JD Unadkat,8,1,0,0,0,0,1,10,0,3,7,70.0
SJ Srivastava,2,1,1,0,1,0,0,5,0,1,7,140.0
PC Valthaty,1,6,2,0,1,0,0,10,0,1,14,140.0
S Badree,0,1,0,0,0,0,0,1,0,1,1,100.0
SM Pollock,7,1,1,0,0,0,0,9,0,1,3,33.33
Yuvraj Singh,1,4,1,0,0,0,0,6,0,1,6,100.0
Kamran Khan,6,2,0,0,1,0,0,9,0,2,6,66.67
JD Ryder,0,3,0,0,0,0,1,4,0,1,9,225.0
AC Thomas,1,2,1,0,1,0,1,6,1,2,14,233.33
CR Woakes,2,0,1,0,1,0,0,4,0,1,6,150.0
SP Narine,10,8,1,0,2,0,1,22,2,7,24,109.09
Harbhajan Singh,24,32,2,0,8,0,2,68,1,10,80,117.65
JP Duminy,5,9,1,0,1,0,0,16,0,3,15,93.75
R Vinay Kumar,8,10,1,0,1,0,0,20,1,3,16,80.0
KJ Abbott,2,0,0,0,0,0,0,2,1,1,0,0.0
S Nadeem,7,12,3,0,1,0,0,23,0,3,22,95.65
IK Pathan,17,13,4,0,7,0,3,44,0,7,67,152.27
S Kaul,2,5,1,0,5,0,1,14,1,2,33,235.71
M Morkel,6,8,0,0,2,0,1,17,0,4,22,129.41
YK Pathan,1,11,0,0,0,0,2,14,0,4,23,164.29
R Bhatia,4,18,2,0,2,0,1,27,0,5,36,133.33
SMSM Senanayake,0,2,1,0,0,0,0,3,0,1,4,133.33
R Tewatia,1,3,0,0,0,0,0,4,0,1,3,75.0
JP Faulkner,6,9,4,0,2,0,4,25,1,4,49,196.0
SR Watson,13,10,6,0,5,0,0,34,1,4,42,123.53
KW Richardson,1,2,1,0,1,0,1,6,1,2,14,233.33
DP Nannes,2,1,1,1,2,0,0,7,1,1,14,200.0
S Tyagi,1,0,0,0,0,0,0,1,1,1,0,0.0
A Flintoff,0,6,1,0,2,0,3,12,0,1,34,283.33
Anand Rajan,1,3,0,0,2,0,1,7,0,1,17,242.86
DW Steyn,6,6,2,1,3,0,5,23,1,5,55,239.13
SN Thakur,1,1,0,0,1,0,0,3,0,1,5,166.67
DT Christian,4,2,0,0,0,0,0,6,0,1,2,33.33
BA Stokes,6,4,0,0,0,0,0,10,0,1,4,40.0
Imran Tahir,2,7,2,0,0,0,1,12,1,2,17,141.67
Harmeet Singh,5,8,3,0,3,0,0,19,0,2,26,136.84
AS Rajpoot,2,2,1,0,3,0,0,8,0,1,16,200.0
Shakib Al Hasan,4,8,3,0,1,0,2,18,0,2,30,166.67
NLTC Perera,1,4,1,0,0,0,0,6,1,2,6,100.0
Ankit Sharma,3,11,1,0,2,0,3,20,0,2,39,195.0
M Ashwin,1,2,1,0,2,0,2,8,0,1,24,300.0
AD Russell,2,1,0,0,1,0,0,4,0,1,5,125.0
CL White,1,1,0,0,0,0,0,2,1,1,1,50.0
DL Chahar,0,1,0,0,0,0,0,1,0,1,1,100.0
LH Ferguson,2,1,0,0,0,0,0,3,1,1,1,33.33
A Singh,1,3,2,0,1,0,0,7,0,1,11,157.14
J Botha,1,6,0,0,1,0,0,8,0,1,10,125.0
AS Raut,1,2,0,0,2,0,0,5,0,1,10,200.0
IC Pandey,11,1,0,0,4,0,1,17,1,2,23,135.29
Shivam Sharma,1,5,0,0,0,0,2,8,0,1,17,212.5
GJ Maxwell,3,5,0,0,1,0,1,10,0,2,15,150.0
MG Johnson,3,6,2,0,1,0,0,12,0,3,14,116.67
DE Bollinger,1,1,0,0,2,0,0,4,0,1,9,225.0
YA Abdulla,0,2,0,0,0,0,0,2,0,1,2,100.0
Bipul Sharma,1,4,0,0,0,0,0,5,1,1,4,80.0
RV Gomez,0,1,0,0,0,0,3,4,0,1,19,475.0
Basil Thampi,1,0,0,0,0,0,0,1,0,1,0,0.0
AJ Tye,2,0,0,0,0,0,0,2,0,1,0,0.0
Ankit Soni,2,3,0,0,0,0,0,5,0,1,3,60.0
Mohammed Shami,3,1,0,0,0,0,1,5,0,2,7,140.0
P Negi,3,5,0,0,2,0,0,10,0,1,13,130.0
CR Brathwaite,1,0,0,0,0,0,0,1,1,1,0,0.0
HH Pandya,1,11,0,0,6,0,2,20,0,4,47,235.0
KH Pandya,14,17,0,0,1,0,2,34,4,4,33,97.06
JJ Bumrah,14,14,4,0,1,0,4,37,2,7,50,135.14
MJ McClenaghan,5,6,2,0,8,0,2,23,0,6,54,234.78
J Suchith,2,3,1,0,5,0,0,11,0,1,25,227.27
PJ Sangwan,1,2,0,0,1,0,0,4,0,1,6,150.0
AD Mathews,1,1,0,0,0,0,1,3,0,1,7,233.33
A Zampa,2,1,0,0,0,0,0,3,1,1,1,33.33
AG Murtaza,8,8,0,0,1,0,1,18,1,2,18,100.0
B Lee,1,1,0,0,1,0,0,3,0,1,5,166.67
VR Aaron,3,5,0,0,1,0,1,10,0,1,15,150.0
T Natarajan,1,1,0,0,0,0,0,2,0,1,1,50.0
Karanveer Singh,1,3,0,0,0,0,3,7,0,1,21,300.0
Shoaib Ahmed,5,0,0,0,1,0,0,6,1,1,4,66.67
TG Southee,3,3,2,0,2,0,1,11,0,3,21,190.91
RR Powar,0,1,2,0,0,0,0,3,0,1,5,166.67
SR Tendulkar,1,1,0,0,3,0,1,6,0,1,19,316.67
RR Raje,3,2,0,1,1,0,0,7,0,1,9,128.57
KK Cooper,2,3,0,0,2,0,1,8,0,1,17,212.5
BAW Mendis,1,2,0,0,1,0,0,4,0,1,6,150.0
DAJ Bracewell,2,4,1,0,1,0,1,9,0,1,16,177.78
Parvez Rasool,1,1,0,0,0,0,0,2,0,1,1,50.0
DJG Sammy,0,4,2,0,2,0,3,11,0,2,34,309.09
S Randiv,2,7,3,0,0,0,0,12,0,1,13,108.33
SK Raina,0,1,0,0,0,0,0,1,0,1,1,100.0
JEC Franklin,0,3,0,0,1,0,0,4,0,1,7,175.0
DJ Hooda,0,0,0,0,1,0,0,1,0,1,4,400.0
MG Neser,2,2,1,0,3,0,2,10,0,1,28,280.0
KP Appanna,1,5,2,0,0,0,0,8,1,1,9,112.5
L Ablish,1,2,0,0,0,0,0,3,0,1,2,66.67
RJ Harris,1,2,0,0,2,0,0,5,0,1,10,200.0
R McLaren,1,1,0,0,0,0,1,3,0,1,7,233.33
S Kaushik,1,2,0,0,1,0,1,5,0,1,12,240.0
M Kartik,6,6,1,0,1,0,0,14,0,1,12,85.71
AB Agarkar,3,0,1,0,1,0,0,5,0,1,6,120.0
SS Sarkar,0,0,0,0,1,0,0,1,0,1,4,400.0
