,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
P Kumar,4,0,0,0,3,0,0,7,1,1,12,171.43
BA Bhatt,0,1,0,0,0,0,0,1,0,1,1,100.0
Bipul Sharma,0,2,0,0,0,0,0,2,0,1,2,100.0
B Lee,4,0,1,1,3,0,1,10,1,1,23,230.0
Iqbal Abdulla,4,1,0,0,2,0,0,7,0,1,9,128.57
YK Pathan,3,1,0,0,0,0,0,4,0,1,1,25.0
Shakib Al Hasan,1,2,0,0,2,0,0,5,0,1,10,200.0
R Bhatia,1,2,0,0,0,0,1,4,0,1,8,200.0
IK Pathan,6,1,0,0,0,0,0,7,1,2,1,14.29
M Morkel,5,1,0,0,7,0,0,13,0,1,29,223.08
AB Agarkar,1,0,0,0,1,0,0,2,0,1,4,200.0
S Nadeem,3,1,1,0,0,0,0,5,1,1,3,60.0
JP Duminy,4,0,0,0,0,0,0,4,1,1,0,0.0
I Sharma,2,1,0,0,0,0,0,3,0,1,1,33.33
AC Thomas,2,1,0,0,1,0,0,4,1,1,5,125.0
SB Wagh,1,1,0,0,0,0,0,2,0,1,1,50.0
Z Khan,2,1,0,0,2,0,0,5,0,1,9,180.0
CH Gayle,4,1,0,0,0,0,0,5,0,1,1,20.0
S Aravind,1,0,0,0,0,0,0,1,1,1,0,0.0
