,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Yuvraj Singh,0,2,0,0,2,0,0,4,0,1,10,250.0
PP Chawla,1,1,2,0,1,0,0,5,0,1,9,180.0
IK Pathan,1,4,2,1,2,0,1,11,0,1,25,227.27
J Theron,3,1,0,0,0,0,0,4,0,1,1,25.0
JD Unadkat,1,1,0,0,0,0,0,2,0,1,1,50.0
M Kartik,0,3,1,0,1,0,0,5,0,2,9,180.0
LR Shukla,0,1,0,0,0,0,0,1,0,1,1,100.0
AB Dinda,1,2,2,0,0,0,0,5,1,2,6,120.0
A Mishra,2,2,1,0,0,0,0,5,1,1,4,80.0
MF Maharoof,2,1,0,0,0,0,0,3,0,1,1,33.33
UT Yadav,3,2,1,0,1,0,0,7,0,1,8,114.29
S Ladda,0,2,0,0,0,0,0,2,0,1,2,100.0
BJ Hodge,0,1,0,0,1,0,0,2,0,1,5,250.0
AD Mathews,1,1,0,0,1,0,0,3,0,1,5,166.67
I Sharma,4,1,1,0,0,0,2,8,0,1,15,187.5
SE Bond,0,3,0,0,0,0,0,3,0,1,3,100.0
JH Kallis,5,2,3,0,0,0,0,10,0,1,8,80.0
DW Steyn,5,1,0,0,1,0,0,7,0,1,5,71.43
R Vinay Kumar,1,2,0,0,0,0,0,3,0,1,2,66.67
A Kumble,0,3,0,0,0,0,0,3,0,1,3,100.0
Pankaj Singh,0,2,0,0,2,0,0,4,0,1,10,250.0
SB Jakati,3,5,0,0,0,0,0,8,0,1,5,62.5
M Muralitharan,1,2,2,0,0,0,0,5,0,1,6,120.0
JA Morkel,1,1,1,0,0,0,0,3,1,1,3,100.0
T Thushara,0,2,0,0,1,0,0,3,0,1,6,200.0
Harbhajan Singh,4,4,1,0,0,0,0,9,0,1,6,66.67
ST Jayasuriya,0,4,0,0,1,0,0,5,0,1,8,160.0
KA Pollard,1,3,0,1,1,0,0,6,0,1,10,166.67
SL Malinga,2,2,1,0,0,0,0,5,0,1,4,80.0
Z Khan,2,0,0,0,0,0,0,2,1,1,0,0.0
