,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Z Khan,0,2,1,0,0,0,0,3,0,1,4,133.33
SL Malinga,2,1,2,0,0,0,0,5,0,1,5,100.0
R Bhatia,4,2,1,0,0,0,0,7,2,2,4,57.14
B Lee,2,1,0,0,1,0,0,4,0,1,5,125.0
JA Morkel,2,1,1,0,0,0,0,4,0,1,3,75.0
JDP Oram,2,1,0,0,1,0,0,4,1,1,5,125.0
A Mishra,0,4,0,0,0,0,0,4,0,2,4,100.0
DP Nannes,0,1,0,0,0,0,0,1,0,1,1,100.0
DW Steyn,1,1,0,0,0,0,0,2,0,1,1,50.0
NLTC Perera,0,2,1,0,0,0,0,3,0,1,4,133.33
YA Abdulla,1,0,0,0,1,0,0,2,1,1,4,200.0
R Sharma,0,2,1,0,0,0,0,3,0,1,4,133.33
MN Samuels,1,1,0,0,0,0,0,2,1,1,1,50.0
V Sehwag,4,1,0,0,0,0,1,6,1,1,7,116.67
JD Ryder,1,0,0,0,0,0,0,1,0,1,0,0.0
