,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
R Bhatia,7,21,1,1,0,0,1,31,0,5,32,103.23
UT Yadav,7,13,0,0,2,0,1,23,2,4,27,117.39
A Mishra,7,6,1,0,2,0,1,17,1,3,22,129.41
DP Nannes,1,2,0,0,1,0,0,4,0,1,6,150.0
P Awana,3,0,0,0,1,0,0,4,1,1,4,100.0
DL Vettori,3,3,1,0,0,0,0,7,0,1,5,71.43
PJ Sangwan,1,1,2,0,1,0,0,5,0,1,9,180.0
MF Maharoof,0,2,1,0,0,0,1,4,0,1,10,250.0
R Vinay Kumar,6,3,1,1,0,0,0,11,3,3,8,72.73
M Kartik,3,4,1,0,0,0,1,9,0,1,12,133.33
M Muralitharan,13,11,0,0,2,0,4,30,1,4,43,143.33
Harbhajan Singh,3,2,0,0,0,0,0,5,0,3,2,40.0
JH Kallis,2,5,0,0,0,0,2,9,0,3,17,188.89
YK Pathan,3,2,0,0,0,0,3,8,0,1,20,250.0
SP Narine,5,7,1,0,1,0,2,16,2,5,25,156.25
M de Lange,1,1,0,0,0,0,0,2,1,1,1,50.0
Z Khan,3,1,2,0,0,0,1,7,0,2,11,157.14
J Botha,2,8,2,0,1,0,0,13,0,2,16,123.08
STR Binny,5,3,1,1,1,0,0,11,1,3,12,109.09
SR Watson,7,3,3,0,1,0,0,14,1,4,13,92.86
J Suchith,1,2,0,0,0,0,0,3,0,1,2,66.67
HH Pandya,2,1,0,0,0,0,1,4,1,1,7,175.0
MJ McClenaghan,3,2,2,0,2,0,0,9,1,2,14,155.56
R Ashwin,8,7,2,0,1,0,0,18,0,3,15,83.33
DE Bollinger,2,5,0,0,0,0,0,7,0,2,5,71.43
JA Morkel,1,4,0,0,0,0,0,5,0,1,4,80.0
SB Jakati,6,5,1,0,1,0,0,13,0,1,11,84.62
SK Raina,2,4,0,0,0,0,0,6,0,1,4,66.67
RA Jadeja,0,5,2,0,0,0,0,7,0,1,9,128.57
DJ Bravo,1,2,1,0,0,0,0,4,1,1,4,100.0
JP Faulkner,10,3,4,0,3,0,1,21,1,3,29,138.1
SL Malinga,0,3,0,0,1,0,0,4,0,2,7,175.0
KAJ Roach,0,2,1,0,0,0,0,3,0,1,4,133.33
Jaskaran Singh,6,3,0,0,2,0,1,12,1,2,17,141.67
Kuldeep Yadav,1,1,0,0,0,0,0,2,0,1,1,50.0
Anureet Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
AR Patel,1,1,0,0,1,0,0,3,0,1,5,166.67
IK Pathan,4,7,3,0,0,0,0,14,1,3,13,92.86
PP Chawla,0,5,2,0,2,0,0,9,0,3,17,188.89
B Lee,0,1,1,0,1,0,0,3,0,1,7,233.33
KP Appanna,3,1,0,0,0,0,0,4,1,1,1,25.0
Mohammed Siraj,2,1,0,0,0,0,0,3,0,1,1,33.33
Rashid Khan,0,2,0,0,0,0,0,2,0,1,2,100.0
MC Henriques,1,1,1,0,1,0,0,4,0,1,7,175.0
B Kumar,2,10,1,0,0,0,0,13,0,2,12,92.31
S Kaul,3,5,1,0,1,0,1,11,1,2,17,154.55
M Morkel,0,4,1,0,1,0,1,7,0,3,16,228.57
AD Russell,6,2,0,0,1,0,0,9,1,2,6,66.67
KV Sharma,3,4,0,0,1,0,0,8,0,1,8,100.0
DW Steyn,2,3,0,0,0,0,0,5,0,2,3,60.0
NLTC Perera,1,3,2,0,1,0,0,7,0,2,11,157.14
I Sharma,1,2,0,0,0,0,0,3,0,1,2,66.67
Iqbal Abdulla,3,5,0,0,0,0,1,9,0,1,11,122.22
RN ten Doeschate,2,1,0,0,0,0,0,3,0,1,1,33.33
KK Cooper,1,3,1,0,1,0,0,6,0,2,9,150.0
S Nadeem,3,4,0,0,0,0,0,7,0,1,4,57.14
B Akhil,1,3,0,0,1,0,0,5,0,1,7,140.0
JD Ryder,1,3,0,0,0,0,0,4,0,1,3,75.0
A Kumble,2,2,0,0,1,0,0,5,1,1,6,120.0
VR Aaron,1,0,0,0,0,0,0,1,1,1,0,0.0
GB Hogg,0,1,1,0,0,0,1,3,0,1,9,300.0
J Theron,0,2,0,0,1,0,0,3,0,1,6,200.0
SJ Srivastava,3,1,0,0,1,0,0,5,0,1,5,100.0
RP Singh,5,2,1,0,2,0,1,11,0,1,18,163.64
A Symonds,7,4,2,0,0,0,0,13,0,1,8,61.54
PP Ojha,6,3,0,0,1,0,1,11,1,2,13,118.18
WPUJC Vaas,0,1,0,0,0,0,1,2,0,1,7,350.0
TL Suman,0,2,0,0,0,0,1,3,0,1,8,266.67
HV Patel,2,1,0,0,0,0,0,3,0,1,1,33.33
R Dhawan,2,4,2,0,0,0,0,8,0,1,8,100.0
KA Pollard,3,2,0,0,0,0,0,5,0,1,2,40.0
A Ashish Reddy,0,3,0,0,0,0,0,3,0,2,3,100.0
L Balaji,1,2,0,0,0,0,0,3,0,1,2,66.67
JM Kemp,4,1,0,0,0,0,0,5,1,1,1,20.0
AD Mascarenhas,2,2,0,0,2,0,0,6,0,1,10,166.67
P Kumar,1,3,0,0,0,0,1,5,0,2,9,180.0
Harmeet Singh,1,0,0,0,0,0,0,1,1,1,0,0.0
SK Trivedi,0,4,0,0,0,0,0,4,0,1,4,100.0
SW Tait,0,2,0,0,0,0,0,2,0,1,2,100.0
CH Morris,2,3,0,0,0,0,0,5,0,1,3,60.0
TG Southee,0,3,0,0,1,0,0,4,0,1,7,175.0
