,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Mustafizur Rahman,4,1,1,0,0,0,0,6,0,1,3,50.0
BB Sran,1,2,0,0,0,0,0,3,0,1,2,66.67
B Kumar,1,0,0,0,0,0,0,1,1,1,0,0.0
KC Cariappa,1,0,0,0,0,0,0,1,1,1,0,0.0
YS Chahal,2,1,0,0,0,0,0,3,1,1,1,33.33
CJ Jordan,1,1,0,0,0,0,0,2,0,1,1,50.0
VR Aaron,0,1,0,0,0,0,0,1,0,1,1,100.0
JJ Bumrah,1,1,1,0,0,0,0,3,0,1,3,100.0
KH Pandya,0,1,0,0,0,0,0,1,0,1,1,100.0
TG Southee,1,1,1,0,1,0,0,4,0,1,7,175.0
Harbhajan Singh,1,1,0,0,0,0,0,2,0,1,1,50.0
MJ McClenaghan,1,0,0,0,0,0,0,1,1,1,0,0.0
