,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
MC Henriques,1,0,0,0,0,0,0,1,0,1,0,0.0
DW Steyn,0,1,0,0,0,0,0,1,0,1,1,100.0
Bipul Sharma,3,2,0,0,0,0,2,7,1,2,14,200.0
RS Bopara,2,1,0,0,1,0,0,4,1,1,5,125.0
SR Watson,3,9,1,0,2,0,2,17,1,4,31,182.35
A Mishra,5,2,0,0,1,0,0,8,1,2,6,75.0
Imran Tahir,3,0,0,0,1,0,0,4,1,1,4,100.0
MJ McClenaghan,1,1,0,0,0,0,0,2,1,2,1,50.0
JJ Bumrah,5,3,2,0,3,0,1,14,0,2,25,178.57
TG Southee,5,2,3,0,0,0,2,12,1,2,20,166.67
SP Narine,5,1,1,0,0,0,0,7,1,1,3,42.86
B Lee,0,1,0,0,0,0,0,1,0,1,1,100.0
Gurkeerat Singh,2,0,0,0,0,0,0,2,0,1,0,0.0
AR Patel,5,4,3,0,3,0,2,17,1,2,34,200.0
Anureet Singh,1,5,2,0,4,0,3,15,0,2,43,286.67
BE Hendricks,0,1,0,0,1,0,0,2,0,1,5,250.0
DS Kulkarni,2,0,1,0,2,0,0,5,0,1,10,200.0
STR Binny,0,1,0,0,0,0,0,1,0,1,1,100.0
JP Faulkner,2,3,0,0,0,0,0,5,0,1,3,60.0
BB Sran,2,1,0,0,1,0,1,5,0,1,11,220.0
CH Morris,1,0,0,0,0,0,0,1,1,1,0,0.0
R Bhatia,1,2,0,0,0,0,0,3,0,1,2,66.67
M Ashwin,0,1,0,0,0,0,0,1,0,1,1,100.0
Ankit Sharma,3,1,0,0,0,0,2,6,0,1,13,216.67
NLTC Perera,7,4,0,0,3,0,1,15,1,2,22,146.67
DJ Bravo,2,7,1,0,4,0,2,16,0,3,37,231.25
A Nehra,1,2,0,0,0,0,0,3,0,2,2,66.67
R Shukla,1,2,2,0,0,0,0,5,0,1,6,120.0
KK Cooper,1,1,0,0,0,0,0,2,1,1,1,50.0
D Wiese,1,2,0,0,1,0,1,5,0,1,12,240.0
YS Chahal,9,8,3,0,4,0,1,25,1,3,36,144.0
VR Aaron,7,2,1,0,4,0,3,17,0,3,38,223.53
Harbhajan Singh,2,2,0,0,1,0,1,6,0,1,12,200.0
RG More,2,3,0,0,0,0,0,5,0,1,3,60.0
P Negi,3,5,0,0,0,0,1,9,0,1,11,122.22
RA Jadeja,2,4,0,0,2,0,1,9,0,2,18,200.0
MM Sharma,6,3,0,0,0,0,1,10,1,3,9,90.0
Z Khan,0,3,1,0,0,0,1,5,0,1,11,220.0
R Vinay Kumar,3,5,0,0,1,0,1,10,0,2,15,150.0
P Parameswaran,2,0,0,0,0,0,1,3,1,1,6,200.0
SB Jakati,0,2,1,0,0,0,0,3,0,1,4,133.33
R Ashwin,2,0,0,0,0,0,0,2,1,1,0,0.0
A Ashish Reddy,2,1,0,0,0,0,0,3,0,1,1,33.33
Mustafizur Rahman,1,1,0,0,0,0,0,2,1,1,1,50.0
SL Malinga,1,1,0,0,0,0,0,2,1,1,1,50.0
Sandeep Sharma,5,4,0,0,1,0,0,10,0,2,8,80.0
MG Johnson,4,2,0,0,3,0,0,9,1,1,14,155.56
CR Brathwaite,0,1,0,0,1,0,0,2,0,1,5,250.0
Mohammed Shami,4,1,0,0,0,0,1,6,0,1,7,116.67
T Shamsi,1,1,0,0,1,0,2,5,0,1,17,340.0
HV Patel,3,1,1,0,2,0,1,8,0,1,17,212.5
AN Ahmed,2,1,0,0,1,0,1,5,0,1,11,220.0
S Aravind,0,2,0,0,0,0,1,3,0,1,8,266.67
CJ Jordan,2,1,0,0,0,0,1,4,0,1,7,175.0
