,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
VR Aaron,4,5,1,0,3,0,0,13,0,2,19,146.15
Yuvraj Singh,4,8,1,0,1,0,0,14,1,3,14,100.0
MA Starc,3,3,0,0,0,0,0,6,1,2,3,50.0
RP Singh,14,5,0,0,3,0,0,22,0,3,17,77.27
I Sharma,7,4,0,0,4,0,0,15,0,2,20,133.33
R Ashwin,13,10,1,0,0,0,1,25,0,3,18,72.0
M Ashwin,5,0,0,0,4,0,0,9,1,1,16,177.78
R Bhatia,6,1,3,0,1,0,3,14,1,3,29,207.14
MR Marsh,0,2,1,0,0,0,0,3,0,1,4,133.33
Sandeep Sharma,14,13,3,0,3,0,1,34,1,6,37,108.82
Harmeet Singh,1,0,0,0,0,0,0,1,1,1,0,0.0
SL Malinga,9,7,3,0,0,0,0,19,1,3,13,68.42
AG Murtaza,4,1,0,0,1,0,0,6,0,1,5,83.33
MM Patel,0,1,0,0,0,0,0,1,0,1,1,100.0
Harbhajan Singh,12,6,1,0,4,0,1,24,1,3,30,125.0
B Kumar,6,4,3,0,0,0,0,13,1,4,10,76.92
Rashid Khan,3,0,2,0,0,0,0,5,2,2,4,80.0
DS Kulkarni,8,1,1,0,0,0,0,10,1,3,3,30.0
Shakib Al Hasan,2,3,1,0,3,0,2,11,0,2,29,263.64
PP Chawla,4,9,0,0,3,0,1,17,1,3,27,158.82
M Kartik,3,5,0,0,2,0,0,10,0,3,13,130.0
MC Henriques,5,9,0,0,4,0,2,20,1,3,37,185.0
MG Johnson,22,8,2,0,5,0,0,37,3,6,32,86.49
AN Ahmed,2,0,1,0,2,0,0,5,0,1,10,200.0
JJ Bumrah,10,9,5,0,1,0,0,25,0,3,23,92.0
TG Southee,8,6,0,0,4,0,0,18,0,2,22,122.22
CH Morris,7,2,0,0,3,0,0,12,0,2,14,116.67
STR Binny,1,1,0,0,0,0,0,2,1,1,1,50.0
SMSM Senanayake,5,6,0,1,1,0,0,13,0,1,13,100.0
L Balaji,7,2,0,0,1,0,0,10,2,3,6,60.0
SP Narine,7,2,1,0,4,0,2,16,0,3,32,200.0
JH Kallis,6,2,1,0,0,0,2,11,2,3,16,145.45
RN ten Doeschate,0,2,0,0,0,0,0,2,0,1,2,100.0
YS Chahal,10,10,1,0,1,0,2,24,0,3,28,116.67
AF Milne,5,1,0,0,2,0,0,8,0,1,9,112.5
SR Watson,4,4,0,0,1,0,0,9,0,3,8,88.89
P Negi,4,2,0,0,0,0,2,8,2,3,14,175.0
DW Steyn,5,1,1,0,2,0,0,9,1,2,11,122.22
P Kumar,6,4,0,0,1,0,0,11,0,2,8,72.73
UT Yadav,9,3,2,1,3,0,2,20,1,4,34,170.0
M Morkel,12,9,0,0,1,0,1,23,1,5,19,82.61
Shivam Sharma,6,0,1,0,0,0,0,7,1,1,2,28.57
AR Patel,2,6,0,0,1,0,0,9,0,2,10,111.11
MM Sharma,6,4,2,0,3,0,0,15,3,4,20,133.33
MP Stoinis,1,4,0,0,3,0,0,8,0,1,16,200.0
P Sahu,1,4,0,0,2,0,0,7,1,1,12,171.43
AS Rajpoot,2,1,1,0,0,0,0,4,0,1,3,75.0
JO Holder,4,2,0,0,0,0,0,6,0,1,2,33.33
T Natarajan,0,1,0,0,0,0,1,2,0,1,7,350.0
KC Cariappa,2,0,0,0,0,0,0,2,0,1,0,0.0
AB Dinda,1,4,0,0,1,0,1,7,0,2,14,200.0
JD Unadkat,3,9,0,0,3,0,2,17,0,2,33,194.12
LR Shukla,1,4,3,0,2,0,2,12,0,2,30,250.0
SE Bond,2,0,0,0,0,0,0,2,1,1,0,0.0
Bipul Sharma,2,2,0,0,0,0,0,4,0,1,2,50.0
BB Sran,4,8,0,0,3,0,1,16,0,2,26,162.5
BCJ Cutting,3,1,0,0,1,0,0,5,1,1,5,100.0
TA Boult,1,1,0,0,2,0,0,4,0,1,9,225.0
CJ Anderson,7,7,1,0,4,0,0,19,0,3,25,131.58
PP Ojha,6,6,0,0,3,0,2,17,0,2,30,176.47
KA Pollard,1,2,0,0,0,0,0,3,0,1,2,66.67
R Vinay Kumar,6,1,0,0,0,0,0,7,1,2,1,14.29
R Rampaul,1,0,0,0,0,0,0,1,1,1,0,0.0
