,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
BW Hilfenhaus,3,1,0,0,1,0,0,5,0,1,5,100.0
IC Pandey,3,0,0,0,0,0,0,3,0,1,0,0.0
TL Suman,0,1,0,0,0,0,0,1,0,1,1,100.0
RG Sharma,3,0,0,0,0,0,0,3,1,1,0,0.0
LR Shukla,0,1,1,0,0,0,0,2,0,1,3,150.0
BAW Mendis,1,0,0,0,0,0,0,1,0,1,0,0.0
Joginder Sharma,1,4,0,0,2,0,0,7,0,2,12,171.43
A Flintoff,2,1,1,0,1,0,3,8,0,1,25,312.5
T Thushara,0,1,2,0,1,0,0,4,0,1,9,225.0
JDP Oram,1,0,0,0,0,0,0,1,1,1,0,0.0
Shahid Afridi,1,3,3,0,0,0,2,9,0,2,21,233.33
RP Singh,3,2,1,0,0,0,1,7,1,2,10,142.86
D Kalyankrishna,2,3,0,0,1,0,1,7,0,1,13,185.71
SB Bangar,1,0,0,0,0,0,0,1,0,1,0,0.0
DNT Zoysa,2,2,0,0,2,0,1,7,1,2,16,228.57
PP Chawla,5,9,1,0,1,0,0,16,1,4,15,93.75
P Awana,7,2,2,0,0,0,1,12,0,2,12,100.0
P Kumar,4,7,2,0,1,0,0,14,1,3,15,107.14
RJ Harris,3,1,0,0,1,0,0,5,0,1,5,100.0
Azhar Mahmood,3,2,1,0,1,0,0,7,0,2,8,114.29
PP Ojha,6,5,0,0,1,0,0,12,1,4,9,75.0
Y Venugopal Rao,1,6,1,0,0,0,1,9,0,2,14,155.56
FH Edwards,1,0,0,0,0,0,0,1,1,1,0,0.0
R Vinay Kumar,4,5,3,0,3,0,1,16,0,5,29,181.25
M Kartik,7,7,0,0,1,0,0,15,2,5,11,73.33
MG Johnson,6,6,1,0,2,0,0,15,0,3,16,106.67
GJ Maxwell,1,1,0,0,0,0,0,2,0,1,1,50.0
SL Malinga,2,5,1,0,0,0,0,8,1,2,7,87.5
AN Ahmed,1,3,0,0,0,0,0,4,1,2,3,75.0
JR Hopes,3,3,0,0,1,0,0,7,0,2,7,100.0
VRV Singh,0,5,0,0,0,0,2,7,0,1,17,242.86
IK Pathan,5,3,2,0,0,0,0,10,2,3,7,70.0
R Rampaul,5,1,0,0,1,0,0,7,0,1,5,71.43
AB Dinda,5,2,0,0,0,0,0,7,0,1,2,28.57
YS Chahal,2,1,0,1,0,0,0,4,0,1,4,100.0
KP Pietersen,1,2,1,0,0,0,0,4,1,2,4,100.0
DW Steyn,4,5,0,0,1,0,0,10,1,4,9,90.0
AC Thomas,2,0,0,0,0,0,0,2,0,1,0,0.0
WD Parnell,3,1,0,0,1,0,0,5,0,1,5,100.0
JD Ryder,7,8,0,0,2,0,0,17,1,2,16,94.12
R Bhatia,4,6,2,0,0,0,0,12,0,3,10,83.33
AM Salvi,1,0,0,0,0,0,0,1,1,1,0,0.0
TG Southee,1,0,0,0,0,0,0,1,1,1,0,0.0
