,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
STR Binny,2,3,0,0,0,0,0,5,0,1,3,60.0
SK Trivedi,1,5,1,0,0,0,0,7,0,1,7,100.0
AA Chavan,2,0,2,0,0,0,2,6,0,1,16,266.67
J Botha,1,0,0,0,1,0,0,2,1,1,4,200.0
HV Patel,4,5,0,0,1,0,0,10,1,1,9,90.0
KP Appanna,3,4,1,0,3,0,0,11,0,1,18,163.64
M Muralitharan,2,4,0,0,0,0,0,6,0,1,4,66.67
YK Pathan,0,2,1,0,0,0,0,3,0,1,4,133.33
Shakib Al Hasan,3,4,0,0,0,0,0,7,1,1,4,57.14
Iqbal Abdulla,0,1,1,0,0,0,0,2,0,1,3,150.0
R Bhatia,2,3,1,0,0,0,0,6,0,1,5,83.33
SP Narine,3,1,0,0,0,0,0,4,0,1,1,25.0
SR Watson,2,1,0,0,2,0,0,5,0,1,9,180.0
A Chandila,3,0,0,0,0,0,0,3,1,1,0,0.0
