,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SE Bond,2,1,0,0,0,0,0,3,1,1,1,33.33
A Uniyal,1,1,2,0,1,0,1,6,0,1,15,250.0
SW Tait,7,0,0,0,2,0,0,9,0,1,8,88.89
AD Mascarenhas,1,0,0,0,0,0,0,1,1,1,0,0.0
AB Dinda,8,0,0,0,0,0,0,8,1,2,0,0.0
MR Marsh,6,0,1,0,1,0,0,8,0,1,6,75.0
NLTC Perera,1,2,0,0,0,0,0,3,0,1,2,66.67
R Dhawan,0,1,0,0,0,0,0,1,0,1,1,100.0
L Balaji,0,1,2,0,1,0,1,5,0,1,15,300.0
Sandeep Sharma,4,5,0,0,0,0,1,10,1,3,11,110.0
JP Faulkner,3,4,1,0,3,0,2,13,0,3,30,230.77
VS Malik,4,6,0,0,0,0,0,10,0,1,6,60.0
SR Watson,2,3,1,0,2,0,1,9,0,2,19,211.11
SK Trivedi,2,2,0,0,0,0,1,5,0,1,8,160.0
KK Cooper,5,1,1,0,1,0,0,8,2,2,7,87.5
JA Morkel,12,1,1,0,2,0,0,16,2,3,11,68.75
AA Chavan,5,1,0,0,2,0,0,8,0,1,9,112.5
STR Binny,1,1,0,0,2,0,0,4,0,1,9,225.0
PV Tambe,1,4,2,0,1,0,0,8,0,1,12,150.0
M Morkel,3,4,0,0,1,0,0,8,0,2,8,100.0
Shakib Al Hasan,7,3,0,0,0,0,0,10,2,2,3,30.0
MA Starc,2,1,0,0,0,0,0,3,0,1,1,33.33
VR Aaron,2,2,1,1,0,0,0,6,1,1,7,116.67
IC Pandey,3,2,0,0,2,0,0,7,1,2,10,142.86
BW Hilfenhaus,1,1,0,0,2,0,0,4,0,1,9,225.0
R Ashwin,2,2,1,0,0,0,0,5,0,1,4,80.0
MM Sharma,6,2,0,0,3,0,0,11,1,3,14,127.27
MG Johnson,1,0,0,0,0,0,0,1,0,1,0,0.0
SP Narine,2,3,0,0,0,0,1,6,0,2,9,150.0
B Stanlake,7,1,0,0,2,0,0,10,0,1,9,90.0
YS Chahal,0,2,0,0,0,0,0,2,0,1,2,100.0
Iqbal Abdulla,0,1,1,0,1,0,0,3,0,1,7,233.33
TS Mills,3,0,0,0,0,0,0,3,1,1,0,0.0
IK Pathan,1,0,0,0,1,0,0,2,0,1,4,200.0
DW Steyn,7,2,1,0,1,0,0,11,1,2,8,72.73
A Nehra,1,0,0,0,0,0,0,1,1,1,0,0.0
P Kumar,3,1,0,0,1,0,0,5,0,2,5,100.0
JH Kallis,2,1,0,0,1,0,0,4,1,2,5,125.0
PJ Sangwan,4,0,2,0,0,0,2,8,1,1,16,200.0
S Ladda,1,1,0,0,0,0,0,2,0,1,1,50.0
DL Chahar,1,0,0,0,0,0,0,1,1,1,0,0.0
R Vinay Kumar,3,2,1,0,2,0,0,8,0,1,12,150.0
Azhar Mahmood,3,0,0,0,1,0,1,5,0,1,10,200.0
JD Unadkat,0,0,0,0,2,0,0,2,0,1,8,400.0
S Nadeem,3,4,0,0,0,0,0,7,0,2,4,57.14
Imran Tahir,2,0,0,0,1,0,0,3,1,1,4,133.33
Anureet Singh,2,1,1,0,0,0,0,4,1,1,3,75.0
Mohammed Shami,2,1,0,0,1,0,0,4,0,1,5,125.0
JP Duminy,0,1,0,0,0,0,0,1,0,1,1,100.0
WD Parnell,3,0,0,0,0,0,0,3,1,1,0,0.0
