,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Mohammad Nabi,4,2,1,0,0,0,0,7,0,1,4,57.14
Rashid Khan,0,2,0,0,0,0,0,2,0,1,2,100.0
MC Henriques,4,6,2,0,0,0,2,14,1,4,22,157.14
SL Malinga,2,2,3,0,0,0,0,7,0,3,8,114.29
A Mishra,8,6,0,0,0,0,2,16,0,4,18,112.5
J Yadav,4,4,0,0,0,0,0,8,1,1,4,50.0
CR Brathwaite,7,2,0,0,1,0,0,10,0,1,6,60.0
Imran Tahir,10,13,1,0,1,0,1,26,2,4,25,96.15
JP Duminy,3,6,0,0,0,0,0,9,0,2,6,66.67
JD Unadkat,6,4,1,0,1,0,1,13,0,1,16,123.08
Mohammed Shami,3,1,0,0,1,0,1,6,0,2,11,183.33
WD Parnell,3,1,0,0,3,0,0,7,0,1,13,185.71
DJ Hooda,0,2,0,0,0,0,0,2,0,1,2,100.0
CH Morris,5,9,2,0,0,0,1,17,1,4,19,111.76
JP Faulkner,4,3,2,0,1,0,0,10,0,2,11,110.0
Kuldeep Yadav,1,2,0,0,0,0,0,3,0,1,2,66.67
SP Narine,4,7,1,0,0,0,0,12,2,5,9,75.0
CR Woakes,0,1,0,0,0,0,0,1,0,1,1,100.0
AS Rajpoot,1,1,0,0,0,0,0,2,0,1,1,50.0
RA Jadeja,5,9,0,0,1,0,1,16,0,3,19,118.75
AJ Tye,1,5,0,0,1,0,0,7,0,1,9,128.57
Basil Thampi,1,1,2,0,1,0,0,5,0,2,9,180.0
DR Smith,1,0,0,0,1,0,2,4,1,1,16,400.0
DJ Bravo,4,4,2,0,0,0,1,11,2,3,14,127.27
JJ Bumrah,4,4,0,0,0,0,0,8,0,4,4,50.0
AD Russell,0,1,0,0,0,0,2,3,0,1,13,433.33
M Morkel,1,3,1,0,1,0,0,6,0,2,9,150.0
R Ashwin,11,5,1,0,0,0,0,17,2,4,7,41.18
MJ McClenaghan,2,3,1,0,0,0,0,6,1,2,5,83.33
YS Chahal,12,5,2,0,3,0,3,25,1,4,39,156.0
S Aravind,1,0,0,0,2,0,0,3,0,1,8,266.67
HV Patel,3,3,0,0,1,0,1,8,0,2,13,162.5
MA Starc,1,3,1,0,0,0,0,5,1,3,5,100.0
D Wiese,0,4,0,0,1,0,0,5,0,2,8,160.0
K Santokie,2,1,0,0,1,0,0,4,0,1,5,125.0
P Kumar,3,4,1,0,0,0,0,8,1,2,6,75.0
UT Yadav,2,3,1,0,0,0,0,6,2,3,5,83.33
KV Sharma,0,1,0,0,0,0,0,1,0,1,1,100.0
B Kumar,1,8,1,0,1,0,2,13,1,4,26,200.0
TA Boult,1,1,0,0,1,0,0,3,1,2,5,166.67
P Negi,1,3,0,0,0,0,0,4,0,1,3,75.0
SK Raina,1,2,0,0,1,0,0,4,0,1,6,150.0
BA Stokes,9,3,0,0,0,0,0,12,0,2,3,25.0
RD Chahar,4,4,0,0,0,0,1,9,0,1,10,111.11
R Bhatia,0,2,1,0,0,0,0,3,0,1,4,133.33
Shakib Al Hasan,0,3,1,0,0,0,0,4,0,2,5,125.0
A Nehra,0,1,1,0,2,0,0,4,0,1,11,275.0
S Kaul,1,1,1,0,0,0,0,3,1,1,3,100.0
AB Dinda,0,1,0,0,0,0,0,1,0,1,1,100.0
NLTC Perera,1,0,0,0,0,0,0,1,1,1,0,0.0
HH Pandya,0,1,0,0,0,0,1,2,0,1,7,350.0
Mustafizur Rahman,1,3,0,0,0,0,0,4,0,1,3,75.0
BB Sran,0,2,0,0,0,0,0,2,0,1,2,100.0
PP Chawla,0,3,0,0,0,0,0,3,0,2,3,100.0
JH Kallis,0,2,0,0,0,0,0,2,0,1,2,100.0
VR Aaron,2,3,0,0,1,0,1,7,0,2,13,185.71
Iqbal Abdulla,1,2,0,0,0,0,1,4,0,1,8,200.0
I Sharma,1,2,0,0,1,0,0,4,0,1,6,150.0
PV Tambe,2,5,1,0,1,0,0,9,0,1,11,122.22
STR Binny,3,2,0,0,0,0,0,5,0,1,2,40.0
DS Kulkarni,0,1,0,0,1,0,0,2,0,1,5,250.0
TG Southee,2,0,0,0,0,0,0,2,1,1,0,0.0
SR Watson,7,3,2,0,2,0,1,15,1,2,21,140.0
S Badree,0,2,0,0,0,0,0,2,0,1,2,100.0
A Choudhary,0,1,2,0,0,0,0,3,0,1,5,166.67
SN Thakur,2,1,0,0,1,0,0,4,0,1,5,125.0
A Zampa,0,4,1,0,0,0,1,6,0,1,12,200.0
DT Christian,1,2,1,0,0,0,0,4,1,1,4,100.0
CJ Anderson,0,7,0,0,0,0,1,8,0,1,13,162.5
Z Khan,0,7,2,0,1,0,1,11,0,2,21,190.91
PJ Cummins,0,2,0,0,0,0,0,2,0,1,2,100.0
NM Coulter-Nile,1,1,0,0,0,0,0,2,1,1,1,50.0
AD Mathews,4,6,0,0,0,0,0,10,0,1,6,60.0
