,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
CK Langeveldt,1,1,0,0,0,0,0,2,0,1,1,50.0
CH Gayle,3,2,0,0,0,0,0,5,0,1,2,40.0
Z Khan,2,4,0,0,0,0,1,7,0,2,10,142.86
RG Sharma,1,1,0,0,0,0,0,2,1,1,1,50.0
MF Maharoof,3,3,1,0,0,0,0,7,0,1,5,71.43
A Mishra,3,1,1,1,0,0,0,6,1,1,6,100.0
Iqbal Abdulla,5,2,0,0,0,0,0,7,0,1,2,28.57
L Balaji,1,1,1,0,1,0,0,4,0,1,7,175.0
R Bhatia,2,2,0,0,0,0,0,4,0,1,2,50.0
AB Dinda,0,1,0,0,0,0,0,1,0,1,1,100.0
JD Unadkat,2,1,0,0,0,0,0,3,1,1,1,33.33
Harmeet Singh,3,0,0,0,0,0,0,3,1,1,0,0.0
SK Raina,2,1,0,0,0,0,1,4,0,1,7,175.0
SB Jakati,2,3,0,0,0,0,0,5,1,2,3,60.0
DE Bollinger,3,2,0,0,1,0,0,6,0,2,6,100.0
S Tyagi,1,1,0,0,0,0,0,2,0,1,1,50.0
IK Pathan,0,1,0,0,0,0,0,1,0,1,1,100.0
DW Steyn,2,2,0,0,0,0,0,4,0,1,2,50.0
R Vinay Kumar,2,1,2,0,3,0,1,9,0,1,23,255.56
A Kumble,1,2,0,0,0,0,0,3,0,1,2,66.67
Pankaj Singh,0,2,0,0,0,0,0,2,0,1,2,100.0
JH Kallis,0,1,1,0,0,0,0,2,0,1,3,150.0
PP Chawla,3,3,0,0,0,0,0,6,1,2,3,50.0
VRV Singh,1,0,0,0,0,0,0,1,0,1,0,0.0
DJ Bravo,1,2,0,0,0,0,1,4,0,1,8,200.0
R Ashwin,0,1,1,0,0,0,0,2,0,1,3,150.0
KA Pollard,0,1,0,0,0,0,0,1,0,1,1,100.0
SL Malinga,4,2,0,0,0,0,1,7,0,1,8,114.29
DS Kulkarni,1,1,0,0,0,0,0,2,0,1,1,50.0
Harbhajan Singh,0,2,0,0,0,0,0,2,0,1,2,100.0
AM Nayar,2,2,0,0,0,0,0,4,0,1,2,50.0
R McLaren,3,0,0,1,2,0,0,6,0,1,11,183.33
RJ Harris,0,5,0,0,1,0,0,6,0,1,9,150.0
BA Bhatt,1,1,0,0,0,0,0,2,1,1,1,50.0
Y Venugopal Rao,1,0,0,1,1,0,0,3,0,1,7,233.33
PP Ojha,0,5,0,0,1,0,0,6,0,1,9,150.0
Shoaib Ahmed,1,4,0,0,0,0,0,5,0,1,4,80.0
FH Edwards,0,3,0,0,1,0,0,4,0,1,7,175.0
RP Singh,0,2,1,0,0,0,0,3,0,1,4,133.33
DR Smith,0,1,0,0,1,0,0,2,0,1,5,250.0
