,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
V Kohli,1,1,0,0,0,0,1,3,0,1,7,233.33
R Vinay Kumar,1,1,0,0,0,0,0,2,0,1,1,50.0
DW Steyn,3,0,0,0,0,0,0,3,1,1,0,0.0
Mohammad Hafeez,2,2,0,0,0,0,0,4,0,1,2,50.0
DJ Hussey,3,2,0,0,0,0,1,6,1,1,8,133.33
R Bhatia,1,2,1,0,2,0,0,6,0,1,12,200.0
VY Mahesh,1,0,0,0,0,0,0,1,1,1,0,0.0
JA Morkel,1,0,0,0,0,0,0,1,1,1,0,0.0
Z Khan,1,1,0,0,0,0,0,2,0,1,1,50.0
A Kumble,0,2,0,0,0,0,0,2,0,1,2,100.0
MM Patel,0,2,0,0,1,0,0,3,0,1,6,200.0
SR Watson,4,0,1,0,2,0,0,7,1,1,10,142.86
