,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
L Balaji,4,5,2,0,3,0,2,16,0,5,33,206.25
Iqbal Abdulla,2,4,0,0,0,0,1,7,1,2,10,142.86
JH Kallis,15,9,6,0,4,0,0,34,2,5,37,108.82
Shakib Al Hasan,12,8,2,0,3,0,1,26,3,5,30,115.38
Anureet Singh,4,0,0,0,1,0,0,5,0,2,4,80.0
PV Tambe,3,3,1,0,0,0,1,8,0,2,11,137.5
DJ Bravo,11,28,1,0,2,0,1,43,2,9,44,102.33
SB Jakati,1,6,0,0,0,0,0,7,0,3,6,85.71
JP Faulkner,7,8,2,0,0,0,1,18,1,4,18,100.0
Imran Tahir,8,9,2,0,2,0,1,22,1,5,27,122.73
BA Stokes,1,2,0,0,0,0,0,3,0,1,2,66.67
A Zampa,2,5,1,0,1,0,0,9,0,2,11,122.22
R Bhatia,4,10,1,0,2,0,0,17,1,4,20,117.65
P Kumar,16,10,2,0,5,0,1,34,0,6,40,117.65
RJ Harris,6,4,1,0,3,0,0,14,0,3,18,128.57
Bipul Sharma,11,12,1,0,1,0,1,26,0,3,24,92.31
SJ Srivastava,5,1,0,0,1,0,0,7,2,2,5,71.43
M Kartik,1,10,1,0,2,0,0,14,0,4,20,142.86
JD Unadkat,3,8,2,0,5,0,0,18,0,6,32,177.78
MK Tiwary,2,1,1,0,0,0,1,5,0,1,9,180.0
SE Bond,1,1,0,0,0,0,0,2,0,1,1,50.0
AB Dinda,10,8,2,0,4,0,0,24,3,6,28,116.67
B Kumar,13,11,3,0,3,0,0,30,2,7,29,96.67
DW Steyn,13,9,1,0,5,0,0,28,1,6,31,110.71
A Mishra,16,32,9,0,3,0,2,62,3,11,74,119.35
KV Sharma,6,8,0,0,1,0,0,15,1,3,12,80.0
MC Henriques,16,10,0,0,3,0,1,30,1,2,28,93.33
IK Pathan,14,11,1,0,8,0,4,38,1,7,69,181.58
A Nehra,5,7,3,0,1,0,2,18,3,8,29,161.11
S Nadeem,13,19,1,0,1,0,4,38,3,6,49,128.95
NM Coulter-Nile,4,5,0,0,3,0,0,12,0,3,17,141.67
AD Mascarenhas,2,5,1,0,2,0,0,10,0,1,15,150.0
SK Warne,3,6,0,0,1,0,0,10,0,2,10,100.0
AA Jhunjhunwala,2,1,1,0,3,0,1,8,0,1,21,262.5
YK Pathan,2,3,2,0,1,0,1,9,0,2,17,188.89
A Uniyal,2,1,0,0,0,0,0,3,1,1,1,33.33
B Lee,11,3,2,0,2,0,0,18,0,4,15,83.33
SK Raina,2,2,1,0,1,0,1,7,1,2,14,200.0
JA Morkel,15,10,1,0,6,0,0,32,0,6,36,112.5
DE Bollinger,0,3,0,0,0,0,1,4,0,2,9,225.0
Joginder Sharma,5,2,0,0,1,0,0,8,0,1,6,75.0
R Ashwin,18,27,1,0,3,0,2,51,4,9,53,103.92
S Randiv,1,1,0,0,0,0,0,2,1,1,1,50.0
STR Binny,5,5,0,0,1,0,1,12,0,3,15,125.0
SK Trivedi,4,11,2,0,1,0,1,19,0,2,25,131.58
KK Cooper,5,10,4,0,3,0,2,24,1,5,42,175.0
A Singh,3,4,0,0,1,0,0,8,0,2,8,100.0
AL Menaria,3,3,0,0,0,0,0,6,1,1,3,50.0
Sandeep Sharma,8,7,0,0,3,0,0,18,2,5,19,105.56
Shivam Sharma,0,4,0,0,0,0,0,4,0,1,4,100.0
AR Patel,3,11,1,0,1,0,3,19,1,3,35,184.21
BE Hendricks,1,1,3,0,0,0,0,5,0,1,7,140.0
R Dhawan,1,2,1,0,1,0,0,5,1,2,8,160.0
KW Richardson,2,3,0,0,1,0,0,6,0,2,7,116.67
VR Aaron,7,12,0,0,1,0,1,21,1,4,22,104.76
SR Watson,19,10,3,0,6,0,0,38,4,8,40,105.26
HV Patel,15,7,3,0,4,0,1,30,2,5,35,116.67
Pankaj Singh,6,1,0,0,1,0,2,10,0,1,17,170.0
A Kumble,6,13,2,0,0,0,2,23,0,3,29,126.09
M Morkel,14,13,1,0,2,0,1,31,1,8,29,93.55
UT Yadav,9,11,0,0,4,0,1,25,0,6,33,132.0
AB Agarkar,7,11,1,0,2,0,1,22,0,3,27,122.73
CH Morris,7,5,2,0,0,0,0,14,0,4,9,64.29
PP Chawla,8,14,3,0,3,0,2,30,4,8,44,146.67
SP Narine,14,10,2,0,3,0,0,29,1,5,26,89.66
DT Christian,6,8,1,0,0,0,0,15,0,4,10,66.67
A Ashish Reddy,1,1,0,1,0,0,0,3,0,1,4,133.33
B Laughlin,2,5,1,0,1,0,0,9,1,2,11,122.22
RA Jadeja,9,24,3,0,2,0,2,40,1,8,50,125.0
S Aravind,9,6,1,0,1,0,1,18,0,1,18,100.0
YS Chahal,9,17,2,0,1,0,1,30,0,4,31,103.33
CJ Jordan,1,2,0,0,0,0,0,3,0,1,2,66.67
MM Sharma,12,20,0,0,2,0,3,37,5,10,46,124.32
R Vinay Kumar,10,7,1,0,2,0,2,22,2,5,29,131.82
KP Pietersen,1,7,0,0,1,0,0,9,0,1,11,122.22
V Kohli,1,5,0,0,0,0,0,6,0,2,5,83.33
Washington Sundar,5,1,0,0,0,0,0,6,1,2,1,16.67
SN Thakur,2,2,0,0,0,0,0,4,0,1,2,50.0
LH Ferguson,2,0,0,0,0,0,0,2,0,1,0,0.0
Yuvraj Singh,10,17,0,0,0,0,1,28,1,5,23,82.14
MA Starc,1,0,1,0,0,0,0,2,1,1,2,100.0
L Ablish,1,1,0,0,2,0,0,4,0,1,9,225.0
SB Wagh,3,5,1,0,0,0,0,9,0,2,7,77.78
AC Thomas,6,1,0,0,1,0,0,8,1,2,5,62.5
WD Parnell,6,4,1,0,2,0,0,13,0,2,14,107.69
R Sharma,6,7,0,0,2,0,0,15,0,3,15,100.0
JD Ryder,0,4,0,0,0,0,0,4,0,1,4,100.0
P Awana,3,6,1,0,0,0,0,10,1,3,8,80.0
BA Bhatt,4,6,1,0,3,0,0,14,0,2,20,142.86
Azhar Mahmood,0,2,0,0,1,0,0,3,0,2,6,200.0
BW Hilfenhaus,0,1,0,0,0,0,0,1,0,1,1,100.0
Mohammed Shami,4,1,0,0,3,0,0,8,0,2,13,162.5
P Negi,3,1,0,0,1,0,1,6,0,2,11,183.33
Z Khan,5,14,1,0,4,0,2,26,0,4,44,169.23
DS Kulkarni,0,1,0,0,1,0,0,2,0,2,5,250.0
M Muralitharan,6,13,4,0,0,0,0,23,0,4,21,91.3
KP Appanna,0,2,0,0,1,0,0,3,0,1,6,200.0
CH Gayle,4,3,0,0,3,0,1,11,0,1,21,190.91
BAW Mendis,0,2,0,0,0,0,0,2,0,1,2,100.0
Parvez Rasool,1,2,0,0,0,0,0,3,0,1,2,66.67
NLTC Perera,9,9,0,0,3,0,1,22,0,3,27,122.73
SM Boland,0,2,1,0,1,0,0,4,0,1,8,200.0
MR Marsh,6,4,0,0,1,0,0,11,0,1,8,72.73
I Sharma,5,3,1,0,0,0,0,9,1,3,5,55.56
M Ashwin,2,5,0,0,0,0,0,7,0,1,5,71.43
RS Bopara,1,2,0,0,0,0,0,3,0,1,2,66.67
JR Hopes,3,3,0,0,6,0,0,12,1,1,27,225.0
J Syed Mohammad,2,3,2,0,1,0,0,8,0,1,11,137.5
AA Chavan,0,3,1,0,0,0,0,4,0,2,5,125.0
AS Rajpoot,3,4,2,0,0,0,0,9,0,1,8,88.89
Kuldeep Yadav,1,3,1,0,1,0,1,7,1,1,15,214.29
TA Boult,1,3,0,0,1,0,1,6,0,2,13,216.67
Ankit Sharma,4,5,1,0,1,0,0,11,0,2,11,100.0
Anand Rajan,3,3,0,0,0,0,0,6,0,1,3,50.0
CL White,1,3,0,0,0,0,0,4,0,1,3,75.0
RE van der Merwe,0,2,0,0,0,0,0,2,0,1,2,100.0
PJ Sangwan,6,4,1,0,0,0,0,11,0,2,6,54.55
PD Collingwood,2,6,0,0,0,0,0,8,0,1,6,75.0
AB McDonald,0,2,1,0,1,0,0,4,0,1,8,200.0
GB Hogg,4,3,2,0,0,0,1,10,0,1,13,130.0
JP Duminy,8,3,2,0,0,0,0,13,0,2,7,53.85
RV Gomez,2,2,0,0,0,0,2,6,0,1,14,233.33
RR Powar,2,1,0,0,1,0,1,5,0,1,11,220.0
RP Singh,1,5,0,0,0,0,0,6,0,2,5,83.33
IC Pandey,11,1,0,0,2,0,2,16,0,2,21,131.25
DP Nannes,6,1,0,0,0,0,1,8,0,2,7,87.5
A Mithun,1,5,0,0,3,0,0,9,0,1,17,188.89
DL Vettori,5,4,0,0,0,0,0,9,1,2,4,44.44
TM Dilshan,0,1,1,0,0,0,0,2,0,1,3,150.0
AUK Pathan,2,7,1,0,3,0,0,13,0,1,21,161.54
SMSM Senanayake,0,2,0,0,0,0,0,2,0,1,2,100.0
AD Mathews,1,5,0,0,2,0,0,8,0,1,13,162.5
DJG Sammy,1,5,0,0,1,0,0,7,0,2,9,128.57
DR Smith,3,2,4,0,0,0,1,10,0,1,16,160.0
J Theron,1,5,1,0,1,0,1,9,0,1,17,188.89
TG Southee,1,1,0,0,2,0,1,5,0,1,15,300.0
PP Ojha,3,7,1,0,2,0,0,13,1,3,17,130.77
S Ladda,0,2,0,0,1,0,1,4,0,1,12,300.0
MF Maharoof,1,1,0,0,0,0,0,2,1,1,1,50.0
MG Johnson,5,2,0,0,2,0,0,9,1,2,10,111.11
GJ Maxwell,1,2,1,0,0,0,1,5,0,1,10,200.0
P Sahu,1,5,0,0,1,0,0,7,0,1,9,128.57
JE Taylor,1,1,1,0,2,0,0,5,0,1,11,220.0
S Badree,1,3,0,0,1,0,0,5,0,1,7,140.0
BB Sran,3,1,1,0,1,0,0,6,1,1,7,116.67
Mustafizur Rahman,3,5,3,0,2,0,0,13,0,1,19,146.15
D Wiese,1,0,0,0,0,0,0,1,1,1,0,0.0
RG Sharma,2,4,0,0,1,0,0,7,0,1,8,114.29
A Symonds,0,4,0,0,0,0,1,5,0,1,10,200.0
Jaskaran Singh,1,0,2,0,2,0,1,6,0,1,18,300.0
