,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SK Trivedi,2,3,0,0,0,0,0,5,0,1,3,60.0
SK Warne,4,2,0,0,1,0,0,7,1,1,6,85.71
A Kumble,3,3,0,0,0,0,0,6,0,1,3,50.0
P Kumar,1,5,1,0,1,0,0,8,0,1,11,137.5
DW Steyn,11,1,0,0,2,0,0,14,0,1,9,64.29
ND Doshi,4,3,1,0,0,0,1,9,0,1,11,122.22
KP Pietersen,1,1,0,0,1,0,0,3,0,1,5,166.67
B Akhil,0,1,0,0,0,0,0,1,0,1,1,100.0
JH Kallis,1,0,0,0,0,0,0,1,1,1,0,0.0
Bipul Sharma,1,0,0,0,0,0,0,1,1,1,0,0.0
I Sharma,0,1,0,0,0,0,0,1,0,1,1,100.0
LR Shukla,4,2,3,0,1,0,0,10,1,1,12,120.0
AD Mathews,2,1,0,0,0,0,0,3,0,1,1,33.33
