,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
S Badree,9,3,0,0,0,0,0,12,0,1,3,25.0
MM Sharma,4,0,0,0,2,0,0,6,0,1,8,133.33
R Ashwin,2,2,1,0,2,0,1,8,1,1,18,225.0
IC Pandey,0,1,0,0,0,0,0,1,0,1,1,100.0
SR Watson,1,0,0,0,0,0,0,1,0,1,0,0.0
KW Richardson,0,1,1,0,0,0,0,2,0,1,3,150.0
S Gopal,2,0,2,0,0,0,0,4,1,1,4,100.0
RA Jadeja,3,4,0,0,2,0,0,9,0,2,12,133.33
Basil Thampi,0,1,1,0,0,0,0,2,0,1,3,150.0
AJ Tye,2,2,0,0,0,0,0,4,1,1,2,50.0
P Kumar,1,1,1,0,0,0,1,4,0,1,9,225.0
F du Plessis,0,2,0,0,0,0,2,4,0,1,14,350.0
DE Bollinger,1,0,0,0,0,0,0,1,1,1,0,0.0
D Wiese,0,1,0,0,1,0,0,2,0,1,5,250.0
MA Starc,1,0,0,0,0,0,0,1,0,1,0,0.0
YS Chahal,0,2,0,0,0,0,0,2,0,1,2,100.0
DJ Bravo,1,0,0,0,0,0,0,1,1,1,0,0.0
KA Pollard,1,1,0,0,0,0,0,2,1,1,1,50.0
L Balaji,1,1,0,0,0,0,0,2,1,1,1,50.0
M Morkel,0,1,0,0,0,0,0,1,0,1,1,100.0
