,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
RA Jadeja,0,1,0,0,0,0,0,1,0,1,1,100.0
MM Sharma,3,1,0,0,0,0,0,4,1,1,1,25.0
DJ Bravo,3,5,0,0,0,0,0,8,0,1,5,62.5
R Ashwin,0,2,0,0,0,0,0,2,0,1,2,100.0
A Nehra,6,3,0,0,0,0,0,9,1,2,3,33.33
MA Starc,2,0,0,0,0,0,0,2,1,1,0,0.0
M Morkel,1,0,0,0,0,0,0,1,0,1,0,0.0
B Kumar,2,3,0,0,1,0,0,6,0,2,7,116.67
P Kumar,1,0,0,0,0,0,0,1,1,1,0,0.0
S Kaul,0,2,0,0,1,0,0,3,0,1,6,200.0
JP Faulkner,1,0,0,0,0,0,0,1,0,1,0,0.0
CH Morris,2,0,0,0,0,0,0,2,0,1,0,0.0
Imran Tahir,0,2,0,0,0,0,1,3,0,1,8,266.67
