,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
RJ Harris,4,2,0,0,0,0,0,6,0,1,2,33.33
Azhar Mahmood,3,2,0,0,1,0,0,6,1,1,6,100.0
AB Dinda,2,1,0,0,1,0,1,5,0,1,11,220.0
NLTC Perera,1,1,2,0,2,0,0,6,1,2,13,216.67
M Kartik,0,1,0,0,0,0,0,1,0,1,1,100.0
RP Singh,4,1,0,0,0,0,0,5,2,2,1,20.0
AN Ahmed,1,0,1,0,0,0,0,2,1,1,2,100.0
JD Unadkat,1,0,0,0,0,0,0,1,1,1,0,0.0
CH Morris,1,3,1,0,0,0,0,5,0,2,5,100.0
PP Ojha,2,1,0,0,0,0,0,3,1,2,1,33.33
SP Narine,6,2,1,0,0,0,0,9,0,3,4,44.44
M de Lange,1,1,0,0,2,0,0,4,0,1,9,225.0
SL Malinga,3,4,1,0,0,0,0,8,0,3,6,75.0
MM Patel,0,1,1,0,1,0,0,3,0,1,7,233.33
UT Yadav,0,1,0,0,1,0,1,3,0,1,11,366.67
AD Russell,2,0,0,0,0,0,0,2,0,2,0,0.0
Z Khan,0,1,0,0,1,0,0,2,0,1,5,250.0
NM Coulter-Nile,1,2,1,0,1,0,0,5,0,1,8,160.0
DE Bollinger,1,1,0,0,0,0,0,2,0,1,1,50.0
DJ Bravo,10,5,2,0,0,0,0,17,0,2,9,52.94
L Balaji,2,3,0,0,0,0,0,5,1,3,3,60.0
R Dhawan,2,1,1,0,0,0,0,4,1,2,3,75.0
R Vinay Kumar,4,1,1,0,2,0,0,8,0,2,11,137.5
R Rampaul,4,1,0,0,0,0,0,5,0,1,1,20.0
HV Patel,1,1,0,0,0,0,0,2,0,1,1,50.0
M Muralitharan,1,1,0,0,0,0,0,2,1,1,1,50.0
KA Pollard,2,1,0,0,0,0,0,3,0,2,1,33.33
MJ McClenaghan,1,0,0,0,0,0,0,1,1,1,0,0.0
A Mishra,1,0,0,0,0,0,0,1,1,1,0,0.0
JO Holder,1,2,0,0,1,0,0,4,0,2,6,150.0
AS Rajpoot,1,0,0,0,0,0,0,1,1,1,0,0.0
SR Watson,0,1,0,0,0,0,0,1,0,1,1,100.0
MS Gony,1,1,1,0,1,0,0,4,0,1,7,175.0
A Zampa,1,1,0,0,0,0,0,2,1,1,1,50.0
MG Johnson,2,1,0,0,0,0,0,3,0,1,1,33.33
DW Steyn,1,0,0,0,0,0,0,1,1,1,0,0.0
RA Jadeja,4,2,0,0,1,0,1,8,0,1,12,150.0
JP Faulkner,1,0,0,0,0,0,0,1,0,1,0,0.0
M Morkel,1,0,0,0,0,0,0,1,1,1,0,0.0
J Botha,0,1,0,0,0,0,0,1,0,1,1,100.0
STR Binny,1,2,0,0,0,0,0,3,0,1,2,66.67
SW Tait,1,0,0,0,0,0,0,1,1,1,0,0.0
JJ Bumrah,0,2,1,0,0,0,0,3,0,1,4,133.33
