,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
TL Suman,1,1,0,0,0,0,0,2,0,1,1,50.0
PP Ojha,0,2,0,0,0,0,0,2,0,1,2,100.0
RJ Harris,3,2,0,0,0,0,1,6,0,2,8,133.33
RP Singh,4,2,1,0,0,0,0,7,0,3,4,57.14
DS Kulkarni,3,3,0,0,0,0,1,7,0,2,9,128.57
Harbhajan Singh,2,0,0,0,2,0,0,4,0,1,8,200.0
SK Trivedi,2,0,0,0,0,0,0,2,1,1,0,0.0
R Ashwin,2,1,0,0,0,0,0,3,0,1,1,33.33
SK Raina,2,1,0,0,1,0,0,4,1,1,5,125.0
Z Khan,2,1,1,0,0,0,0,4,1,1,3,75.0
HV Patel,1,2,0,0,0,0,1,4,0,1,8,200.0
P Kumar,0,1,0,0,0,0,0,1,0,1,1,100.0
RA Jadeja,1,0,0,0,0,0,0,1,0,1,0,0.0
M Muralitharan,1,1,0,0,0,0,0,2,1,1,1,50.0
AM Rahane,0,2,0,0,0,0,0,2,0,1,2,100.0
JP Duminy,2,1,0,0,0,0,0,3,0,1,1,33.33
ST Jayasuriya,3,1,0,0,0,0,0,4,0,1,1,25.0
SL Malinga,2,0,0,0,1,0,0,3,1,1,4,133.33
SW Tait,2,1,0,0,0,0,0,3,0,1,1,33.33
S Sreesanth,2,0,0,0,1,0,0,3,1,1,4,133.33
KA Pollard,0,1,0,0,0,0,0,1,0,1,1,100.0
A Singh,2,2,1,0,1,0,2,8,0,1,20,250.0
KK Cooper,2,1,0,0,1,0,0,4,1,1,5,125.0
R Vinay Kumar,1,0,0,0,0,0,0,1,0,1,0,0.0
AB Agarkar,1,3,0,0,1,0,0,5,0,2,7,140.0
VY Mahesh,2,1,0,0,0,0,0,3,0,1,1,33.33
SE Bond,1,1,0,0,0,0,0,2,0,1,1,50.0
UT Yadav,0,2,0,0,0,0,0,2,0,2,2,100.0
RE van der Merwe,1,2,0,0,0,0,1,4,0,1,8,200.0
A Nehra,1,1,1,0,0,0,2,5,0,1,15,300.0
