,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Yuvraj Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
IK Pathan,0,1,0,0,0,0,0,1,0,1,1,100.0
VS Malik,0,0,0,0,1,0,0,1,0,1,4,400.0
R Vinay Kumar,0,1,2,0,0,0,0,3,0,1,5,166.67
JH Kallis,0,1,0,0,0,0,0,1,0,1,1,100.0
SB Jakati,4,2,1,0,1,0,0,8,0,1,8,100.0
M Muralitharan,2,1,0,0,1,0,0,4,0,1,5,125.0
R Ashwin,1,2,0,0,0,0,0,3,0,1,2,66.67
DE Bollinger,3,1,0,0,0,0,0,4,1,1,1,25.0
A Mishra,2,0,0,0,0,0,0,2,0,1,0,0.0
A Nehra,1,3,0,0,0,0,0,4,0,1,3,75.0
UT Yadav,0,1,0,0,0,0,0,1,0,1,1,100.0
PD Collingwood,1,2,0,0,0,0,0,3,0,1,2,66.67
DP Nannes,1,1,0,0,0,0,0,2,0,1,1,50.0
