,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
S Nadeem,4,1,0,0,1,0,0,6,0,2,5,83.33
PJ Cummins,7,2,1,0,1,0,0,11,1,2,8,72.73
A Mishra,0,2,0,0,1,0,0,3,0,1,6,200.0
MN Samuels,2,1,0,0,0,0,1,4,0,1,7,175.0
Z Khan,0,3,0,0,0,0,0,3,0,1,3,100.0
Mohammed Shami,3,0,0,0,0,0,1,4,1,1,6,150.0
AR Patel,4,5,0,0,1,0,1,11,1,1,15,136.36
MP Stoinis,1,5,1,0,1,0,1,9,0,1,17,188.89
Swapnil Singh,0,4,0,0,0,0,1,5,0,1,10,200.0
T Natarajan,0,5,0,0,0,0,0,5,0,1,5,100.0
MM Sharma,1,3,0,0,0,0,0,4,0,1,3,75.0
Basil Thampi,4,8,1,0,2,0,2,17,0,2,30,176.47
PJ Sangwan,4,4,2,0,1,0,1,12,0,1,18,150.0
JP Faulkner,4,5,0,0,2,0,0,11,0,1,13,118.18
Ankit Soni,4,5,1,0,0,0,0,10,0,1,7,70.0
RA Jadeja,2,5,1,0,0,0,3,11,0,2,25,227.27
DR Smith,2,8,1,0,3,0,1,15,0,2,28,186.67
TG Southee,1,3,1,0,1,0,0,6,0,1,9,150.0
JJ Bumrah,1,3,3,0,1,0,0,8,0,2,13,162.5
KA Pollard,1,2,0,0,0,0,0,3,0,1,2,66.67
HH Pandya,1,0,0,0,1,0,0,2,1,1,4,200.0
AJ Tye,2,0,0,0,0,0,0,2,1,1,0,0.0
SK Raina,0,3,0,0,1,0,0,4,0,1,7,175.0
CR Woakes,0,1,0,0,0,0,0,1,0,1,1,100.0
SP Narine,3,4,1,0,1,0,0,9,1,1,10,111.11
Kuldeep Yadav,2,3,0,0,0,0,0,5,0,1,3,60.0
Bipul Sharma,2,3,3,0,0,0,3,11,0,1,27,245.45
MC Henriques,4,2,0,0,0,0,0,6,0,1,2,33.33
Rashid Khan,4,3,0,0,0,0,0,7,1,2,3,42.86
S Kaul,1,3,2,0,2,0,0,8,0,2,15,187.5
S Aravind,0,2,0,0,0,0,0,2,0,1,2,100.0
AF Milne,1,0,0,0,0,0,0,1,1,1,0,0.0
MG Johnson,1,1,0,0,1,0,0,3,1,1,5,166.67
MJ McClenaghan,3,1,0,0,1,0,0,5,0,1,5,100.0
Mohammed Siraj,0,2,0,0,0,0,0,2,0,1,2,100.0
B Kumar,1,0,0,0,0,0,0,1,1,1,0,0.0
