,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
WD Parnell,0,2,0,0,0,0,0,2,0,1,2,100.0
Mohammed Shami,0,0,0,0,1,0,0,1,0,1,4,400.0
Iqbal Abdulla,0,1,0,0,0,0,0,1,0,1,1,100.0
JP Faulkner,8,3,0,0,1,0,0,12,1,2,7,58.33
PV Tambe,3,2,0,0,2,0,0,7,0,1,10,142.86
SR Watson,5,5,0,0,1,0,0,11,0,2,9,81.82
STR Binny,2,0,1,0,1,0,0,4,0,1,6,150.0
SK Trivedi,4,5,2,0,0,0,0,11,0,1,9,81.82
KK Cooper,3,6,2,0,3,0,1,15,0,2,28,186.67
RP Singh,0,2,0,0,0,0,0,2,0,1,2,100.0
AB Dinda,4,0,0,0,0,0,0,4,0,1,0,0.0
AD Mathews,2,3,1,0,1,0,0,7,0,1,9,128.57
B Kumar,0,1,0,0,0,0,0,1,0,1,1,100.0
R Sharma,8,4,1,0,1,0,1,15,1,1,16,106.67
MR Marsh,3,5,1,0,1,0,0,10,0,1,11,110.0
PP Chawla,2,2,0,0,0,0,0,4,0,1,2,50.0
Azhar Mahmood,2,2,0,0,0,0,0,4,1,1,2,50.0
MS Gony,1,2,0,0,1,0,0,4,0,1,6,150.0
Sandeep Sharma,1,0,0,0,0,0,0,1,1,1,0,0.0
