,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Imran Tahir,0,1,0,0,0,0,0,1,0,1,1,100.0
MK Tiwary,0,1,0,0,0,0,1,2,0,1,7,350.0
R Shukla,3,0,0,0,0,0,0,3,0,1,0,0.0
SP Narine,2,2,0,0,0,0,0,4,0,1,2,50.0
CR Woakes,0,3,0,0,1,0,1,5,0,1,13,260.0
TA Boult,1,0,0,0,0,0,0,1,1,1,0,0.0
CJ Jordan,2,2,0,0,1,0,0,5,0,1,6,120.0
SR Watson,7,2,1,0,2,0,6,18,0,2,48,266.67
AR Patel,2,1,0,0,0,0,0,3,0,1,1,33.33
MM Sharma,1,1,0,0,0,0,1,3,0,1,7,233.33
Sandeep Sharma,2,0,2,0,0,0,1,5,0,1,10,200.0
DJ Bravo,2,1,1,0,1,0,0,5,0,1,7,140.0
S Kaushik,1,1,0,0,0,0,0,2,1,1,1,50.0
TS Mills,0,1,0,0,0,0,0,1,0,1,1,100.0
Kuldeep Yadav,1,0,0,0,0,0,0,1,1,1,0,0.0
MJ McClenaghan,0,0,0,0,1,0,0,1,0,1,4,400.0
HH Pandya,1,1,0,0,0,0,0,2,0,1,1,50.0
SL Malinga,1,2,0,0,2,0,0,5,0,1,10,200.0
JJ Bumrah,1,1,0,0,1,0,0,3,1,1,5,166.67
