,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
A Singh,6,2,1,0,1,0,0,10,0,2,8,80.0
MM Patel,3,3,1,0,0,0,0,7,1,3,5,71.43
J Botha,3,3,0,0,0,0,0,6,1,2,3,50.0
AB Agarkar,2,9,1,0,0,0,0,12,0,3,11,91.67
M Morkel,7,3,1,0,1,0,0,12,2,3,9,75.0
Y Nagar,1,2,0,0,1,0,1,5,0,1,12,240.0
RE van der Merwe,7,10,2,0,2,0,0,21,1,4,22,104.76
IK Pathan,2,9,1,0,7,0,0,19,1,5,39,205.26
Shakib Al Hasan,1,1,0,0,0,0,0,2,0,1,1,50.0
L Balaji,6,10,2,0,0,0,3,21,0,3,32,152.38
SP Narine,3,8,4,0,1,0,0,16,0,3,20,125.0
VS Malik,7,5,3,1,1,0,0,17,0,2,18,105.88
PP Chawla,13,11,1,1,2,0,0,28,1,6,24,85.71
RS Bopara,1,0,0,0,0,0,0,1,0,1,0,0.0
Bipul Sharma,3,5,2,0,0,0,0,10,1,2,9,90.0
Karanveer Singh,4,1,0,0,0,0,0,5,0,1,1,20.0
AR Patel,1,2,1,0,0,0,0,4,1,1,4,100.0
BE Hendricks,1,0,1,0,2,0,2,6,0,1,22,366.67
M Kartik,12,12,2,2,0,0,2,30,0,3,34,113.33
JD Unadkat,2,6,1,0,1,0,0,10,0,2,12,120.0
R Vinay Kumar,2,3,1,0,1,0,0,7,2,3,9,128.57
DJ Bravo,8,8,3,0,5,0,2,26,0,5,46,176.92
SL Malinga,19,17,2,0,5,0,0,43,1,6,41,95.35
Z Khan,13,7,4,0,2,0,1,27,2,5,29,107.41
Harbhajan Singh,14,15,1,0,3,0,1,34,0,7,35,102.94
AM Nayar,4,5,2,0,1,0,0,12,1,2,13,108.33
SR Tendulkar,1,2,0,0,0,0,0,3,0,1,2,66.67
YA Abdulla,2,4,0,0,1,0,1,8,0,1,14,175.0
Yuvraj Singh,2,5,0,0,2,0,0,9,0,3,13,144.44
RR Powar,0,2,0,0,0,0,0,2,0,1,2,100.0
P Kumar,7,4,0,0,2,0,0,13,0,3,12,92.31
JH Kallis,5,10,2,1,3,0,0,21,0,4,29,138.1
DW Steyn,7,7,1,0,9,0,0,24,1,5,45,187.5
A Kumble,10,2,0,0,0,0,0,12,1,2,2,16.67
S Gopal,3,6,1,1,0,0,1,12,0,2,17,141.67
PP Ojha,14,20,2,0,5,0,0,41,0,6,44,107.32
K Santokie,2,2,2,0,0,0,1,7,1,1,12,171.43
JJ Bumrah,2,4,1,0,0,0,1,8,0,2,12,150.0
SK Warne,7,8,3,0,1,0,0,19,1,3,18,94.74
Kamran Khan,0,2,0,0,0,0,0,2,0,1,2,100.0
UT Yadav,9,4,1,0,4,0,0,18,1,4,22,122.22
P Negi,1,0,0,0,0,0,0,1,1,1,0,0.0
DL Vettori,1,2,0,0,0,0,0,3,0,2,2,66.67
KP Appanna,0,1,0,0,0,0,0,1,0,1,1,100.0
HV Patel,2,0,2,0,1,0,0,5,1,1,8,160.0
CH Morris,1,1,0,0,0,0,0,2,0,1,1,50.0
KV Sharma,6,6,0,0,2,0,2,16,0,3,26,162.5
A Mishra,9,8,1,0,1,0,1,20,1,4,20,100.0
LR Shukla,4,2,1,0,2,0,0,9,0,1,12,133.33
R Bhatia,2,12,1,0,1,0,0,16,0,4,18,112.5
Mohammed Shami,0,2,0,0,1,0,0,3,0,1,6,200.0
B Lee,6,2,2,0,4,0,2,16,1,3,34,212.5
WD Parnell,3,2,0,0,1,0,0,6,1,2,6,100.0
B Kumar,4,4,1,0,3,0,0,12,0,3,18,150.0
R Sharma,4,7,0,0,1,0,0,12,1,4,11,91.67
MG Johnson,1,1,0,0,1,0,1,4,0,2,11,275.0
DJG Sammy,1,2,0,0,1,0,2,6,0,1,18,300.0
NLTC Perera,4,2,2,0,0,0,0,8,0,1,6,75.0
PC Valthaty,0,1,0,0,1,0,0,2,0,1,5,250.0
Harmeet Singh,6,11,1,0,1,0,0,19,0,3,17,89.47
JP Faulkner,1,0,0,0,0,0,1,2,1,1,6,300.0
Azhar Mahmood,4,4,4,0,0,0,1,13,0,2,18,138.46
